TMA core,Number_of_cells,Number_positive_cells,Number_negative,Ratio_positive,Percent_positive
A-1,5970,1773,4197,0.296984925,29.69849246
A-2,5695,1260,4435,0.221246708,22.12467076
A-3,6033,964,5069,0.159787834,15.97878336
A-4,5824,1437,4387,0.246737637,24.67376374
A-5,7691,1497,6194,0.194643089,19.46430893
A-6,5993,1542,4451,0.257300184,25.73001835
A-7,7242,3507,3735,0.484258492,48.42584921
A-8,3282,161,3121,0.049055454,4.905545399
A-9,3845,85,3760,0.022106632,2.210663199
A-10,4634,335,4299,0.072291757,7.229175658
A-11,6926,835,6091,0.120560208,12.05602079
B-1,7306,4800,2506,0.656994251,65.69942513
B-2,7136,2749,4387,0.385229821,38.52298206
B-3,6252,2583,3669,0.413147793,41.31477927
B-4,3228,407,2821,0.126084263,12.60842627
B-5,1736,604,1132,0.347926267,34.79262673
B-6,7696,767,6929,0.099662162,9.966216216
B-7,4647,1241,3406,0.267054013,26.70540133
B-8,6753,5426,1327,0.803494743,80.34947431
B-9,7339,92,7247,0.012535768,1.253576782
B-10,5727,180,5547,0.031430068,3.14300681
B-11,3710,419,3291,0.112938005,11.29380054
C-1,6395,2692,3703,0.42095387,42.09538702
C-2,5281,2354,2927,0.445748911,44.57489112
C-3,6664,449,6215,0.067376951,6.737695078
C-4,6307,4398,1909,0.697320438,69.73204376
C-5,6533,2367,4166,0.362314404,36.23144038
C-6,7093,3677,3416,0.518398421,51.8398421
C-7,5739,1787,3952,0.311378289,31.13782889
C-8,4830,181,4649,0.03747412,3.747412008
C-9,4298,10,4288,0.002326664,0.232666356
C-10,1822,202,1620,0.110867179,11.08671789
C-11,5606,73,5533,0.013021762,1.30217624
D-1,6621,1423,5198,0.214922217,21.49222172
D-2,4955,1550,3405,0.312815338,31.2815338
D-3,1352,690,662,0.51035503,51.03550296
D-4,6168,1605,4563,0.260214008,26.02140078
D-5,7735,5432,2303,0.702262443,70.22624434
D-6,7959,7471,488,0.938685765,93.86857645
D-7,6549,901,5648,0.137578256,13.75782562
D-8,6409,1538,4871,0.239975035,23.99750351
D-9,3101,134,2967,0.043211867,4.321186714
D-10,7457,60,7397,0.008046131,0.804613115
D-11,4993,66,4927,0.013218506,1.321850591
E-1,6289,4342,1947,0.69041183,69.04118302
E-2,5376,2519,2857,0.468563988,46.85639881
E-3,5772,1737,4035,0.300935551,30.09355509
E-4,8556,6606,1950,0.772089762,77.20897616
E-5,7875,5110,2765,0.648888889,64.88888889
E-6,6490,2615,3875,0.402927581,40.29275809
E-7,8691,2506,6185,0.288344264,28.83442642
E-8,5405,1412,3993,0.261239593,26.1239593
E-9,5867,209,5658,0.035622976,3.562297597
E-10,4369,582,3787,0.133211261,13.32112612
E-11,6873,1058,5815,0.15393569,15.39356904
F-1,4908,2458,2450,0.500814996,50.08149959
F-2,6971,1952,5019,0.280017214,28.00172142
F-3,5973,1399,4574,0.23422066,23.42206596
F-4,4515,1804,2711,0.399557032,39.95570321
F-5,5080,1641,3439,0.323031496,32.30314961
F-6,4862,974,3888,0.200329083,20.03290827
F-7,6198,2073,4125,0.33446273,33.44627299
F-8,4041,304,3737,0.075228904,7.522890374
F-9,6887,703,6184,0.102076376,10.20763758
F-10,7722,24,7698,0.003108003,0.310800311
F-11,5121,111,5010,0.021675454,2.167545401
G-1,5186,3785,1401,0.729849595,72.98495951
G-2,2255,708,1547,0.313968958,31.39689579
G-3,3895,2274,1621,0.583825417,58.38254172
G-4,1745,364,1381,0.208595989,20.85959885
G-5,3451,1530,1921,0.443349754,44.33497537
G-6,7266,4775,2491,0.657170383,65.71703826
G-7,5994,673,5321,0.112278946,11.22789456
G-8,3614,465,3149,0.128666298,12.86662977
G-9,6929,1160,5769,0.167412325,16.7412325
G-10,7837,179,7658,0.022840373,2.284037259
G-11,6529,2088,4441,0.319803952,31.98039516
