Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	a20ae0ae-1f89-43bc-99c0-b7c0b721fe36
Plate Name	220210 TNBC IMPDH2 spot all lines
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
3	2	0	3	1	639	715	[610,692,669,748]	-391.23	581.65					1	1148	0.143611693905	1	0.0005094244	69.4590793093	0.701845416821	40.621000024	58.4819154356	
3	3	0	1	1	824	48	[783,18,883,78]	54.73	92.84					3	175	0.0196784	14	0.00332858	148.826	0.84792	6.19223	4.16072	
3	3	0	1	2	409	102	[374,71,443,140]	-24.59	81.55					4	190	0.0114581	14	0.003822	129.612	0.936691	6.72299	5.18701	
3	3	0	1	3	357	188	[323,157,393,233]	-34.67	65.15					5	159	0.013084	7	0.00193157	128.232	0.872891	5.62608	4.38742	
3	3	0	1	4	288	274	[257,243,321,323]	-46.93	48.55					6	181	0.115853	5	0.00128172	138.034	0.905766	6.40453	4.63984	
3	3	0	1	5	130	293	[95,251,170,328]	-76.52	46.35					7	324	0.249023	17	0.00423412	142.067	0.858046	11.4645	8.06974	
3	3	0	1	6	161	362	[115,331,199,393]	-71.89	33.69					8	171	0.0206884	14	0.00332937	148.79	0.975417	6.05069	4.06659	
3	3	0	1	7	968	66	[932,34,1007,100]	81.16	88.81					9	222	0.0102111	20	0.00513611	137.786	0.997029	7.85528	5.70108	
3	3	0	1	8	486	117	[441,62,529,174]	-10.01	79.46					10	557	0.0327559	39	0.00508607	271.326	0.963667	19.709	7.26395	
3	3	0	1	9	129	114	[81,76,192,152]	-75.79	80.15					11	1051	0.0230482	88	0.0127241	244.717	0.949464	37.1887	15.1966	
3	3	0	1	10	664	184	[612,120,711,242]	22.95	66.81					12	1099	0.0357081	77	0.00905031	301.048	0.962136	38.8872	12.9173	
3	3	0	1	11	412	223	[360,179,462,267]	-23.4	59.35					13	109	0.00267018	16	0.00252167	224.512	0.93437	3.85687	1.71789	
3	3	0	1	12	192	281	[156,248,237,315]	-64.21	48.9					14	113	0.0147538	11	0.0026538	146.667	0.923276	3.99841	2.72618	
3	3	0	1	13	254	335	[219,299,290,371]	-53.66	38.47					15	206	0.108138	11	0.00272277	142.952	0.968951	7.28913	5.09901	
3	3	0	1	14	482	396	[441,355,523,444]	-10.71	26.19					16	101	0.00705574	8	0.00136822	206.891	0.98107	3.5738	1.72738	
3	3	0	1	15	823	414	[766,369,891,461]	54.52	23.44					17	381	0.038483	25	0.00271091	326.313	0.974603	13.4814	4.13142	
3	3	0	1	16	372	423	[337,388,409,458]	-31.31	22.36					18	61	0.00410454	3	0.000750375	141.466	0.979	2.15843	1.52576	
3	3	0	1	17	606	438	[558,390,667,487]	13.69	18.83					19	373	0.0176941	27	0.00319527	298.996	0.994652	13.1983	4.4142	
3	3	0	1	18	408	530	[361,481,459,577]	-24.96	1.49					20	540	0.0232486	48	0.00679887	249.812	1.00469	19.1074	7.64873	
3	3	0	1	19	848	575	[795,529,913,621]	59.17	-6.71					21	434	0.0156441	35	0.00407213	304.127	0.981967	15.3567	5.04945	
3	3	0	1	20	520	614	[475,571,573,657]	-3.18	-13.95					22	420	0.0195674	38	0.00575322	233.712	0.984195	14.8613	6.35882	
3	3	0	1	21	648	672	[606,630,691,727]	20.48	-26.03					23	147	0.011732	6	0.000914355	232.191	0.980588	5.20147	2.24017	
3	3	0	2	1	557	50	[528,22,584,75]	-611.56	706.9					2	5	0.000195041	1	0.000499002	70.9098	0.877812	0.176921	0.249501	
3	3	0	2	2	487	118	[459,90,516,151]	-624.69	693.77					3	18	0.000414949	2	0.000685401	103.251	0.965063	0.636915	0.616861	
3	3	0	2	3	849	148	[824,92,918,180]	-552.85	691.93					4	430	0.240242	5	0.00116686	151.621	0.622814	15.2152	10.035	
3	3	0	2	4	989	170	[953,133,1035,205]	-530.15	684.65					5	105	0.044492	3	0.000788229	134.672	0.883886	3.71534	2.7588	
3	3	0	2	5	318	622	[283,593,401,652]	-652.76	599.54					6	219	0.0268545	11	0.00203327	191.428	0.849763	7.74913	4.04806	
3	3	0	2	6	972	884	[945,840,996,926]	-533.95	550.34					7	9	0.00030168	1	0.000304136	116.343	0.856753	0.318457	0.273723	
3	3	0	2	7	639	117	[598,77,679,181]	-596.33	692.37					11	202	0.00579045	21	0.00312966	237.428	0.980503	7.1476	3.01043	
3	3	0	2	8	911	183	[862,116,955,234]	-545.32	682.64					12	30	0.000436944	4	0.000508582	278.296	0.787951	1.06152	0.381437	
3	3	0	2	9	805	196	[768,159,844,240]	-564.8	679.03					13	232	0.0110463	20	0.00441696	160.219	1.00637	8.20912	5.12367	
3	3	0	2	10	791	300	[753,262,832,339]	-567.25	659.93					14	266	0.0153749	23	0.00477575	170.41	0.995016	9.41218	5.52326	
3	3	0	2	11	977	305	[939,265,1015,347]	-532.8	658.97					15	153	0.00912369	13	0.00259688	177.133	0.996915	5.41377	3.05633	
3	3	0	2	12	936	407	[896,371,988,444]	-539.4	639.89					16	153	0.0053135	15	0.0027819	190.791	0.976723	5.41377	2.83754	
3	3	0	2	13	628	419	[585,374,672,467]	-597.85	637.41					17	73	0.00186801	10	0.00152532	231.978	0.984249	2.58304	1.11348	
3	3	0	2	14	790	484	[747,440,834,524]	-567.71	625.71					19	0	0	0	0	190.084	0.988496	0	0	
3	3	0	2	15	907	532	[866,494,950,569]	-545.73	616.48					20	23	0.000865168	4	0.000827815	170.976	0.972432	0.813835	0.475993	
3	3	0	2	16	863	638	[820,595,912,684]	-553.78	595.98					22	245	0.0143116	21	0.00330137	225.079	0.992955	8.66912	3.8516	
3	3	0	2	17	770	716	[736,673,804,755]	-571.84	582.11					24	79	0.00980953	4	0.000933053	151.692	0.980931	2.79535	1.84278	
3	3	0	2	18	697	721	[652,674,738,765]	-585.54	580.85					25	96	0.0136516	4	0.000754717	187.536	0.958329	3.39688	1.81132	
3	3	0	2	19	955	731	[909,680,1042,799]	-534.21	577.11					26	285	0.00664695	23	0.00251531	323.553	0.832056	10.0845	3.1168	
3	3	0	2	20	357	764	[301,718,406,814]	-648.82	573.13					27	136	0.0345146	7	0.00092397	268.07	0.928392	4.81224	1.79514	
3	3	0	2	21	249	775	[208,735,305,820]	-668.3	570.4					28	129	0.021202	7	0.00118866	208.377	0.954924	4.56455	2.19052	
3	3	0	2	22	691	817	[656,782,727,867]	-586.74	561.76					29	109	0.0159852	7	0.00145198	170.587	0.975978	3.85687	2.26094	
3	3	0	2	23	744	953	[702,914,795,992]	-575.71	537.3					31	104	0.0190911	5	0.000869868	203.388	0.984946	3.67995	1.80932	
3	3	0	2	24	965	1008	[902,963,1011,1069]	-536.88	525.52					32	483	0.0159555	33	0.00403769	289.195	0.885163	17.0905	5.9097	
3	3	0	3	1	510	49	[447,14,542,82]	-418.11	707.63					3	37	0.00136499	2	0.000409417	172.852	0.870177	1.30921	0.757421	
3	3	0	3	2	935	67	[890,14,971,103]	-335.63	704.71					4	245	0.0118322	19	0.00440733	152.541	0.802518	8.66912	5.68314	
3	3	0	3	3	640	110	[607,69,671,163]	-390.96	694.64					5	128	0.00574585	11	0.00230753	168.676	0.93726	4.52917	2.68513	
3	3	0	3	4	497	539	[437,508,529,574]	-420.47	614.82					8	0	0	0	0	162.484	0.954207	0	0	
3	3	0	3	5	365	761	[293,696,434,818]	-442.49	573.45					9	235	0.00594326	17	0.00142761	421.354	0.888586	8.31527	1.97346	
3	3	0	3	6	555	897	[507,855,593,942]	-407.71	547.86					10	303	0.032653	19	0.0041841	160.679	0.911742	10.7214	6.67254	
3	3	0	3	7	455	982	[433,960,474,1004]	-425.97	531.63					11	79	0.0321816	5	0.00363372	48.6886	0.808161	2.79535	5.74128	
3	3	0	3	8	726	72	[682,28,769,119]	-374.97	702.6					16	286	0.0117884	25	0.0042684	207.245	1.00452	10.1199	4.88305	
3	3	0	3	9	194	88	[141,37,252,137]	-474.81	699.89					17	522	0.0158596	43	0.00521908	291.53	0.973309	18.4705	6.33572	
3	3	0	3	10	335	94	[293,53,401,139]	-445.9	698.49					18	480	0.0112744	44	0.00599945	259.507	0.969689	16.9844	6.54486	
3	3	0	3	11	571	129	[533,73,611,177]	-403.98	692.88					19	204	0.00672086	21	0.0035467	209.51	0.876475	7.21837	3.44536	
3	3	0	3	12	791	165	[750,124,851,208]	-360.97	685.5					21	316	0.0137648	28	0.00409117	242.169	0.987326	11.1814	4.61718	
3	3	0	3	13	323	199	[282,158,365,246]	-450.63	678.53					22	148	0.00404259	10	0.00171644	206.148	0.966047	5.23685	2.54034	
3	3	0	3	14	487	196	[445,160,527,233]	-419.91	679.55					23	49	0.00195964	5	0.00108319	163.333	0.981351	1.73382	1.06153	
3	3	0	3	15	796	255	[756,215,845,296]	-360.92	668.37					25	108	0.00354736	9	0.00161609	197.054	1.00871	3.82149	1.93931	
3	3	0	3	16	160	285	[117,242,206,329]	-481.31	662.7					26	86	0.00321265	9	0.00144602	220.231	0.998214	3.04304	1.38175	
3	3	0	3	17	475	282	[422,240,523,326]	-422.74	663.56					27	232	0.00613008	18	0.00265604	239.798	0.981885	8.20912	3.42334	
