Database Name	operetta																																	
Database Link	http://10.45.1.197/ODA/OdaService.asmx																																	
Evaluation Signature	18279537-4f40-4f47-8786-1e3a8a0a1055																																	
Plate Name	230421_1																																	
Measurement	Measurement 2																																	
Evaluation	Evaluation1																																	
Population	Population - Nuclei Cytoplasm A Selected																																	
																																		
[Data]																																		
Row	Column	Timepoint	Field	Object.No	X	Y	Bounding.Box	Position.X..µm.	Position.Y..µm.	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A	Nuclei.Cytoplasm.A.Selected...Nucleus.Area..µm..	Nuclei.Cytoplasm.A.Selected...Nucleus.Roundness	Nuclei.Cytoplasm.A.Selected...Nucleus.Ratio.Width.to.Length	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A.Selected	Nuclei.Cytoplasm.A.Selected...Object.No.in.Nuclei.A.Selected.Selected	Nuclei.Cytoplasm.A.Selected...Nucleus.Area..µm....2.	Nuclei.Cytoplasm.A.Selected...Nucleus.Roundness..2.	Nuclei.Cytoplasm.A.Selected...Cytoplasm.Area..µm..	Nuclei.Cytoplasm.A.Selected...Cytoplasm.Roundness	Nuclei.Cytoplasm.A.Selected...Cell.Area..µm..	Nuclei.Cytoplasm.A.Selected...Cell.Roundness	Nuclei.Cytoplasm.A.Selected...Nuc.Area...Cell.Area...Cell.Roundness	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Nucleus.Alexa.647.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Cytoplasm.Alexa.647.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.488.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Turquoise2.alternative.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.546.Mean	Nuclei.Cytoplasm.A.Selected...Intensity.Ring.Region.Alexa.647.Mean
7	7	0	13	1	778	126	"[685,96,859,178]"	1431.93	-1693.71	2	359.514	0.920604	0.483298	1	1	359.514	0.920604	1308.3	0.241279	1667.81	0.380196	0.081955	3342.09	1474.95	1328.95	1609.3	816.106	1023.81	1145.12	1393.94	888.271	1049.08	1154	1434.68
7	7	0	13	2	297	455	"[257,392,337,512]"	1147.66	-1884.92	6	379.586	0.911415	0.504571	5	5	379.586	0.911415	1922.3	0.345473	2301.89	0.517179	0.0852838	3332.35	3864.76	4902.44	1451	826.673	1166.42	1184.24	1342.05	945.246	1319.44	1272.9	1380.67
7	7	0	13	3	802	442	"[754,414,836,477]"	1447.64	-1880.18	7	218.647	0.930946	0.582507	6	6	218.647	0.930946	872.439	0.409959	1091.09	0.659689	0.132198	1323.93	1642.91	2702.49	1521.2	768.843	1061.68	1204.77	1408.87	775.67	1085.92	1237.9	1438.58
7	7	0	13	4	752	460	"[682,438,779,488]"	1409.61	-1893.06	8	219.364	0.919867	0.617343	7	7	219.364	0.919867	771.359	0.361222	990.724	0.558009	0.123553	1290.94	1603.13	2641.72	1502.39	724.073	1039.54	1197.98	1371.29	745.991	1065.01	1233.72	1396.4
7	7	0	13	5	879	450	"[806,403,930,494]"	1490.65	-1886.35	9	301.088	0.89611	0.49771	8	8	301.088	0.89611	2001.88	0.399303	2302.97	0.575023	0.0751781	5809.43	2275.66	1408.96	1644.6	899.383	1116.14	1354.35	1445.4	1058.25	1162.8	1321.39	1484.05
7	7	0	13	6	966	475	"[936,443,990,499]"	1546.85	-1897.79	10	231.551	0.854353	0.66309	9	9	231.551	0.854353	484.25	0.324394	715.801	0.692098	0.223883	1080.95	1295.95	1394.02	1536.25	801.571	1074.4	1164.86	1376.68	819.384	1088.24	1170.05	1387.17
7	7	0	13	7	1003	476	"[987,452,1047,525]"	1573.49	-1907.91	12	251.624	0.751746	0.387099	10	10	251.624	0.751746	433.71	0.243792	685.334	0.57435	0.210875	1109.91	1320.29	1398.81	1568.13	787.91	1065.71	1161.16	1372.49	794.99	1069.24	1163.8	1377.15
7	7	0	13	8	73	453	"[39,425,125,572]"	1020.48	-1903.49	13	178.144	0.98822	0.713763	11	11	178.144	0.98822	1945.96	0.261885	2124.11	0.324845	0.027244	1049.26	1118.7	1327.76	1551.7	703.275	999.894	1158.88	1369.31	698.658	995.753	1157.85	1389.55
7	7	0	13	9	225	554	"[147,493,259,634]"	1095.63	-1950.55	14	213.629	0.905464	0.576888	12	12	213.629	0.905464	1616.56	0.301953	1830.19	0.408522	0.0476849	3775.11	4427.09	7715.05	1609.81	834.879	1180.61	1258.82	1346.56	979.415	1375.61	1486.61	1409.49
7	7	0	13	10	93	671	"[75,587,250,694]"	1064.23	-2000.84	17	203.235	0.723062	0.266667	14	14	203.235	0.723062	1612.61	0.228558	1815.85	0.306377	0.0342905	5185.62	5575.86	21127.5	1586.24	885.802	1227.37	1433.85	1371.02	1082.6	1476.02	2094.09	1430.29
7	7	0	13	11	579	698	"[520,642,672,761]"	1321.08	-2029.8	18	221.873	0.91345	0.438397	15	15	221.873	0.91345	2691.51	0.270656	2913.39	0.335063	0.0255172	6089.44	3280.51	1270	1695.55	817.919	1074.67	1136.35	1370.15	957.423	1157.05	1143.06	1417.47
7	7	0	13	12	494	750	"[448,705,561,801]"	1268.75	-2067.84	19	298.221	0.922684	0.526754	16	16	298.221	0.922684	1760.65	0.364847	2058.87	0.529244	0.0766593	3205.48	3697.8	12236.4	1611.71	823.27	1153.04	1268.1	1408.67	934.005	1277.66	1410.61	1490.18
7	7	0	13	13	612	768	"[577,712,655,822]"	1334.66	-2075.34	20	303.956	0.978854	0.654791	17	17	303.956	0.978854	1139.83	0.31751	1443.79	0.503805	0.106064	2944.88	1527.87	1263.05	1566.68	769.365	1017.14	1133.11	1381.88	810.757	1032.41	1137.41	1416.81
7	7	0	13	14	258	810	"[214,773,318,841]"	1124.58	-2098.53	21	213.988	0.835987	0.513902	18	18	213.988	0.835987	1156.32	0.269688	1370.31	0.396249	0.0618783	899.404	1211.18	1779.86	1504.5	672.928	984.785	1136.93	1372.42	683.391	995.624	1149.44	1368.67
7	7	0	13	15	177	835	"[76,783,246,899]"	1074.08	-2119	22	257	0.875895	0.530012	19	19	257	0.875895	2749.22	0.312618	3006.22	0.400549	0.0342427	844.469	1159.68	1658.6	1498.08	675.484	982.58	1170.79	1352.95	674.153	981.322	1145.62	1369.11
7	7	0	13	16	840	868	"[770,793,893,915]"	1467.56	-2132.61	23	406.469	0.958307	0.66334	20	20	406.469	0.958307	1473.18	0.245973	1879.65	0.372749	0.080606	3675.36	1638.28	1231.7	1457.99	844.67	1039.13	1122.52	1355.23	941.103	1069.19	1127.88	1387.31
