Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	ec26b9de-4fa4-4782-9f21-bfde738eb120
Plate Name	CD_4percent_formaldehide_070524
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Total Spot Area (2)	full nuclei - Relative Spot Intensity (2)	full nuclei - Number of Spots (2)	full nuclei - Number of Spots per Area of Nucleus (2)	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - areaum2RPA Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyRPAspots	full nuclei - %areacoveredbyspots	
2	3	0	1	1	651	46	[615,11,689,87]	21.07	92.29					2	69	0.00343527	2	0.000482975	0	0	0	0	146.434	0.904256	2.43997	0	0	1.66626	
2	3	0	1	2	215	138	[177,89,252,182]	-60.55	75.77					3	0	0	0	0	0	0	0	0	181.619	0.899449	0	0	0	0	
2	3	0	1	3	738	175	[700,138,780,214]	37.48	68.49					5	139	0.00206336	10	0.00256082	0	0	0	0	138.088	0.832144	4.91531	0	0	3.55954	
2	3	0	1	4	651	196	[614,164,693,230]	21.19	64.84					6	15	0.000352928	1	0.00029163	0	0	0	0	121.256	0.639363	0.530429	0	0	0.437445	
2	3	0	1	5	962	241	[928,211,999,272]	79.85	56.06					7	179	0.0163582	5	0.00148104	0	0	0	0	119.382	0.909105	6.32979	0	0	5.30213	
2	3	0	1	6	1044	290	[1012,253,1077,326]	94.71	46.44					8	19	0.00114589	3	0.000818554	0	0	0	0	129.602	0.887832	0.671877	0	0	0.518417	
2	3	0	1	7	691	296	[662,270,722,332]	28.95	44.97					9	0	0	0	0	0	0	0	0	91.4813	0.82617	0	0	0	0	
2	3	0	1	8	177	302	[144,274,219,331]	-67.28	44.72					10	82	0.0143933	3	0.000858369	0	0	0	0	123.59	0.964887	2.89968	0	0	2.34621	
2	3	0	1	9	1022	354	[972,321,1059,388]	89.81	34.51					11	659	0.0268941	42	0.00932504	0	0	0	0	159.27	0.943801	23.3035	0	0	14.6314	
2	3	0	1	10	298	382	[264,352,338,413]	-44.7	29.48					12	0	0	0	0	0	0	0	0	127.091	0.916486	0	0	0	0	
2	3	0	1	11	169	488	[133,432,204,528]	-69.73	10.85					14	900	0.0462452	33	0.00656716	0	0	0	0	177.694	0.917033	31.8257	0	0	17.9104	
2	3	0	1	12	961	555	[933,529,998,582]	80.25	-3.31					16	0	0	0	0	0	0	0	0	96.9624	0.730298	0	0	0	0	
2	3	0	1	13	258	558	[217,522,301,595]	-52.71	-3.21					17	1505	0.0406427	22	0.00541339	0	0	0	0	143.711	0.843323	53.2197	0	0	37.0325	
2	3	0	1	14	644	567	[622,545,673,590]	20.13	-5.27					18	0	0	0	0	0	0	0	0	57.0742	0.859616	0	0	0	0	
2	3	0	1	15	692	578	[664,554,724,602]	29	-7.17					19	0	0	0	0	0	0	0	0	62.9796	0.70505	0	0	0	0	
2	3	0	1	16	975	617	[945,589,1019,647]	83.28	-14.63					20	100	0.0141569	5	0.00153139	0	0	0	0	115.457	0.922863	3.53619	0	0	3.06279	
2	3	0	1	17	718	617	[680,543,755,647]	34.17	-11.91					21	3	6.88518E-05	1	0.000219154	0	0	0	0	161.357	0.632552	0.106086	0	0	0.0657462	
2	3	0	1	18	337	637	[298,601,372,681]	-38.48	-18.59					22	28	0.00026457	2	0.000485084	0	0	0	0	145.797	0.826439	0.990134	0	0	0.679117	
