Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	19283e27-5448-4aa9-80bf-b3866b910171
Plate Name	0.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	19	1	618	53	[600,34,638,79]	-1267.81	2081.56					1	26	0.000917523	1	0.000748503	118.486	0.903546	2.30586	1.94611	
2	3	0	19	2	484	167	[464,148,504,188]	-1308.15	2048.08					2	97	0.00563123	2	0.00162602	109.085	0.936762	8.60263	7.88618	
2	3	0	19	3	438	576	[416,562,456,590]	-1322.3	1926.87					3	52	0.00877858	2	0.00222965	79.5521	0.920906	4.61172	5.7971	
2	3	0	19	4	424	674	[407,657,444,694]	-1325.69	1897.18					4	61	0.0042667	2	0.00182983	96.9348	0.882892	5.4099	5.58097	
2	3	0	19	5	413	706	[395,686,437,725]	-1328.67	1887.92					5	24	0.00338632	1	0.000830565	106.779	0.873905	2.12849	1.99336	
2	3	0	19	6	641	844	[616,827,668,875]	-1262.03	1845.27					6	144	0.00556964	5	0.00328299	135.07	0.757932	12.7709	9.45502	
2	3	0	19	7	823	930	[803,911,841,951]	-1207.43	1820.68					7	0	0	0	0	102.522	0.930594	0	0	
2	3	0	19	8	151	950	[135,920,169,976]	-1407.17	1816.12					8	125	0.00774331	5	0.00330469	134.183	0.854624	11.0859	8.26173	
2	3	0	19	9	646	1014	[627,995,667,1033]	-1259.79	1795.96					9	71	0.00505645	2	0.00172861	102.611	0.931063	6.29677	6.13656	
2	3	0	19	10	430	141	[402,113,460,171]	-1323.8	2055.37					10	504	0.0158962	16	0.00612557	231.65	0.905824	44.6982	19.2956	
2	3	0	19	11	334	144	[310,120,363,169]	-1352.05	2055.11					11	116	0.00352911	5	0.00247525	179.148	0.9144	10.2877	5.74257	
2	3	0	19	12	739	477	[712,451,765,511]	-1232.31	1954.92					12	294	0.00795552	13	0.00523139	220.387	0.863549	26.0739	11.831	
2	3	0	19	13	563	692	[534,662,593,725]	-1284.67	1891.47					13	305	0.00569249	9	0.00311742	256.039	0.923935	27.0495	10.5646	
2	3	0	19	14	766	760	[736,731,799,790]	-1223.77	1871.76					14	492	0.0150899	21	0.00766423	243.002	0.89665	43.634	17.9562	
2	3	0	19	15	666	878	[633,851,730,921]	-1249.35	1833.89					15	153	0.0091064	2	0.000474834	373.549	0.781205	13.5691	3.63248	
2	3	0	22	1	372	558	[340,535,397,583]	-696.78	1608.79					1	66	0.00202163	3	0.00143609	185.267	0.844586	5.85334	3.15941	
2	3	0	22	2	36	849	[15,829,66,870]	-794.79	1522.32					2	69	0.0048558	2	0.0012837	138.174	0.913505	6.1194	4.42875	
2	3	0	22	3	776	686	[736,647,816,728]	-575.31	1570.07					3	680	0.0114967	31	0.00611199	449.82	0.885095	60.3071	13.4069	
2	3	0	24	1	769	241	[747,218,802,269]	69.84	1702.59					1	561	0.0201896	19	0.0102316	164.692	0.851965	49.7533	30.21	
2	3	0	24	2	753	275	[733,255,786,294]	64.86	1692.67					2	0	0	0	0	122.743	0.874715	0	0	
2	3	0	24	3	996	525	[979,507,1014,548]	136.1	1617.73					3	46	0.00156316	2	0.00168634	105.183	0.97351	4.0796	3.87858	
2	3	0	24	4	1000	856	[980,839,1016,873]	136.82	1519.95					4	41	0.00301766	1	0.00102041	86.9132	0.927925	3.63616	4.18367	
2	3	0	24	5	1044	899	[1018,874,1073,925]	150.51	1507.37					5	448	0.0361101	18	0.00825309	193.426	0.935052	39.7317	20.541	
2	3	0	9	1	627	97	[604,75,648,127]	994.77	2391.06					3	71	0.00159672	3	0.00168634	157.774	0.916829	6.29677	3.99101	
2	3	0	9	2	249	136	[227,117,274,154]	882.57	2380.81					4	0	0	0	0	121.59	0.925582	0	0	
2	3	0	9	3	157	235	[135,220,174,254]	854.16	2350.8					5	119	0.00682735	4	0.00438596	80.8824	0.909327	10.5537	13.0482	
2	3	0	9	4	598	266	[575,245,629,289]	987.42	2341.33					6	37	0.00118436	1	0.000560853	158.129	0.896807	3.28142	2.07515	
2	3	0	9	5	37	311	[7,289,62,333]	818.37	2328.68					7	36	0.00109802	2	0.00103093	172.053	0.91344	3.19273	1.85567	
2	3	0	9	6	380	361	[361,339,399,385]	921.54	2313.06					8	0	0	0	0	121.501	0.877112	0	0	
2	3	0	9	7	566	379	[545,361,592,399]	977.36	2307.89					9	79	0.00273283	2	0.00145349	122.033	0.910973	7.00626	5.74128	
2	3	0	9	8	208	640	[178,622,226,661]	868.34	2229.96					10	162	0.00744656	5	0.00354108	125.226	0.933069	14.3673	11.4731	
2	3	0	9	9	544	795	[507,771,583,820]	970.29	2183.84					12	0	0	0	0	243.712	0.850559	0	0	
2	3	0	9	10	263	986	[228,961,289,1010]	884.87	2127.65					13	135	0.00228167	5	0.00217391	203.98	0.887058	11.9727	5.86957	
2	3	0	4	1	433	39	[406,20,459,59]	-677.65	2409.21					1	95	0.00408255	4	0.00245851	144.294	0.928911	8.42526	5.83897	
2	3	0	4	2	76	100	[41,79,99,122]	-785.1	2390.94					2	94	0.00201533	4	0.00223214	158.927	0.920694	8.33657	5.24554	
2	3	0	4	3	572	116	[553,97,594,137]	-635.65	2386.22					3	160	0.00823253	4	0.00300526	118.042	0.971162	14.1899	12.021	
2	3	0	4	4	623	135	[596,113,651,159]	-620.53	2380.75					4	253	0.00727596	10	0.00586166	151.3	0.9468	22.4378	14.83	
2	3	0	4	5	625	178	[608,161,645,201]	-619.99	2366.93					5	53	0.00242955	2	0.00175285	101.192	0.981894	4.70041	4.64505	
2	3	0	4	6	446	227	[426,208,467,247]	-673.51	2353.62					6	0	0	0	0	111.213	0.947328	0	0	
2	3	0	4	7	324	424	[302,400,345,448]	-709.97	2295.03					7	112	0.00440676	4	0.00278552	127.354	0.878567	9.93293	7.79944	
2	3	0	4	8	846	537	[830,518,862,568]	-554.55	2259.1					8	0	0	0	0	115.648	0.882853	0	0	
2	3	0	4	9	792	569	[772,542,814,599]	-570.27	2251.17					9	123	0.00337748	5	0.00272183	162.918	0.912428	10.9085	6.6957	
2	3	0	4	10	455	611	[435,592,483,631]	-669.74	2238.86					10	70	0.00313721	3	0.00198413	134.095	0.890235	6.20808	4.62963	
2	3	0	4	11	743	633	[722,613,771,655]	-584.18	2231.77					12	107	0.00348249	4	0.00257566	137.731	0.927364	9.4895	6.88989	
2	3	0	4	12	669	732	[646,709,691,770]	-607.61	2200.71					13	321	0.0107653	13	0.00610042	188.992	0.878185	28.4685	15.0634	
2	3	0	4	13	285	787	[267,768,303,809]	-721.28	2186.07					14	27	0.00241426	1	0.000910747	97.3782	0.843414	2.39455	2.45902	
2	3	0	4	14	317	784	[298,767,335,810]	-712.35	2186.34					15	94	0.00327093	4	0.00324149	109.44	0.839516	8.33657	7.6175	
2	3	0	4	15	576	839	[555,818,595,861]	-635.35	2170.76					16	78	0.0026717	3	0.00234926	113.253	0.948179	6.91758	6.10807	
2	3	0	4	16	908	1014	[889,990,929,1043]	-535.81	2118.03					17	23	0.000656332	1	0.000601323	147.486	0.925318	2.0398	1.38304	
2	3	0	4	17	649	396	[627,373,671,420]	-613.03	2303.1					18	249	0.0129447	9	0.00561097	142.254	0.94484	22.083	15.5237	
2	3	0	4	18	691	558	[665,532,715,590]	-601.3	2253.84					19	220	0.00539226	10	0.00453309	195.643	0.895926	19.5111	9.9728	
2	3	0	4	19	145	927	[114,897,174,962]	-763.54	2144.23					20	54	0.00274351	2	0.000709723	249.92	0.863023	4.78909	1.91625	
2	3	0	11	1	187	227	[163,205,214,253]	1187.05	2030.74					1	60	0.00381945	2	0.00117925	150.413	0.832165	5.32121	3.53774	
2	3	0	11	2	219	256	[192,230,254,282]	1197.42	2021.09					2	187	0.00869616	6	0.00295858	179.857	0.813436	16.5844	9.22091	
2	3	0	11	3	467	342	[440,319,493,366]	1269.94	1996.45					3	108	0.00239363	6	0.00326975	162.74	0.833893	9.57818	5.88556	
2	3	0	11	4	493	381	[466,359,521,406]	1277.79	1983.96					4	272	0.00955028	12	0.0061287	173.649	0.818798	24.1228	13.8917	
2	3	0	11	5	555	148	[531,125,577,177]	1296.24	2052.88					5	0	0	0	0	157.242	0.84148	0	0	
2	3	0	11	6	496	165	[474,143,519,187]	1278.84	2048.93					6	17	0.000765988	1	0.000645578	137.376	0.910441	1.50768	1.09748	
2	3	0	11	7	438	455	[413,432,471,479]	1262.74	1962.34					7	58	0.00098715	2	0.000946522	187.395	0.879974	5.14384	2.74491	
2	3	0	11	8	607	541	[578,513,636,570]	1312.14	1936.95					8	0	0	0	0	214.711	0.861475	0	0	
2	3	0	11	9	720	862	[696,837,748,886]	1345.86	1841.44					9	0	0	0	0	166.199	0.875544	0	0	
2	3	0	26	1	368	69	[345,51,391,88]	594.86	1754.68					1	176	0.00863325	5	0.00387597	114.406	0.953758	15.6089	13.6434	
2	3	0	26	2	276	156	[254,126,298,179]	567.63	1729.5					2	141	0.00430031	5	0.00289519	153.162	0.93802	12.5049	8.16445	
2	3	0	26	3	296	748	[275,730,316,769]	572.9	1552.13					3	0	0	0	0	111.391	0.948204	0	0	
2	3	0	26	4	244	910	[216,888,268,933]	557.11	1504.19					4	82	0.00267463	4	0.00221484	160.169	0.889734	7.27233	4.54042	
2	3	0	26	5	312	984	[288,956,332,1011]	577.75	1482.07					5	0	0	0	0	132.853	0.822804	0	0	
2	3	0	26	6	258	973	[232,948,292,997]	562.93	1485.4					6	111	0.00343388	4	0.00195027	181.897	0.82435	9.84425	5.41199	
2	3	0	28	1	377	46	[355,27,397,70]	1243.21	1760.89					1	20	0.000617553	1	0.00071736	123.63	0.878405	1.77374	1.43472	
2	3	0	28	2	285	151	[263,134,305,170]	1215.68	1729.98					2	32	0.00121233	1	0.00082713	107.222	0.955152	2.83798	2.64682	
2	3	0	28	3	342	211	[319,188,364,234]	1232.75	1712.46					3	0	0	0	0	143.85	0.935036	0	0	
2	3	0	28	4	293	287	[264,261,318,312]	1217.99	1689.79					4	80	0.00174424	3	0.00150981	176.221	0.81468	7.09495	4.02617	
2	3	0	28	5	146	481	[126,461,175,501]	1175.89	1632.06					5	73	0.00238283	2	0.00126823	139.859	0.875572	6.47414	4.62904	
2	3	0	28	6	108	520	[81,502,127,541]	1162.24	1620.25					6	0	0	0	0	116.269	0.893643	0	0	
2	3	0	28	7	69	540	[48,520,94,560]	1151.77	1614.38					7	42	0.00358136	1	0.000764526	116.002	0.868784	3.72485	3.21101	
2	3	0	28	8	630	578	[598,551,654,611]	1317.62	1601.8					8	214	0.00544598	7	0.0030541	203.27	0.862058	18.979	9.33682	
2	3	0	28	9	337	49	[315,27,360,70]	1231.58	1760.51					9	0	0	0	0	137.819	0.868096	0	0	
2	3	0	28	10	526	130	[502,102,549,157]	1287.79	1736.31					10	159	0.00409925	7	0.00345338	179.768	0.90954	14.1012	7.8441	
2	3	0	28	11	486	703	[456,678,513,730]	1275.3	1565.57					11	223	0.00525792	12	0.00517911	205.488	0.915313	19.7772	9.62451	
2	3	0	25	1	848	275	[828,255,870,301]	415.25	1692.42					1	28	0.00147618	1	0.000726216	122.122	0.936418	2.48323	2.03341	
2	3	0	25	2	733	551	[716,537,748,570]	380.33	1610.21					2	37	0.00200548	1	0.00117371	75.5612	0.935655	3.28142	4.34272	
2	3	0	25	3	42	716	[21,696,67,737]	175.16	1561.8					3	137	0.00518289	7	0.004811	129.039	0.924447	12.1501	9.41581	
