Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	36	1	715	178	[700,163,742,198]	-1238.24	1398.95					1	28	0.00192425	1	0.00101523	87.3566	0.798221	2.48323	2.84264	
2	3	0	36	2	734	205	[709,181,752,226]	-1234	1391.43					2	74	0.0034313	3	0.00262927	101.192	0.816007	6.56283	6.48554	
2	3	0	36	3	886	321	[865,302,906,344]	-1188.32	1356.27					3	0	0	0	0	116.623	0.879292	0	0	
2	3	0	36	4	1041	350	[1023,332,1059,375]	-1142.41	1346.54					4	0	0	0	0	110.149	0.915363	0	0	
2	3	0	36	5	275	355	[254,335,295,377]	-1370.5	1346.48					5	0	0	0	0	116.091	0.980599	0	0	
2	3	0	36	6	869	345	[859,334,889,357]	-1192.53	1348.99					6	0	0	0	0	42.6584	0.881481	0	0	
2	3	0	36	7	727	1003	[704,982,748,1030]	-1236.28	1152.67					7	0	0	0	0	145.447	0.917894	0	0	
2	3	0	13	1	542	36	[520,17,560,64]	645.99	2086.27					1	21	0.00108808	1	0.000788022	112.544	0.87678	1.86242	1.65485	
2	3	0	13	2	801	245	[768,223,823,272]	722.52	2024.35					2	0	0	0	0	173.383	0.877841	0	0	
2	3	0	13	3	409	659	[390,637,430,686]	607.21	1901.24					3	0	0	0	0	134.095	0.937014	0	0	
2	3	0	13	4	151	694	[131,682,184,708]	531.98	1891.34					4	13	0.000752076	1	0.00104932	84.5186	0.663556	1.15293	1.36411	
2	3	0	13	5	81	862	[63,844,103,886]	509.32	1841.33					5	13	0.000493923	1	0.000934579	94.895	0.830597	1.15293	1.21495	
2	3	0	13	6	206	870	[192,856,234,887]	547.54	1839.13					6	0	0	0	0	71.0382	0.725384	0	0	
2	3	0	13	7	100	889	[76,863,121,911]	514.84	1833.35					7	0	0	0	0	130.813	0.900047	0	0	
2	3	0	13	8	225	891	[199,874,242,910]	551.51	1832.34					8	0	0	0	0	94.3629	0.877694	0	0	
2	3	0	13	9	432	970	[411,947,455,999]	614.1	1808.31					9	0	0	0	0	144.294	0.863654	0	0	
2	3	0	13	10	696	986	[669,959,713,1004]	691.83	1804.9					10	69	0.00321782	2	0.00172861	102.611	0.728494	6.1194	5.9637	
2	3	0	13	11	572	53	[542,31,594,79]	655	2081.64					11	150	0.00489567	7	0.00405327	153.162	0.853797	13.303	8.68558	
2	3	0	13	12	965	195	[939,171,989,224]	772.33	2039					12	211	0.00909468	9	0.00434573	183.671	0.907612	18.7129	10.1883	
2	3	0	13	13	851	204	[823,176,880,236]	738.87	2036.7					13	623	0.0131972	25	0.00972384	228.014	0.915127	55.2519	24.2318	
2	3	0	13	14	184	637	[127,582,237,693]	539.43	1907.35					14	925	0.00785373	34	0.0038284	787.628	0.831349	82.0354	10.4155	
2	3	0	13	15	668	966	[647,947,693,995]	683.87	1809.55					15	109	0.00445953	3	0.00212314	125.315	0.782364	9.66687	7.71408	
2	3	0	13	16	789	1041	[769,1017,809,1063]	720.09	1788.19					16	105	0.00574452	3	0.00201072	132.321	0.94628	9.31212	7.03753	
2	3	0	15	1	556	28	[534,6,590,53]	6.81	2088.96					3	29	0.000807966	1	0.000521921	169.924	0.920689	2.57192	1.51357	
2	3	0	15	2	427	35	[406,13,449,67]	-33.16	2086.25					4	16	0.000318894	1	0.000542594	163.45	0.935716	1.41899	0.86815	
2	3	0	15	3	442	104	[424,86,462,122]	-28.63	2067.14					5	27	0.00164911	1	0.000954198	92.9439	0.944509	2.39455	2.57634	
2	3	0	15	4	587	212	[566,194,610,231]	14.34	2034.94					7	0	0	0	0	107.4	0.92832	0	0	
2	3	0	15	5	942	406	[919,383,965,431]	119.63	1976.98					8	0	0	0	0	150.768	0.872307	0	0	
2	3	0	15	6	727	86	[701,59,755,114]	56.06	2072.18					9	20	0.000319007	1	0.000473709	187.218	0.879491	1.77374	0.947418	
2	3	0	15	7	942	207	[917,184,965,230]	119.69	2036.3					10	182	0.00490983	7	0.00417661	148.639	0.921926	16.141	10.8592	
2	3	0	15	8	754	222	[730,199,784,246]	64.66	2031.64					11	33	0.000888377	1	0.000494071	179.502	0.915444	2.92667	1.63043	
2	3	0	15	9	399	315	[375,291,428,339]	-41.03	2004.24					12	122	0.00329981	4	0.00203874	174.004	0.947695	10.8198	6.21814	
2	3	0	15	10	854	495	[830,471,881,519]	94.36	1950.77					13	233	0.00566267	10	0.00529942	167.352	0.92668	20.664	12.3476	
2	3	0	15	11	961	559	[928,525,1004,595]	126.67	1930.85					14	54	0.000768208	1	0.000255297	347.387	0.871538	4.78909	1.37861	
2	3	0	15	12	1003	646	[972,615,1033,688]	137.47	1903.95					15	45	0.000647597	2	0.000571919	310.138	0.907228	3.99091	1.28682	
2	3	0	15	13	784	643	[757,621,810,668]	72.88	1906.29					16	0	0	0	0	167.086	0.911782	0	0	
2	3	0	15	14	203	788	[174,760,232,822]	-100.09	1863.01					17	49	0.000732404	2	0.000755002	234.932	0.890394	4.34566	1.84975	
2	3	0	17	1	56	114	[31,94,75,139]	-790.39	2063.36					2	0	0	0	0	122.033	0.944645	0	0	
2	3	0	17	2	769	157	[755,144,782,178]	-577.46	2050.06					3	0	0	0	0	63.4111	0.981237	0	0	
2	3	0	17	3	894	651	[872,618,918,673]	-539.71	1905.63					5	68	0.00142441	4	0.00202943	174.802	0.894935	6.03071	3.45003	
