Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	b98954fa-4a8a-47a4-b280-0e0e668217b4
Plate Name	24.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	16	1	230	53	[204,36,248,70]	-415.99	2082.62					2	24	0.00415339	1	0.000827815	107.087	0.964259	2.12755	1.98675	
2	3	0	16	2	795	41	[765,10,824,84]	-246.63	2084.02					3	99	0.00109103	5	0.00143637	308.584	0.880563	8.77615	2.84401	
2	3	0	16	3	981	223	[953,203,1012,244]	-190.41	2031.67					4	49	0.0032845	1	0.000558036	158.857	0.879011	4.34375	2.73438	
2	3	0	16	4	508	277	[489,260,537,295]	-330.67	2015.42					5	80	0.00243609	3	0.0024077	110.455	0.908461	7.09184	6.42055	
2	3	0	16	5	246	310	[218,291,264,333]	-410.85	2005.59					6	40	0.0013917	1	0.000783699	113.115	0.805708	3.54592	3.1348	
2	3	0	16	6	742	470	[711,453,764,490]	-263.83	1957.51					7	213	0.0121661	9	0.00574346	138.911	0.908917	18.882	13.5929	
2	3	0	16	7	317	500	[299,482,341,520]	-388.24	1949.03					8	54	0.00194266	1	0.000793651	111.696	0.940838	4.78699	4.28571	
2	3	0	16	8	187	527	[137,500,208,552]	-432.08	1941.81					9	198	0.00686666	8	0.0034662	204.6	0.68826	17.5523	8.57886	
2	3	0	16	9	413	517	[392,490,448,569]	-358.16	1940.12					10	0	0	0	0	249.544	0.770086	0	0	
2	3	0	16	10	539	558	[518,536,562,588]	-322.74	1930.77					11	215	0.0231769	7	0.00394144	157.439	0.908781	19.0593	12.1059	
2	3	0	16	11	168	569	[149,549,188,597]	-433.33	1927.63					12	195	0.00748093	7	0.00463269	133.947	0.905015	17.2864	12.9054	
2	3	0	16	12	237	638	[210,620,256,658]	-414.26	1907.94					14	0	0	0	0	120.473	0.896365	0	0	
2	3	0	16	13	62	754	[44,736,83,772]	-464.7	1873.94					15	40	0.00582659	1	0.000913242	97.0696	0.919961	3.54592	3.65297	
2	3	0	16	14	811	788	[789,770,835,808]	-241.85	1863.1					16	0	0	0	0	118.966	0.837195	0	0	
2	3	0	16	15	706	826	[679,805,733,848]	-273.41	1852.02					17	126	0.00411806	5	0.00267809	165.506	0.907018	11.1696	6.74879	
2	3	0	16	16	312	823	[293,808,335,838]	-389.81	1852.93					18	0	0	0	0	90.8642	0.894133	0	0	
2	3	0	16	17	230	895	[208,873,256,916]	-414.37	1831.85					19	0	0	0	0	143.521	0.861171	0	0	
2	3	0	16	18	1034	964	[1011,898,1057,989]	-175.91	1815.97					20	64	0.00264875	2	0.000656383	270.11	0.727015	5.67347	2.10043	
2	3	0	16	19	62	1021	[35,1004,79,1040]	-466.19	1794.52					21	0	0	0	0	91.8393	0.822651	0	0	
2	3	0	16	20	374	50	[353,26,396,75]	-371.97	2083.06					24	67	0.00203645	3	0.00180288	147.51	0.973268	5.93942	4.02644	
2	3	0	16	21	1023	60	[992,28,1057,91]	-178.61	2080.13					25	842	0.0302201	39	0.012268	281.812	0.873367	74.6416	26.4863	
2	3	0	16	22	102	84	[80,61,126,107]	-453.15	2072.94					26	203	0.00754504	8	0.00492611	143.964	0.968011	17.9955	12.5	
2	3	0	16	23	857	112	[820,72,894,159]	-228.56	2063.69					27	111	0.000858508	5	0.000996016	445.013	0.879903	9.83993	2.21116	
2	3	0	16	24	452	161	[424,132,481,195]	-348.63	2049.44					28	149	0.00259802	8	0.00287563	246.619	0.882669	13.2086	5.35586	
2	3	0	16	25	683	190	[644,153,726,228]	-278.86	2041.32					29	734	0.0110461	30	0.00689022	385.973	0.860855	65.0676	16.8581	
2	3	0	16	26	495	230	[469,204,526,258]	-335.79	2029.45					30	193	0.00409992	9	0.00347893	229.332	0.86208	17.1091	7.46038	
2	3	0	16	27	118	265	[88,239,143,290]	-448.65	2019.11					31	285	0.00710888	13	0.00619343	186.072	0.992598	25.2647	13.5779	
2	3	0	16	28	182	312	[159,283,207,348]	-429.19	2004.01					32	247	0.0046312	11	0.00444624	219.315	0.900966	21.8961	9.98383	
2	3	0	16	29	697	313	[667,288,736,338]	-274.81	2004.95					33	14	0.000285901	1	0.000381098	232.612	0.853356	1.24107	0.533537	
2	3	0	16	30	842	459	[814,432,872,488]	-232.46	1961.48					34	73	0.00210908	2	0.000886525	199.99	0.786154	6.4713	3.23582	
2	3	0	16	31	175	466	[148,440,201,509]	-431.35	1957.28					35	414	0.0086418	18	0.00654545	243.782	0.876803	36.7003	15.0545	
2	3	0	16	32	904	510	[876,482,931,546]	-214.79	1944.99					36	0	0	0	0	233.499	0.787479	0	0	
2	3	0	16	33	986	507	[960,482,1011,533]	-190.1	1946.91					37	580	0.0211858	19	0.00937346	179.689	0.853037	51.4158	28.6137	
2	3	0	16	34	678	542	[651,514,705,574]	-281.59	1936.18					38	98	0.00190145	4	0.0016116	220.024	0.862946	8.6875	3.94843	
2	3	0	16	35	37	549	[12,525,78,574]	-470.44	1934.67					39	231	0.00739711	9	0.00364225	219.049	0.809208	20.4777	9.34844	
2	3	0	16	36	389	608	[366,584,413,633]	-367.6	1916.9					40	206	0.00820825	9	0.00498339	160.098	0.90349	18.2615	11.4064	
2	3	0	16	37	941	656	[916,629,966,690]	-203.35	1901.56					42	51	0.00125929	1	0.000434028	204.245	0.847907	4.52105	2.21354	
2	3	0	16	38	73	673	[44,646,109,700]	-461.09	1898.06					43	0	0	0	0	223.127	0.817967	0	0	
2	3	0	16	39	774	671	[740,647,800,698]	-254.38	1897.73					44	153	0.00347378	7	0.00307557	201.763	0.893681	13.5631	6.72232	
2	3	0	16	40	615	707	[589,683,642,731]	-300.32	1887.37					45	160	0.0125492	6	0.0030896	172.154	0.907177	14.1837	8.23893	
2	3	0	16	41	845	714	[816,686,875,746]	-231.96	1885.07					46	0	0	0	0	240.236	0.838745	0	0	
2	3	0	16	42	979	791	[946,759,1013,833]	-191.25	1861.42					47	88	0.00126587	5	0.00147362	300.783	0.853852	7.80102	2.59358	
2	3	0	16	43	500	877	[459,837,551,918]	-333.48	1836.69					48	1365	0.0152568	50	0.00854701	518.591	0.859901	121.005	23.3333	
2	3	0	16	44	35	891	[2,859,72,924]	-472.8	1832.84					49	230	0.00618964	10	0.00292141	303.442	0.901147	20.389	6.71925	
2	3	0	16	45	131	924	[107,900,157,948]	-444.33	1823.21					50	311	0.0127322	13	0.00713502	161.517	0.901158	27.5695	17.0692	
2	3	0	16	46	249	963	[212,934,278,995]	-410.69	1810.98					51	419	0.00891943	15	0.00518135	256.636	0.866309	37.1435	14.4732	
2	3	0	16	47	628	966	[594,933,660,1004]	-297.2	1809.53					52	589	0.00947322	19	0.00533408	315.764	0.911817	52.2137	16.5357	
2	3	0	16	48	1053	1041	[1031,1020,1075,1063]	-170.24	1787.7					53	0	0	0	0	132.351	0.89116	0	0	
2	3	0	15	1	901	52	[882,35,922,69]	107.73	2082.34					2	0	0	0	0	94.4988	0.964125	0	0	
2	3	0	15	2	826	203	[802,183,844,220]	84.59	2038.08					3	88	0.00472809	3	0.00276243	96.2717	0.924931	7.80102	8.10313	
2	3	0	15	3	127	354	[96,328,161,378]	-122.83	1993.27					4	39	0.00153636	1	0.000426621	207.791	0.789355	3.45727	1.66382	
2	3	0	15	4	442	380	[418,359,466,402]	-28.89	1984.5					5	106	0.00277986	4	0.00255265	138.911	0.91656	9.39669	6.76452	
2	3	0	15	5	153	395	[113,373,176,419]	-117.32	1979.98					6	25	0.000891871	1	0.000463822	191.125	0.794924	2.2162	1.15955	
2	3	0	15	6	1031	416	[1010,396,1064,437]	148.16	1974.12					7	39	0.000882432	2	0.0011236	157.793	0.895932	3.45727	2.19101	
2	3	0	15	7	513	426	[488,403,535,468]	-7.74	1969.14					8	38	0.000936588	1	0.00045106	196.533	0.732345	3.36862	1.71403	
2	3	0	15	8	558	437	[532,411,584,470]	5.63	1966.77					9	103	0.00268767	4	0.00171306	206.993	0.854515	9.13074	4.41113	
2	3	0	15	9	993	447	[974,428,1013,477]	135.33	1963.27					10	124	0.0039043	5	0.00325521	136.163	0.869243	10.9924	8.07292	
2	3	0	15	10	35	466	[9,444,64,488]	-149.94	1959.5					11	280	0.0128046	11	0.00589181	165.506	0.907018	24.8214	14.9973	
2	3	0	15	11	916	468	[890,445,945,491]	112.51	1958.68					12	53	0.00106534	2	0.00107009	165.683	0.855171	4.69834	2.83574	
2	3	0	15	12	963	571	[939,547,986,599]	125.72	1927.33					13	0	0	0	0	158.946	0.847016	0	0	
2	3	0	15	13	151	571	[118,543,184,603]	-116.49	1927.58					14	243	0.00453171	10	0.00355745	249.19	0.861784	21.5415	8.64461	
2	3	0	15	14	398	674	[369,650,424,698]	-42.1	1897.65					17	0	0	0	0	157.084	0.873292	0	0	
2	3	0	15	15	224	832	[202,811,247,853]	-93.71	1850.41					18	39	0.00105282	2	0.00134318	131.997	0.89733	3.45727	2.61921	
2	3	0	15	16	862	885	[840,858,885,911]	95.91	1834.73					19	0	0	0	0	153.006	0.798646	0	0	
2	3	0	15	17	91	908	[72,890,114,926]	-133.4	1827.8					20	33	0.00189987	1	0.00088968	99.6404	0.915479	2.92538	2.93594	
2	3	0	15	18	155	931	[128,911,181,953]	-114.84	1820.77					21	91	0.00236726	3	0.00178465	149.017	0.821669	8.06697	5.41344	
2	3	0	15	19	468	930	[443,911,491,951]	-21.76	1820.95					22	122	0.00395818	5	0.00329598	134.479	0.947037	10.8151	8.04219	
2	3	0	15	20	279	952	[255,933,311,972]	-76.59	1814.37					23	137	0.00445019	3	0.00177725	149.638	0.855415	12.1448	8.11611	
2	3	0	15	21	370	1029	[349,1010,389,1051]	-50.84	1791.35					24	71	0.00294209	3	0.00232558	114.356	0.935774	6.29401	5.50388	
2	3	0	15	22	160	36	[128,12,194,60]	-112.37	2087.29					29	31	0.00211566	1	0.000424989	208.589	0.847353	2.74809	1.31747	
2	3	0	15	23	259	44	[235,21,286,70]	-82.7	2084.74					30	78	0.00221474	3	0.00158144	168.165	0.9367	6.91454	4.11176	
2	3	0	15	24	186	92	[155,68,210,118]	-106.23	2070.52					31	51	0.00251463	1	0.000466418	190.061	0.84596	4.52105	2.37873	
2	3	0	15	25	433	138	[409,116,471,163]	-29.71	2056.82					32	172	0.00344859	8	0.00357942	198.128	0.884346	15.2475	7.69575	
2	3	0	15	26	253	207	[225,180,283,241]	-84.7	2035.69					33	397	0.0118665	18	0.00706436	225.875	0.91636	35.1933	15.5808	
2	3	0	15	27	770	261	[735,229,820,295]	70.62	2019.98					34	781	0.0145226	27	0.00637243	375.602	0.859654	69.2341	18.4329	
2	3	0	15	28	627	266	[604,243,654,289]	26.99	2019.02					35	75	0.00222066	4	0.00220386	160.896	0.892303	6.6486	4.13223	
2	3	0	15	29	496	274	[472,245,520,302]	-13.04	2016.81					36	319	0.00966371	15	0.00722195	184.122	0.896185	28.2787	15.3587	
2	3	0	15	30	619	342	[594,317,647,368]	24.22	1996.18					37	146	0.00545812	6	0.00277906	191.391	0.929622	12.9426	6.76239	
2	3	0	15	31	737	386	[703,359,767,413]	58.39	1983.28					38	121	0.00376834	5	0.00199362	222.329	0.873674	10.7264	4.82456	
2	3	0	15	32	361	440	[304,415,388,465]	-56.11	1967.49					39	331	0.00633617	10	0.00348918	254.065	0.799859	29.3425	11.5492	
2	3	0	15	33	895	541	[857,520,916,565]	103.67	1936.16					40	517	0.0170357	21	0.0104895	177.473	0.937154	45.831	25.8242	
2	3	0	15	34	413	586	[368,550,455,622]	-38.17	1924.1					41	106	0.00150303	4	0.000797607	444.57	0.852692	9.39669	2.11366	
2	3	0	15	35	728	600	[680,557,771,643]	55.52	1918.83					42	480	0.00947095	16	0.00280161	506.269	0.872853	42.551	8.40483	
2	3	0	15	36	527	616	[504,586,549,642]	-3.63	1915.21					43	0	0	0	0	176.232	0.873739	0	0	
2	3	0	15	37	111	626	[72,598,142,654]	-128.62	1911.75					44	160	0.00529189	6	0.00211864	251.051	0.803195	14.1837	5.64972	
2	3	0	15	38	846	665	[821,639,869,693]	91	1899.44					45	20	0.000471189	1	0.000517598	171.268	0.853222	1.77296	1.0352	
2	3	0	15	39	349	699	[313,672,391,727]	-56.01	1890.05					46	354	0.00766975	13	0.00392631	293.514	0.884121	31.3814	10.6916	
2	3	0	15	40	223	734	[193,706,273,763]	-91.29	1879.84					47	157	0.00240203	7	0.00191257	324.452	0.882477	13.9177	4.28962	
2	3	0	15	41	460	743	[426,718,483,766]	-24.98	1876.88					48	57	0.00135307	2	0.000999001	177.473	0.864913	5.05294	2.84715	
2	3	0	15	42	72	791	[29,754,110,828]	-139.93	1862.43					49	840	0.0206863	38	0.00869366	387.48	0.866867	74.4643	19.2176	
2	3	0	15	43	981	788	[953,760,1010,820]	131.52	1862.56					50	0	0	0	0	220.822	0.875799	0	0	
2	3	0	15	44	511	798	[486,772,537,823]	-8.5	1860.55					51	0	0	0	0	179.512	0.818218	0	0	
2	3	0	15	45	687	811	[657,783,719,840]	44.09	1856.38					52	0	0	0	0	243.693	0.866103	0	0	
2	3	0	15	46	605	832	[579,807,631,857]	19.42	1850.38					53	67	0.00122724	3	0.00151745	175.257	0.923446	5.93942	3.38897	
2	3	0	15	47	939	903	[914,876,963,934]	118.68	1828.26					54	0	0	0	0	190.416	0.920274	0	0	
2	3	0	15	48	571	911	[548,890,601,934]	10.28	1826.51					55	0	0	0	0	153.982	0.869814	0	0	
2	3	0	15	49	712	962	[688,939,742,988]	52.14	1811.33					56	0	0	0	0	174.725	0.869393	0	0	
2	3	0	15	50	420	1003	[396,980,451,1028]	-34.74	1799.1					57	166	0.00415667	6	0.0030015	177.207	0.91563	14.7156	8.30415	
2	3	0	15	51	546	1007	[519,981,574,1035]	2.01	1798.17					58	0	0	0	0	191.302	0.810863	0	0	
2	3	0	20	1	591	59	[565,39,614,79]	-1276.42	1757.5					2	27	0.000643824	1	0.000632111	140.241	0.884332	2.3935	1.7067	
2	3	0	20	2	980	125	[961,107,1010,147]	-1159.3	1737.1					3	51	0.00189931	2	0.00142653	124.284	0.81716	4.52105	3.63766	
2	3	0	20	3	926	196	[897,179,949,217]	-1177.45	1716.27					5	202	0.00904021	7	0.00473293	131.11	0.878855	17.9069	13.6579	
