Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	80e97db4-0be1-4719-a612-56dd98e755df
Plate Name	2h.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation5

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	3	0	2448	14733.2387877	7894.47408727	10980.4505565	10612.4418052	69	0					
5	4	0	2430	15281.1343013	7984.79569783	11015.1320189	10714.1652993	69	0					
5	5	0	2398	16013.9848157	8252.37924234	11091.8581809	10765.5486849	69	0					
5	6	0	2307	16659.9711416	8382.97215941	11217.4190615	10842.9052493	69	0					
5	7	0	2242	15982.2869115	8223.17286898	11204.2301122	10832.414879	69	0					
6	3	0	2518	15155.5401862	7967.33858791	10716.4159995	10364.8457256	69	0					
6	4	0	2341	16035.1966383	8186.72741092	10905.3118523	10592.2539638	69	0					
6	5	0	2734	16347.0692925	8261.5319907	11038.7100044	10748.9124437	69	0					
6	6	0	2378	16687.6356125	8430.27907047	11162.6567486	10866.0087805	69	0					
6	7	0	2873	16587.5970398	8406.0660777	11307.2963222	10878.12006	69	0					
7	3	0	2033	14171.410656	7743.50666766	10776.1158653	10439.2256007	69	0					
7	4	0	2045	17566.7648439	8968.60649712	10920.6182958	10591.1969723	69	0					
7	5	0	2178	17469.6367916	8890.77104412	11076.3306516	10765.2971644	69	0					
7	6	0	2344	17404.4001606	8816.600338	11204.6696134	10914.2720443	69	0					
7	7	0	1904	17748.7547744	9064.22211741	11258.0634132	10852.9261902	69	0					
