Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	49193b09-c41e-4ed2-81fc-d5944496572c
Plate Name	4.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	18	1	745	313	[727,294,764,331]	-907.64	2004.84					2	0	0	0	0	93.9669	0.950792	0	0	
2	3	0	18	2	834	324	[813,300,857,343]	-880.89	2001.94					3	0	0	0	0	118.788	0.913361	0	0	
2	3	0	18	3	732	410	[713,387,753,439]	-911.06	1975.11					4	34	0.00200412	1	0.000636943	139.177	0.880418	3.01403	2.16561	
2	3	0	18	4	782	476	[754,456,801,501]	-897.02	1956.31					5	78	0.00665134	3	0.00270027	98.4879	0.761185	6.91454	7.0207	
2	3	0	18	5	587	747	[565,725,609,770]	-954.59	1875.3					6	60	0.00174227	2	0.001321	134.213	0.954309	5.31888	3.96301	
2	3	0	18	6	184	82	[152,50,216,113]	-1074.3	2073.76					8	567	0.0116986	26	0.00817096	282.078	0.914658	50.2634	17.819	
2	3	0	18	7	434	241	[408,216,463,266]	-999.55	2026.29					9	156	0.00302259	7	0.00338001	183.59	0.846086	13.8291	7.53259	
2	3	0	18	8	409	342	[380,311,439,388]	-1007.12	1994.33					10	899	0.0199656	40	0.0114058	310.889	0.865649	79.6946	25.6344	
2	3	0	18	9	56	423	[29,402,77,445]	-1113.56	1972.27					11	114	0.00322709	5	0.00317058	139.798	0.951784	10.1059	7.22892	
2	3	0	18	10	753	495	[728,468,783,522]	-905.07	1950.11					12	182	0.00385763	7	0.00338164	183.501	0.857554	16.1339	8.79227	
2	3	0	18	11	790	761	[764,736,819,788]	-893.65	1871.22					13	467	0.0150619	17	0.00788132	191.214	0.915938	41.3986	21.6504	
2	3	0	29	1	111	714	[82,685,140,740]	1163.82	1240.17					1	307	0.00889635273054	11	0.005004549	194.848300716	0.887907502985	27.2149355414	13.9672429481	
2	3	0	4	1	536	62	[516,41,556,85]	-646.62	2402.11					7	15	0.000575551	1	0.00074129	119.586	0.916924	1.32972	1.11193	
2	3	0	4	2	467	80	[444,57,490,102]	-667.09	2397.41					8	39	0.00269465	1	0.000630915	140.507	0.885308	3.45727	2.46057	
2	3	0	4	3	1027	103	[1000,83,1047,127]	-501.42	2389.64					9	138	0.00639101	5	0.00327869	135.188	0.9583	12.2334	9.04918	
2	3	0	4	4	830	125	[810,103,851,151]	-559.09	2383.18					10	54	0.00144235	2	0.00130804	135.543	0.903597	4.78699	3.53172	
2	3	0	4	5	909	193	[883,175,929,213]	-536.67	2363.09					11	151	0.00531625	4	0.00286944	123.575	0.951773	13.3858	10.8321	
2	3	0	4	6	594	201	[576,178,614,235]	-629.41	2358.85					12	45	0.00111981	2	0.00119332	148.574	0.820232	3.98916	2.68496	
2	3	0	4	7	365	246	[343,226,393,272]	-696.84	2347.19					13	42	0.00123316	2	0.00114745	154.513	0.826993	3.72322	2.40964	
2	3	0	4	8	809	247	[790,228,851,270]	-562.45	2346.53					14	0	0	0	0	165.86	0.88783	0	0	
2	3	0	4	9	381	285	[358,262,401,304]	-693.44	2336.13					15	66	0.00321721	3	0.00230238	115.508	0.906834	5.85077	5.06523	
2	3	0	4	10	864	304	[830,282,895,323]	-549.72	2330.8					16	117	0.00246104	3	0.00158395	167.899	0.786674	10.3718	6.1774	
2	3	0	4	11	384	335	[367,317,400,357]	-692.03	2321.01					17	27	0.00296084	1	0.00101626	87.2296	0.900717	2.3935	2.7439	
2	3	0	4	12	285	365	[260,341,310,389]	-721.62	2312.4					18	0	0	0	0	155.134	0.880323	0	0	
2	3	0	4	13	520	367	[498,347,543,387]	-651.18	2311.74					19	0	0	0	0	123.575	0.934557	0	0	
2	3	0	4	14	369	389	[353,372,385,409]	-696.43	2304.67					20	31	0.00143749	1	0.00104058	85.1907	0.927407	2.74809	3.22581	
2	3	0	4	15	266	400	[227,379,293,422]	-729.1	2301.68					21	319	0.00656184	13	0.00600739	191.834	0.812183	28.2787	14.7412	
2	3	0	4	16	91	439	[70,418,113,460]	-779.2	2290.33					22	37	0.00285856	1	0.000722543	122.689	0.930664	3.27998	2.67341	
2	3	0	4	17	113	572	[97,556,133,589]	-772.1	2250.66					23	110	0.00716007	5	0.00521921	84.9248	0.978999	9.75128	11.4823	
2	3	0	4	18	962	602	[942,585,998,621]	-517.63	2241.42					25	0	0	0	0	140.684	0.885958	0	0	
2	3	0	4	19	264	662	[241,642,286,683]	-728.04	2223.86					26	20	0.000462122	1	0.000716332	123.753	0.935333	1.77296	1.43266	
2	3	0	4	20	785	774	[758,754,813,797]	-572.64	2190.12					27	128	0.00364536	6	0.00328767	161.783	0.923186	11.3469	7.0137	
2	3	0	4	21	1017	1026	[1000,1009,1047,1043]	-502.23	2115.24					28	0	0	0	0	111.253	0.887171	0	0	
2	3	0	4	22	740	46	[713,19,786,75]	-584.27	2406.02					31	362	0.0117573	15	0.00528169	251.76	0.8323	32.0906	12.7465	
2	3	0	4	23	417	67	[393,41,440,97]	-682.28	2400.42					32	312	0.00874345	14	0.00678295	182.969	0.925822	27.6582	15.1163	
2	3	0	4	24	905	84	[868,58,941,126]	-536.59	2393.84					33	260	0.0101016	12	0.00357782	297.325	0.773079	23.0485	7.75194	
2	3	0	4	25	115	120	[81,78,152,156]	-771.74	2386.14					34	138	0.00327751	4	0.000953289	371.967	0.94415	12.2334	3.28885	
2	3	0	4	26	317	107	[280,77,352,139]	-712.09	2388.89					35	527	0.0074788	18	0.00531758	300.073	0.91562	46.7175	15.5687	
2	3	0	4	27	646	155	[615,125,675,185]	-613.51	2374.68					36	327	0.00713111	14	0.00536604	231.283	0.979616	28.9879	12.5335	
2	3	0	4	28	504	170	[474,146,531,196]	-656.57	2370.03					37	185	0.00390309	9	0.00411711	193.785	0.897426	16.3999	8.46295	
2	3	0	4	29	700	209	[677,186,726,235]	-597.52	2358.22					38	357	0.0126966	12	0.00643432	165.329	0.942129	31.6473	19.1421	
2	3	0	4	30	1009	256	[979,228,1038,285]	-506.01	2344.54					40	352	0.0075657	15	0.00596184	223.038	0.869765	31.2041	13.9905	
2	3	0	4	31	245	267	[220,235,270,292]	-733.34	2342.52					41	59	0.00123062	2	0.000901307	196.71	0.911539	5.23023	2.65886	
2	3	0	4	32	193	293	[164,263,223,329]	-748.52	2333.02					42	50	0.000761838	2	0.000680504	260.536	0.839382	4.4324	1.70126	
