Row	Column	Plane	Timepoint	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
5	3	1	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-105-215-87-44-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:16.997+01:00	
5	3	1	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-105-215-87-47-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:17.713+01:00	
5	3	1	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-105-215-87-46-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:18.260+01:00	
5	3	2	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-106-215-87-44-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:18.570+01:00	
5	3	2	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-106-215-87-47-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:19.273+01:00	
5	3	2	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-106-215-87-46-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:19.837+01:00	
5	3	3	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-107-215-87-44-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:20.147+01:00	
5	3	3	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-107-215-87-47-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:20.863+01:00	
5	3	3	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/515-110-110-107-215-87-46-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-02T08:07:21.410+01:00	
5	3	1	0	2	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/825a9a5e-2a4d-457a-b6b1-62ecd390a0c0/512-110-110-105-215-87-44-1010.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	-0.001291628	0.002583257	2023-03-02T08:07:22.487+01:00	
