Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	0be4885c-271b-4523-9b58-735fed2be17f
Plate Name	ATM_ATR100324
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	63	1	689	534	[660,518,727,552]	-600.22	-321.31					1	701	0.0492638	25	0.0133833	6109.26	165.68	0.83066	9.54869	20.0954	0.475169	25	
2	2	1	0	63	2	97	171	[64,139,126,204]	-778.01	-213.38					2	1236	0.0311892	29	0.00988749	4817.01	260.14	0.938088	14.9265	21.312	0.700378	29	
2	2	1	0	63	3	765	248	[742,225,790,276]	-578.52	-236.62					3	733	0.0438457	18	0.00972447	4104.48	164.173	0.938052	12.2648	16.0268	0.765268	18	
2	2	1	0	63	4	435	318	[412,295,468,351]	-676.39	-257.3					4	889	0.0422579	32	0.0160885	7620.07	176.412	0.767862	11.8679	19.3923	0.611987	32	
2	2	1	0	63	5	467	357	[425,304,503,393]	-666.76	-267.37					5	1757	0.0340917	61	0.014813	5422.41	365.242	0.853856	16.8575	26.5323	0.635357	61	
2	2	1	0	63	6	168	454	[143,412,197,485]	-756.18	-296.44					6	1074	0.029708	34	0.0130418	4628.4	231.225	0.860612	12.6633	24.7903	0.510815	34	
2	2	1	0	63	7	516	567	[487,541,547,592]	-652.28	-330.9					7	984	0.036358	28	0.0119403	5601.32	207.987	0.940919	13.5955	18.4189	0.73813	28	
2	2	1	0	1	1	155	126	[118,89,193,165]	-114	122.86					1	1796	0.03451	67	0.0150799	4428.7	394.067	0.975235	20.8556	22.5181	0.926171	67	
2	2	1	0	1	2	788	378	[758,349,827,407]	75.28	47.9					2	1174	0.0351605	30	0.00952986	3979.49	279.209	0.95892	16.6777	20.5859	0.810149	30	
2	2	1	0	1	3	255	386	[228,360,283,417]	-84.58	45.11					3	811	0.042803	31	0.0127625	2787.65	215.438	0.946903	14.3447	18.3489	0.781773	31	
2	2	1	0	1	4	1041	711	[1002,676,1077,748]	148.78	-51.45					5	1332	0.0257419	31	0.00733902	4304.95	374.643	0.866411	20.0135	22.7785	0.878616	31	
2	2	1	0	93	1	525	41	[482,24,554,60]	-328.9	-1143.52					1	737	0.0288068	12	0.00582524	5616.41	182.71	0.826464	9.53009	21.6751	0.439678	12	
2	2	1	0	93	2	110	314	[79,286,140,341]	-450.58	-1224.35					3	816	0.0287356	22	0.00941781	6455.82	207.189	0.91962	12.5648	20.6698	0.607885	22	
2	2	1	0	37	1	214	449	[195,423,235,501]	872.5	346.62					1	1027	0.050357	34	0.0152125	4160.93	198.231	0.822335	10.1082	23.6196	0.427958	34	
2	2	1	0	37	2	242	533	[215,501,274,563]	880.4	324.78					2	816	0.0357914	20	0.00862441	4031.19	205.681	0.867929	11.4417	22.1207	0.51724	20	
2	2	1	0	58	1	706	878	[672,856,737,900]	1017.65	-423.84					1	653	0.0251853	12	0.00625652	4311.96	170.115	0.766444	9.62271	20.7789	0.4631	12	
2	2	1	0	58	2	875	818	[855,792,902,862]	1069.67	-408.31					2	1056	0.0564486	25	0.0115048	3603.57	192.732	0.852599	11.0794	21.7568	0.509236	25	
2	2	1	0	38	1	998	654	[971,627,1025,688]	782.34	287.71					2	1283	0.0385666	39	0.0145849	5948.45	237.168	0.935959	15.2207	19.6332	0.77525	39	
2	2	1	0	38	2	957	725	[930,697,985,757]	770.48	267.38					3	1072	0.0422358	23	0.00937245	4847.12	217.655	0.933231	13.9561	18.8096	0.741966	23	
2	2	1	0	32	1	697	181	[673,137,724,220]	1016.29	752.58					1	1440	0.0353488	32	0.0106277	1903.66	267.058	0.792438	13.7512	25.2933	0.54367	32	
2	2	1	0	32	2	715	238	[690,210,741,273]	1021.53	734.49					2	1108	0.0357633	33	0.0136986	4651.48	213.664	0.904993	13.8924	18.6176	0.746195	33	
2	2	1	0	69	1	716	710	[669,677,759,742]	-916.71	-695.85					1	1353	0.0315653754437	23	0.005932422	5314.42223369	343.866641467	0.797513808476	16.00463291	28.1604876022	0.568336498147	23	
2	2	1	0	24	1	389	705	[344,684,411,725]	-1661.54	596.13					2	1020	0.0372008	27	0.0131068	11878.9	182.71	0.820929	10.9343	20.0622	0.54502	27	
2	2	1	0	24	2	576	751	[560,727,589,803]	-1603.91	578.41					3	827	0.0341395	15	0.00875146	6136.62	152.022	0.767568	7.76607	22.7921	0.340735	15	
2	2	1	0	24	3	679	789	[655,753,706,828]	-1573.44	570.88					4	1024	0.0416019	35	0.0146077	9896.76	212.511	0.780548	11.4417	22.4075	0.510619	35	
2	2	1	0	24	4	73	355	[49,329,100,402]	-1752.87	697.83					6	1007	0.0979152	37	0.0124119	6542.96	264.397	0.918388	13.5955	22.955	0.592269	37	
2	2	1	0	24	5	365	473	[326,439,398,508]	-1666.79	664.78					7	1279	0.0689443	52	0.0139186	4008.11	331.361	0.916922	17.345	22.9839	0.754659	52	
2	2	1	0	24	6	697	539	[645,509,727,568]	-1569.99	645.86					9	1335	0.0316564	43	0.0121161	8133.28	314.775	0.857954	15.6686	25.3353	0.618449	43	
2	2	1	0	24	7	220	619	[192,592,248,647]	-1709.88	622.22					10	1185	0.0387611	30	0.0120337	9125.74	221.114	0.948079	15.6346	17.3961	0.898742	30	
2	2	1	0	24	8	701	645	[676,620,729,671]	-1565.65	614.31					11	605	0.0642873	22	0.0107056	4373.21	182.266	0.965796	13.0768	17.2759	0.756939	22	
2	2	1	0	24	9	628	657	[601,633,660,695]	-1587.79	609.15					12	918	0.0482787	37	0.014613	4518.81	224.573	0.735463	13.2251	20.6096	0.641699	37	
2	2	1	0	24	10	443	690	[404,654,478,746]	-1642.92	598.16					13	2209	0.0275342	67	0.0122352	5878.57	485.688	0.862882	19.4015	28.0279	0.69222	67	
2	2	1	0	24	11	638	701	[605,680,659,724]	-1586.62	597.3					14	594	0.0515939	24	0.013468	5233.86	158.053	0.882851	11.9275	16.4123	0.726741	24	
2	2	1	0	24	12	132	711	[106,684,159,741]	-1735.46	594.35					15	1004	0.0396838	29	0.0121644	8732.06	211.446	0.983869	15.0684	17.2141	0.87535	29	
2	2	1	0	24	13	720	773	[690,749,747,798]	-1560.61	576.2					16	863	0.0488953	31	0.0152185	7059.66	180.67	0.826622	12.8303	17.6793	0.725723	31	
2	2	1	0	24	14	213	995	[186,970,247,1022]	-1711.19	509.82					17	1268	0.0375275	33	0.0131842	6413.15	222.001	0.950251	14.4923	18.9505	0.764746	33	
2	2	1	0	24	15	416	1036	[389,1005,443,1076]	-1651.45	496.69					18	1277	0.0632554	63	0.0212694	7969.29	262.712	0.909544	15.4978	21.4448	0.722687	63	
2	2	1	0	98	1	553	75	[527,48,578,101]	1295.49	-1153.29					1	693	0.0257971	14	0.00781686	5709.5	158.851	0.920397	10.1781	18.467	0.551154	14	
