Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	c9b48c08-8714-44e7-9a29-298db50686b5
Plate Name	T0cal51.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Spots

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Spots - Relative Spot Intensity	Spots - Corrected Spot Intensity	Spots - Uncorrected Spot Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot to Region Intensity	Spots - Object No in Cyto Selected	
2	3	0	15	1	989	594	[987,591,992,597]	-1668.83	1259.05					0.0527717	573.875	11609	0.0597088	10300.8	27	10304	1.05538	65	
2	3	0	15	2	87	753	[84,752,89,756]	-2207.55	1163.87					0.0421625	419.393	10460	0.0466456	9527.66	18	9463.49	1.0511	170	
2	3	0	15	3	104	775	[102,774,107,777]	-2197.18	1151.15					0.04072	414.254	10646	0.0434699	9759	16	9778.66	1.04035	173	
2	3	0	20	1	130	407	[129,405,133,410]	1047.64	1370.7					0.0718414	751.309	11559	0.0871092	9706.57	17	9666.74	1.08184	90	
2	3	0	20	2	595	722	[589,719,598,727]	1323.9	1181.99					0.604128	16608.8	40342	0.575077	10883.4	56	13549.5	2.02903	104	
2	3	0	20	3	604	721	[602,719,607,726]	1330.12	1182.11					0.364768	6271.24	21429	0.324816	10921.1	36	13549.5	1.26886	104	
2	3	0	20	4	494	795	[488,792,497,798]	1263.56	1138.87					0.126523	1469.6	13266	0.133284	10145.6	44	10253.3	1.13282	66	
2	3	0	23	1	437	739	[435,737,441,741]	2522.28	526.79					0.43419348072	8061.57894737	22960	0.372171257189	10505.2105263	19	11689.3441734	1.58835168151	23	
2	3	0	14	1	338	223	[334,219,344,228]	-2702.78	1480.26					0.0602267	680.419	12084	0.0646128	10617.2	62	10515.7	1.07435	9	
2	3	0	14	2	582	410	[581,409,585,413]	-2557.38	1368.28					0.0897598	1000.04	12084	0.0874129	10141.2	15	10098.1	1.1033	57	
2	3	0	14	3	665	933	[663,930,667,936]	-2508.31	1056.4					0.0473491	490.56	10922	0.0505994	9869.94	18	9994.28	1.03664	41	
2	3	0	21	1	115	60	[112,58,117,64]	1684.26	1577.7					0.203487	2490.43	14021	0.179753	9748.38	27	9953.26	1.22963	4	
2	3	0	21	2	113	65	[108,62,115,69]	1682.63	1574.84					0.154116	1781.15	12956	0.139887	9776.08	40	9953.26	1.16115	4	
2	3	0	9	1	392	67	[389,65,394,75]	557.89	2218.19					0.119358	1904.05	16673	0.0854345	14048.3	47	14526.9	1.09813	401	
2	3	0	9	2	391	76	[388,75,393,84]	557.27	2212.47					0.15452	2437.78	16517	0.106455	13338.7	25	15178.4	1.0394	22	
2	3	0	9	3	642	177	[636,172,647,185]	707.32	2153.29					0.117356	1393.8	12598	0.0916401	10482.9	87	10487.7	1.13244	430	
2	3	0	9	4	295	186	[292,185,297,190]	499.82	2147.82					0.0465009	501.51	11192	0.0423068	10283.4	21	10271.7	1.04997	70	
2	3	0	9	5	608	234	[606,232,614,238]	688.17	2119.2					0.157038	1933.64	13599	0.134263	10379.6	40	10492.7	1.17351	99	
2	3	0	9	6	615	238	[613,235,619,241]	691.77	2117.34					0.142014	1704.17	14338	0.16409	10295.8	30	10492.7	1.14366	99	
2	3	0	9	7	795	320	[793,317,798,322]	798.41	2068.69					0.114673	1336.81	12501	0.0955335	10320.8	23	10326.1	1.12895	150	
2	3	0	9	8	555	428	[553,427,558,431]	655.37	2003.46					0.0797896	893.289	11984	0.0754608	10302.3	20	10214.1	1.09609	482	
2	3	0	9	9	379	745	[377,744,380,746]	549.6	1814.92					0.0524058	544.189	10703	0.0420127	9839.94	8	9890.8	1.04988	553	
2	3	0	9	10	1008	751	[1006,749,1011,755]	925.75	1810.65					0.0670554	687.647	10628	0.0525237	9567.27	24	9904.91	1.03534	299	
2	3	0	9	11	1000	753	[996,751,1004,756]	920.82	1809.37					0.13022	1459.16	11760	0.0936353	9746.26	31	9904.91	1.1313	299	
2	3	0	9	12	1006	754	[1004,751,1008,756]	924.2	1809.03					0.101732	1088.47	11383	0.084411	9610.89	17	9904.91	1.08021	299	
2	3	0	9	13	771	910	[767,909,773,914]	783.26	1715.28					0.0902924	978.897	11761	0.087797	9862.52	24	9938.76	1.09082	350	
2	3	0	9	14	161	947	[160,946,164,949]	420.22	1694.04					0.0839491	905.805	12063	0.0992782	9884.13	15	9914.68	1.08828	595	
