Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	c9b48c08-8714-44e7-9a29-298db50686b5
Plate Name	T0cal51.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation4

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Relative Spot Intensity - StdDev per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - StdDev per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - StdDev per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Contrast - StdDev per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Background Intensity - StdDev per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Spot Area [px²] - StdDev per Well	Spots - Region Intensity - Mean per Well	Spots - Region Intensity - StdDev per Well	Spots - Spot to Region Intensity - Mean per Well	Spots - Spot to Region Intensity - StdDev per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - StdDev per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Total Spot Area - StdDev per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Relative Spot Intensity - StdDev per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots - StdDev per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - StdDev per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Spots Area [µm²] - StdDev per Well	Cyto Selected - Formula - Mean per Well	Cyto Selected - Formula - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	8001	147.900656415	50.4302150591	0.962879640045	0.189068523654	220	0.0998919319459	0.0985119618858	1531.13188173	3748.16328861	12821.4136364	5153.55515866	0.0912629530483	0.0865776242679	10276.6935356	564.18292521	36.4363636364	37.9813766604	10593.8019888	1694.25207889	1.10377663949	0.16536201191	7704	147.909506307	50.3090888187	156.87892027	75.1798455637	18012.4297812	3510.02542591	10267.2543891	646.632371717	10002.3827366	1678.06103164	10013.9404404	422.901861435	1.04049844237	9.83499703211	0.000450196109766	0.00847150590092	0.0285565939772	0.202450760534	7.72589264576E-05	0.000615473442491	0.370354830155	3.20296015998	0.00743116505373	0.073637373237	69	0					
2	4	0	9459	153.243299512	55.5546834785	0.965324030024	0.182967445903	225	0.112903820053	0.138862045557	2538.78514776	7232.63602179	14692.0577778	9662.84393175	0.103230923081	0.120294760925	10887.6789039	1204.21442221	33.3288888889	30.2521886916	12214.9128607	6664.13603958	1.09357187255	0.0845420311657	9131	153.102370517	55.0740443726	149.037691653	75.693162571	21501.5684354	4459.03651022	10986.6924669	1921.03889591	11044.9291427	2163.19600425	10522.9402567	1438.73058554	0.821268207206	8.1356672142	0.000290702953823	0.00462914322677	0.0246413317271	0.192821814005	5.88261744235E-05	0.000469835867755	0.29253355827	2.77763186915	0.00554443424064	0.0547649051577	69	0					
2	5	0	10220	153.374377999	52.297015246	0.968884540117	0.173638239337	311	0.110991764141	0.106801411315	2009.2273353	4889.52754529	14494.0160772	6786.68682218	0.0989590926049	0.0915275464294	11334.6167449	1890.45938548	39.0578778135	40.9498890541	11845.1811854	3338.68172226	1.11425701399	0.20726649343	9902	153.379965714	52.2524689725	138.820950772	63.4802413674	21987.886544	4282.46965642	11057.9113069	902.070914772	11376.4537765	2011.62133084	10683.2771201	1076.98734215	1.22672187437	11.980626086	0.000675499155021	0.0161267979744	0.0314077964048	0.220005457443	8.68504691863E-05	0.000649262267822	0.436950021678	3.96313899388	0.00887247496058	0.0831447208501	69	0					
2	6	0	9570	153.816893587	51.9718942907	0.973145245559	0.161667274584	262	0.0925041793737	0.0887843663272	1479.92487388	3880.09093882	13500.0076336	4973.8705705	0.0827139758618	0.0735693082351	11114.4338026	456.89747428	35.3320610687	33.7623036002	11420.29799	1827.64644338	1.09412530628	0.162114418947	9313	153.71481082	51.9063822648	144.154088372	61.1180148332	24545.9811342	4945.76720128	11424.908681	1095.63596643	12018.2416778	2287.26322054	10863.6299404	1128.15313412	0.993986900032	9.07931866456	0.000424813777278	0.0109811681778	0.0281327177064	0.19950250301	7.39512744965E-05	0.000563748286244	0.354082408658	2.94671801297	0.00714249344544	0.0692899673533	69	0					
2	7	0	9137	153.650826041	50.1414795918	0.959833643428	0.196359976251	483	0.0774702493695	0.0574907830792	1018.12081011	1421.65942478	12894.7556936	2727.58127208	0.0745798387786	0.05283323315	10977.0383238	712.812056149	31.1718426501	29.0347029829	11095.9097359	1064.96340033	1.07937908076	0.0842438743425	8770	153.348338216	48.873377761	180.065989102	121.055021332	17175.0455771	6314.26749664	11008.1591199	639.099496548	9902.93141009	1563.31306703	10787.0020708	845.950318964	1.71676168757	11.0598390857	0.000427551988064	0.00519082268426	0.0550741163056	0.280591884115	0.000114408602239	0.000699259669759	0.611506904853	3.75018323165	0.0100264029612	0.0764114234983	69	0					
3	3	0	9839	149.606514556	54.787464375	0.960565098079	0.194637202986	212	0.109362611991	0.109424146319	1926.36235794	5635.92004725	13407.3160377	6733.53772704	0.101438106671	0.0932660659833	10385.1250603	537.463389415	39.2264150943	52.0038793702	10823.3619918	2906.46564188	1.11648237841	0.16433136438	9451	149.450298008	54.6607132758	163.557602895	73.2022318441	19453.75332	3887.97836804	10453.8685142	412.195758872	10165.5283462	1773.32574278	10130.820089	635.032192213	0.87990688816	11.1165956035	0.000514528170721	0.0185236101534	0.0224314887314	0.188349704132	5.16354671892E-05	0.000423497442414	0.312867265219	3.36209629029	0.0053477961308	0.0646288078363	69	0					
3	4	0	9109	155.511170272	51.1026759397	0.966955758041	0.178761931607	212	0.171832558579	0.209975848739	5177.80047034	10623.6418516	18380.9339623	14590.8296359	0.152960753101	0.178552987698	11123.6599198	1252.98110018	47.6650943396	60.2937211014	14921.3048639	10421.3307897	1.10135159303	0.194024029541	8808	155.627771551	51.2619329633	163.339204957	61.4277251652	21182.3729942	4223.30539177	10998.2538639	1034.03516232	10280.6376114	1458.59588394	10471.3215673	1109.59666789	1.14725249773	34.4698860704	0.00042567078028	0.0115305852038	0.0240690281562	0.297389834651	4.76156394534E-05	0.000370699531008	0.408811844932	12.2574519476	0.0045860016872	0.0491652209339	69	0					
3	5	0	9806	154.61096406	51.541193831	0.962981847848	0.188815900389	333	0.104291875019	0.126355729592	2468.02345651	7442.88353102	15887.6486486	9481.68833586	0.0960583897414	0.110050943892	12227.0141415	3107.4246768	32.4354354354	35.4745735289	13036.6000022	5232.8798457	1.10953772566	0.245076304	9443	154.465593671	51.3133728843	159.311220139	86.6566066426	19827.2430063	3802.54278015	10993.4842579	1066.10542369	10132.6798595	1377.38064012	10647.1393905	966.822852986	1.1438102298	11.8607177826	0.000544229135359	0.0120587723441	0.0352642168802	0.256922174989	9.35382833638E-05	0.000763061497091	0.407321076356	4.01637583381	0.00763555813515	0.0704929895685	69	0					
3	6	0	9843	157.084498459	51.4583360022	0.963933760033	0.186464470235	321	0.0849393405049	0.0811332659992	1361.71736792	3700.30242818	13595.635514	4732.00517103	0.0782296120366	0.0708209146729	11326.169473	626.26166306	31.0747663551	33.2064661252	11571.7453975	1746.24771284	1.08716428055	0.126399836434	9488	157.197463303	51.5865742377	145.523500643	57.1496449871	22948.2031659	4691.21191852	11638.1353207	1066.6283797	11116.6465148	1883.03003542	11050.6505454	941.015243947	1.05132799325	8.9439183751	0.000430721901353	0.0118565974116	0.0338322091062	0.215881479044	9.0423141228E-05	0.000617433144572	0.374404774791	2.7764918432	0.00744715615714	0.0635432257417	69	0					
3	7	0	8658	152.884758926	50.7740018255	0.958535458535	0.199373579932	440	0.0797239392631	0.071947217731	1225.55922222	3750.36173164	12980.5522727	4606.89702833	0.0766694583484	0.0627722569084	10874.9623852	611.771686301	31.9863636364	38.9823836792	11029.9071872	1668.82565097	1.0869409603	0.133754257538	8299	152.751911925	50.5660991377	197.4057803	127.077300192	18469.582987	6492.79164966	11028.9237354	1055.00490018	9980.57908046	1537.61832494	10734.9271313	916.345179069	1.69586697192	12.2916591271	0.000458921085807	0.00939970098785	0.0530184359561	0.263619586899	0.000103840990665	0.000582386847434	0.60400451017	4.19071724445	0.00847760910008	0.059800554146	69	0					
