Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	c8489b99-d46a-4d0c-93bb-9372c9ace0b1
Plate Name	T24cal51.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation3
Population	Population - Spots

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Spots - Relative Spot Intensity	Spots - Corrected Spot Intensity	Spots - Uncorrected Spot Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot to Region Intensity	Spots - Object No in Cyto Selected	
2	3	0	31	1	876	53	[875,51,879,60]	-2381.49	934.8					0.0677133	657.197	10715	0.0843286	9048.38	26	9124.54	1.06368	33	
2	3	0	31	2	304	192	[297,184,309,199]	-2723.57	853.24					0.141945	1851.43	15104	0.148773	11191.9	108	11961.3	1.09046	115	
2	3	0	31	3	363	198	[361,196,367,201]	-2687.95	849.59					0.1441	1626.29	13517	0.166439	9659.53	27	9705.52	1.16282	148	
2	3	0	31	4	294	202	[290,195,301,207]	-2729.38	847.53					0.26167	4078.35	17124	0.196165	11507.5	88	12513.3	1.24554	137	
2	3	0	31	5	370	288	[368,285,374,292]	-2683.85	795.85					0.0484393	485.466	10737	0.0592054	9536.69	26	9552.26	1.04919	196	
2	3	0	31	6	116	296	[112,294,118,299]	-2836.51	790.83					0.127707	1514.94	13707	0.139654	10347.7	28	10408.4	1.13971	198	
2	3	0	31	7	144	334	[137,327,153,343]	-2818.83	767.44					0.20152	2738.24	15379	0.172683	10849.7	191	11432	1.18859	222	
2	3	0	31	8	433	340	[431,340,434,343]	-2646.95	763.96					0.0392358	390.02	10448	0.0448846	9550.38	10	9542.46	1.0417	216	
2	3	0	31	9	431	344	[431,344,433,344]	-2647.31	762.59					0.0574723	583.286	10400	0.0417859	9565.71	3	9542.46	1.06356	216	
2	3	0	31	10	248	401	[245,400,249,404]	-2757.64	728.02					0.0644931	667.086	10726	0.0514425	9676.45	15	9789.39	1.05661	235	
2	3	0	31	11	780	470	[779,469,783,474]	-2439.21	686.27					0.0582599	586.502	11028	0.0754566	9480.5	17	9575.12	1.05137	270	
2	3	0	31	12	397	531	[394,530,399,534]	-2668.47	650.33					0.0547042	563.064	10976	0.0601847	9729.83	18	9716.21	1.05935	693	
2	3	0	31	13	528	547	[526,544,530,550]	-2590.35	641.34					0.070739	748.99	11426	0.0746254	9839.08	27	9822.25	1.07797	305	
2	3	0	31	14	253	554	[252,553,256,556]	-2753.93	637.09					0.0395893	397.191	10522	0.0439737	9635.6	14	9726.54	1.03149	303	
2	3	0	31	15	289	574	[284,568,296,580]	-2732.26	625.38					0.148236	1754.53	13022	0.127274	10081.5	118	10160.2	1.16494	318	
2	3	0	31	16	468	587	[466,586,471,589]	-2625.62	617.02					0.0534345	547.62	10546	0.0417444	9700.81	14	9746.97	1.05145	708	
2	3	0	31	17	782	640	[781,639,786,645]	-2437.91	584.64					0.0652386	667.42	10838	0.0624959	9563.02	25	9644.12	1.0608	342	
2	3	0	31	18	203	832	[193,822,211,843]	-2784.24	471.02					0.0974429	1176.7	13180	0.0947244	10899.1	214	10719.3	1.12655	755	
2	3	0	31	19	596	896	[593,891,600,899]	-2549.4	433.72					0.150469	1716.99	13243	0.154731	9693.94	41	9798.66	1.16454	770	
2	3	0	31	20	1029	984	[1028,983,1031,987]	-2291.26	379.76					0.0589263	726.62	12706	0.0453148	11604.4	14	11486.7	1.0735	592	
2	3	0	31	21	953	1017	[952,1014,955,1021]	-2336.52	360.4					0.0576238	869.286	15911	0.0562531	14216.2	15	13797.7	1.09334	604	
2	3	0	46	1	428	357	[426,354,433,360]	-1357.31	-536.8					0.117151	1265.52	13262	0.16339	9536.89	32	9431.4	1.14537	123	
2	3	0	46	2	766	493	[763,490,770,497]	-1156.08	-618.56					0.132216	1453.44	13038	0.154956	9539.49	45	9684.52	1.1351	151	
2	3	0	46	3	28	547	[24,544,33,551]	-1596.38	-650.28					0.0536332	579.835	11497	0.058251699999999997	10231.3	40	10114.2	1.0689	157	
2	3	0	46	4	727	566	[726,565,729,568]	-1179.18	-661.93					0.0642189	655.402	10794	0.0611301	9550.35	12	9601.27	1.06296	159	
2	3	0	36	1	461	98	[459,96,463,101]	599.3	263.45					0.0497132	492.826	10551	0.0566028	9420.55	21	9369.55	1.05804	22	
2	3	0	36	2	541	692	[539,690,545,697]	647.47	-91.46					0.29035	4156.91	16492	0.237581	10160	36	10869.1	1.31721	97	
2	3	0	36	3	538	695	[533,693,542,697]	644.57	-93.11					0.336822	5215.81	17550	0.261703	10269.5	28	10869.1	1.42471	97	
2	3	0	36	4	982	699	[979,695,985,702]	909.87	-95.35					0.0851417	886.478	11254	0.0831928	9525.31	38	9579.39	1.08689	96	
2	3	0	36	5	89	974	[85,970,94,978]	376.55	-259.39					0.0540501	563.581	10983	0.0537052	9863.44	55	9576.78	1.08878	195	
2	3	0	36	6	93	980	[90,979,96,985]	379.29	-263.94					0.0598193	634.94	10972	0.0473781	9979.36	23	10190	1.04164	124	
2	3	0	36	7	94	987	[92,986,95,990]	379.4	-267.38					0.0623434	669.719	11076	0.0474404	10072.7	12	10190	1.05421	124	
2	3	0	36	8	96	989	[95,988,98,991]	381.21	-268.4					0.0580185	621.405	11105	0.0479353	10089.1	13	10190	1.05107	124	
2	3	0	21	1	747	51	[746,51,749,52]	2061.87	1582.76					0.0500281	469.214	9766	0.0458462	8909.79	6	8866.6	1.05779	86	
2	3	0	21	2	494	662	[488,653,505,671]	1911.52	1217.97					0.164754	1985.86	12946	0.125072	10067.6	185	10604.8	1.13661	21	
2	3	0	21	3	703	662	[701,660,706,668]	2035.28	1217.62					0.0520693	538.761	11112	0.0623206	9808.24	28	9857.42	1.04967	117	
2	3	0	21	4	708	663	[706,661,711,666]	2037.97	1217.5					0.0531237	553.118	11046	0.0567915	9858.79	21	9857.42	1.05625	117	
2	3	0	21	5	702	680	[701,678,703,682]	2034.47	1207.6					0.0420611	427.547	10570	0.0410022	9737.35	10	9773.71	1.04002	122	
2	3	0	21	6	708	683	[707,681,710,686]	2038.02	1205.44					0.0447269	458.547	10675	0.0430613	9793.6	14	9773.71	1.04895	122	
2	3	0	21	7	712	684	[709,683,713,690]	2039.85	1203.75					0.0517857	536.172	10819	0.0485308	9817.49	24	9773.71	1.05934	122	
2	3	0	21	8	454	804	[452,803,456,806]	1886.35	1133.4					0.0405309	403.778	10393	0.0418289	9558.45	13	9644.68	1.03293	38	
2	3	0	58	1	1010	72	[1007,67,1012,75]	2218.44	-1658.1					0.0622387	578.041	9930	0.0654824	8709.44	37	8791.73	1.05639	157	
2	3	0	58	2	566	192	[564,190,568,195]	1953.66	-1730.52					0.050941	507.276	10546	0.0547669	9450.84	18	9622.38	1.03489	33	
2	3	0	58	3	607	439	[605,436,609,443]	1977.89	-1877.64					0.143905	1648.4	13206	0.147731	9806.36	29	10036.7	1.14128	60	
2	3	0	58	4	520	915	[514,913,523,919]	1924.48	-2162.12					0.0976241	1086.71	12243	0.0986265	10044.8	41	10051.7	1.10743	112	
2	3	0	58	5	668	925	[664,924,671,927]	2013.73	-2168.26					0.0422915	426.714	10486	0.0408391	9663.13	19	9593.5	1.05174	215	
2	3	0	33	1	292	196	[289,194,296,201]	-2084.78	204.57					0.0665107	678.979	10714	0.0585085	9529.58	43	9554.16	1.06849	16	
2	3	0	33	2	354	253	[351,252,357,255]	-2048.07	170.69					0.0456847	450.618	10506	0.0548707	9413.03	17	9384.93	1.05101	192	
2	3	0	33	3	871	527	[869,525,872,529]	-1739.62	7.09					0.0718871	739.76	10916	0.0667019	9550.82	12	9660.76	1.06519	57	
2	3	0	33	4	329	793	[326,790,333,798]	-2062.98	-151.77					0.296074	4210.53	17707	0.27767	10010.6	53	10118.5	1.40547	111	
2	3	0	33	5	316	794	[314,792,319,796]	-2070.66	-151.85					0.053634	545.426	11086	0.0705944	9623.99	24	10118.5	1.00504	111	
2	3	0	33	6	470	902	[469,901,471,903]	-1979.13	-216.38					0.0507079	506.876	10326	0.0422342	9489.12	5	9685.84	1.03202	134	
2	3	0	33	7	526	908	[524,907,529,910]	-1945.48	-220.04					0.0643094	683.599	11013	0.0508966	9946.25	13	9749.6	1.09028	148	
2	3	0	45	1	190	48	[186,47,192,51]	-855.04	-352.97					0.0511894	481.257	9834	0.0487227	8920.24	20	8743.77	1.07522	3	
2	3	0	45	2	573	346	[572,345,575,348]	-625.53	-530.54					0.0506584	506.627	10459	0.0483521	9494.22	13	9497.99	1.05294	120	
2	3	0	45	3	179	710	[174,706,183,716]	-861.19	-747.68					0.34469	5243.98	18895	0.309214	9969.65	79	10793.8	1.40948	140	
2	3	0	45	4	338	826	[337,825,339,828]	-766.25	-816.87					0.0441135	450.857	10630	0.0421802	9769.54	10	9649.47	1.05917	80	
2	3	0	45	5	468	1031	[462,1026,472,1035]	-689.25	-938.9					0.177631	2109.51	13296	0.153052	9766.28	72	10040.9	1.18274	97	
2	3	0	15	1	403	104	[399,102,406,112]	-2018.95	1550.32					0.0681609	709.597	11013	0.063338	9701.02	49	9738.08	1.06906	41	
2	3	0	15	2	907	203	[906,202,910,208]	-1717.42	1491.18					0.0630258	652.378	11375	0.0795506	9698.58	25	9710	1.06601	95	
2	3	0	15	3	658	224	[652,218,663,235]	-1866.93	1478.17					0.128129	1435.57	12114	0.107183	9768.55	154	10015.4	1.11869	101	
2	3	0	15	4	920	294	[918,292,923,296]	-1710.03	1437.64					0.0478467	478.818	10608	0.0536083	9528.52	15	9549.1	1.04799	339	
2	3	0	15	5	857	301	[855,299,859,304]	-1747.54	1433.81					0.0667618	672.868	10865	0.0719875	9405.76	16	9561.6	1.05407	342	
2	3	0	15	6	649	307	[647,306,652,310]	-1871.74	1430.05					0.0524499	523.768	10620	0.0576487	9462.28	20	9616.87	1.03839	347	
2	3	0	15	7	661	329	[658,327,663,331]	-1864.8	1417.43					0.0554158	561.673	10700	0.0555423	9573.94	18	9616.87	1.05394	347	
2	3	0	15	8	666	353	[664,351,669,357]	-1861.29	1402.45					0.0635349	651.051	10927	0.0648498	9596.08	30	9724.35	1.05376	173	
2	3	0	15	9	980	403	[978,401,982,407]	-1674.41	1372.2					0.0464817	459.565	10374	0.0478028	9427.44	19	9478.63	1.04308	362	
2	3	0	15	10	816	500	[812,495,819,505]	-1772.9	1314.91					0.0718314	748.206	11080	0.0680583	9667.93	51	9713.56	1.07233	375	
2	3	0	15	11	821	703	[818,701,823,707]	-1769.68	1193.41					0.0608074	614.118	10915	0.070084	9485.27	26	9644.69	1.04714	272	
2	3	0	47	1	842	794	[840,793,845,795]	-1756.85	-798.03					0.0569094	574.273	10751	0.0608984	9516.73	10	9527.93	1.0591	100	
2	3	0	47	2	818	998	[817,997,823,1000]	-1770.16	-919.93					0.0834731	871.823	11576	0.0947334	9572.53	20	9559.86	1.09252	128	
2	3	0	47	3	574	1002	[574,1002,577,1003]	-1916.28	-922.07					0.0638406	655.873	10517	0.0446627	9617.73	5	9617.65	1.0682	210	
2	3	0	47	4	573	1003	[572,1002,575,1004]	-1917.56	-922.77					0.078608	818.948	10644	0.0516135	9599.18	8	9617.65	1.08323	210	
2	3	0	47	5	576	1005	[575,1004,578,1007]	-1915.47	-923.94					0.0522507	529.156	10595	0.0493686	9598.09	12	9617.65	1.05299	210	
2	3	0	47	6	572	1005	[572,1005,574,1006]	-1917.71	-923.89					0.0781826	813.823	10613	0.0503539	9595.43	4	9617.65	1.08231	210	
2	3	0	55	1	728	93	[725,92,729,96]	1403.95	-1025.88					0.0639961	648.068	10741	0.0624336	9478.62	19	9543.23	1.06114	184	
2	3	0	55	2	1029	105	[1027,102,1033,108]	1584.35	-1032.65					0.046955	461.181	10184	0.0421305	9360.58	29	9318.3	1.05403	182	
2	3	0	55	3	267	293	[266,291,268,295]	1128.92	-1144.32					0.0463198	467.928	10450	0.0406199	9634.18	9	9572.98	1.05527	29	
2	3	0	55	4	483	436	[481,435,485,437]	1257.96	-1229.94					0.0511619	522.039	10899	0.0591514	9681.63	9	9613.63	1.06137	204	
2	3	0	55	5	389	572	[388,571,390,573]	1201.78	-1310.78					0.0453295	455.309	10409	0.0409979	9589.12	7	9558.25	1.05086	73	
