Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	c8489b99-d46a-4d0c-93bb-9372c9ace0b1
Plate Name	T24cal51.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation3

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Relative Spot Intensity - StdDev per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - StdDev per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - StdDev per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Contrast - StdDev per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Background Intensity - StdDev per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Spot Area [px²] - StdDev per Well	Spots - Region Intensity - Mean per Well	Spots - Region Intensity - StdDev per Well	Spots - Spot to Region Intensity - Mean per Well	Spots - Spot to Region Intensity - StdDev per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - StdDev per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Total Spot Area - StdDev per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Relative Spot Intensity - StdDev per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots - StdDev per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - StdDev per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Spots Area [µm²] - StdDev per Well	Cyto Selected - Formula - Mean per Well	Cyto Selected - Formula - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	20154	151.395164993	73.4760392019	0.966309417485	0.180435979181	638	0.106041262274	0.0933078728147	1471.13276641	2870.94281042	12442.5031348	4705.67218192	0.0987224384666	0.0832168875942	9856.96778529	596.399852814	41.3777429467	46.9846824291	10196.1383203	2047.69746505	1.10468106453	0.129213393632	19475	151.273214786	73.2709680407	127.407297109	63.9640308421	12048.1042868	2131.74161778	9687.99002799	363.152916991	8078.62926903	1254.34007162	9566.35825583	434.027813351	1.35553273427	13.0695681864	0.000593584101486	0.00819172296023	0.0327599486521	0.228535706188	9.27052191493E-05	0.000716654311909	0.482701053045	4.42059237296	0.0100066953522	0.0927120468327	69	0					
2	4	0	18362	163.977990506	64.3761419515	0.968848709291	0.173731204871	657	0.114214836527	0.106184683226	1792.48794975	4098.56765508	13153.0517504	6322.15248038	0.103730149716	0.0935965913551	10151.3651487	662.490971146	42.8401826484	46.985341175	10750.6307325	3263.72198235	1.10428310923	0.115901793346	17790	163.724184685	64.1230335343	127.914928731	60.9756168871	12520.6059902	2322.31161438	9964.61092892	485.20376559	7950.04194057	1086.32411632	9814.24345525	577.933357116	1.58212478921	15.0183606326	0.000702701460212	0.0106703511278	0.0369308600337	0.241877020287	0.000101518448596	0.000683952859829	0.563493770657	5.18208096098	0.0108824741956	0.0893959070109	69	0					
2	5	0	12607	191.458120572	84.7469161948	0.970095978425	0.17032930557	466	0.108650712645	0.0843525769371	1579.82797416	3440.95303567	13151.3497854	4293.62672827	0.0975519871007	0.0712337558178	10564.5782998	1212.64322701	42.9399141631	38.9459597362	10939.9874187	2106.62884857	1.10147113395	0.099723375029	12230	191.471191173	84.1681236434	137.299192711	67.6496299619	14030.0837689	3005.37494287	10264.9857699	445.706643836	8280.68332471	1096.04541983	10088.2123275	633.906526382	1.63614063778	14.9192303735	0.000661386864949	0.0113512336417	0.0381030253475	0.243358756481	9.7241096859E-05	0.000636772763839	0.582905651668	5.12026508767	0.0108072215574	0.0918909526587	69	0					
2	6	0	10691	213.177422802	98.5147347969	0.970442428211	0.169371204717	549	0.105564429979	0.0900317470427	1539.2281053	3248.80932418	13110.291439	5124.20739169	0.0967275323899	0.0812657764009	10439.380813	501.293058873	41.6393442623	39.4611651969	10685.268155	1561.26586334	1.11466804331	0.18882498747	10375	212.92489051	97.5635575789	144.82399008	63.5274133024	15159.466951	3481.52123985	10388.8965613	693.819401692	8493.14895971	1231.6680111	10141.6366858	461.064001849	2.20337349398	16.0910715481	0.000741070718035	0.00727010696888	0.0529156626506	0.284546609217	0.000124485100503	0.000669151617853	0.785012515312	5.67626549283	0.0133902104659	0.0866217118686	69	0					
2	7	0	8350	241.417383046	101.754183786	0.962395209581	0.190249848588	791	0.0832613439356	0.0568663070745	993.690885104	877.504296048	12079.9671302	1692.48509787	0.077861116996	0.0506400000791	10253.0886137	384.832851999	35.4310998736	39.7870597077	10341.367151	467.95048839	1.08642642282	0.074791766549	8036	241.003328267	101.114380605	214.934598819	148.287749607	12733.313442	3803.61745132	10231.3206647	596.421040465	7885.81431298	947.218749598	10101.332058	355.026707498	3.48755599801	19.4447624633	0.000704177023738	0.00522923686491	0.0984320557491	0.392388731334	0.000182253093782	0.000786586478697	1.24240062605	6.66537542796	0.0162126489368	0.0858697018754	69	0					
3	3	0	18983	151.59759733	55.391954784	0.968287415056	0.175238450648	548	0.100725181567	0.0843261637993	1375.74849907	2921.66541768	12460.9817518	4070.70653885	0.093650430008	0.0752713244586	10066.5709181	710.764774021	38.6186131387	40.2783117217	10357.1141209	1517.36898445	1.09919931445	0.143598352736	18381	151.541565275	55.3251114482	130.979700136	73.1342746401	12489.895849	2306.08888177	9923.10695341	833.362333013	8132.92414464	1261.37908803	9777.59101323	807.405509159	1.1513519395	11.0286967132	0.000519091757075	0.00794723211647	0.0298133942658	0.208844463154	9.56225373222E-05	0.0013506558596	0.409981844856	3.67484601115	0.00870600612961	0.0875754185271	69	0					
3	4	0	19358	167.337167387	66.0693641907	0.972104556256	0.164677529936	655	0.119045189491	0.104949266827	1783.36503002	3423.38233889	13142.7221374	4831.41690132	0.106343411337	0.0887499485388	10229.5755758	672.861738951	39.4885496183	39.7255428217	10729.63092	1977.89255801	1.11299061245	0.188461937448	18818	167.348508644	66.0673491963	129.711152502	60.1792753241	12691.9350224	2455.52509895	10031.8209835	436.26494887	7950.60745012	1034.53703472	9876.47558347	601.126602982	1.37448187905	12.6040675708	0.00067642537389	0.00953104762056	0.0348070995855	0.247450877013	9.30542882765E-05	0.000670154932373	0.489555507425	4.28731196253	0.00977477015594	0.0906544675623	69	0					
3	5	0	13361	190.918631493	86.3895103323	0.970436344585	0.169386519895	514	0.10716095363	0.100950390197	1735.25432886	4367.31954131	13346.7315175	5662.20954037	0.0961042184226	0.085164750892	10601.5462606	1515.23884038	37.0739299611	37.3583664679	11004.006769	2677.61654335	1.10912193047	0.188334519761	12966	190.697253654	82.7140383141	144.156365518	118.304720084	14113.4089842	3076.60611059	10350.1696299	808.730311504	8224.68154662	1194.9933182	10170.9411747	982.287401324	1.46968995835	13.972640304	0.000583301551356	0.0126531445619	0.0396421409841	0.274599443868	9.83097437574E-05	0.000744868147986	0.523571765506	4.84870466362	0.00892773154272	0.0732488743894	69	0					
3	6	0	11899	211.208372017	94.3683850698	0.976048407429	0.152904802557	597	0.114742986834	0.120350055475	1927.86017524	4378.46226022	13601.7353434	6540.33008169	0.10490179178	0.106871734593	10400.2488223	426.221326376	37.175879397	34.189477282	10933.8268678	2501.64396845	1.11117008546	0.115990198599	11614	210.916588961	93.9443088487	146.263539643	60.7467987176	14476.3004124	3298.5363755	10380.6936079	798.289163427	8222.47344117	988.441289442	10168.3044686	804.698828153	1.91096951955	14.2586178904	0.000696013146333	0.00927600953425	0.0514034785604	0.292904129385	0.000120559187873	0.000673787437431	0.680954695187	4.96095541693	0.0119190075304	0.083943480284	69	0					
3	7	0	8072	236.775152412	103.135930242	0.963701684836	0.187042994009	878	0.0820032489929	0.0670134045315	1102.63960858	2631.12502667	12348.1469248	3407.96068421	0.0776286952594	0.0588673269277	10399.7181074	793.42970263	34.6492027335	38.0719769996	10555.3809477	1258.81187573	1.08396288887	0.111751280749	7779	236.876985556	103.067318099	211.049053376	168.794710773	12664.4644682	3780.48598421	10331.7325507	579.463869107	7945.84662429	1188.47142433	10213.4761323	457.512240996	3.910785448	19.5451363118	0.000931120320587	0.00967820818456	0.112867977889	0.412722261496	0.000217397255767	0.000876024531095	1.39329406361	6.73751385341	0.0189144964229	0.0926274636035	69	0					
