Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	e4dc8b61-da2b-4e06-a2fb-04a1f7d9c958
Plate Name	T4cal51.imp.parp1
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - Spots

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Spots - Relative Spot Intensity	Spots - Corrected Spot Intensity	Spots - Uncorrected Spot Peak Intensity	Spots - Spot Contrast	Spots - Spot Background Intensity	Spots - Spot Area [px²]	Spots - Region Intensity	Spots - Spot to Region Intensity	Spots - Object No in Cyto Selected	
2	3	0	69	1	924	396	[923,395,925,398]	1521.21	-2497.97					0.06056	642.978	10909	0.0447621	9974.22	10	10191.4	1.04178	39	
2	3	0	69	2	926	397	[925,395,927,398]	1522.55	-2498.01					0.0508016	532.928	10935	0.0467898	9957.45	8	10191.4	1.02933	39	
2	3	0	5	1	789	61	[783,50,794,66]	795.04	2869.69					0.0876344	1075.98	13091	0.0777559	11202.1	119	10943.3	1.12197	14	
2	3	0	5	2	131	77	[128,73,135,81]	401.94	2859.76					0.236981	3332.91	16425	0.209671	10731.1	49	10320.3	1.36276	43	
2	3	0	5	3	634	197	[629,191,643,203]	703.13	2787.68					0.0862339	1005.92	12555	0.08167	10659.1	117	10579.9	1.10257	99	
2	3	0	5	4	343	221	[342,220,345,224]	528.87	2772.91					0.0494633	514.383	10924	0.0499359	9884.89	11	9989.4	1.04103	367	
2	3	0	5	5	22	380	[17,373,28,389]	337.17	2678.15					0.0677488	737.684	11652	0.0688521	10150.8	146	9947.53	1.09459	407	
2	3	0	5	6	761	495	[757,492,763,498]	777.72	2609.82					0.0629627	679.189	11242	0.0531161	10108	31	10220.5	1.05544	426	
2	3	0	5	7	951	504	[947,501,955,509]	891.31	2603.53					0.0835808	933.814	11841	0.0725653	10238.8	51	10178.6	1.09766	238	
2	3	0	5	8	727	572	[722,570,730,575]	757.18	2563.24					0.128005	1568.73	13161	0.103765	10686.5	35	11001.6	1.11395	255	
2	3	0	5	9	132	584	[130,582,135,587]	402.66	2556.78					0.0649627	695.663	11764	0.0804071	10013	25	10076.5	1.06273	443	
2	3	0	5	10	713	885	[712,884,714,887]	749.05	2376.6					0.0672517	739.883	12249	0.0882768	10261.8	10	10287.9	1.06938	307	
2	3	0	5	11	714	889	[712,887,716,892]	749.63	2374.11					0.0572868	627.002	11436	0.0513952	10318	21	10287.9	1.06387	307	
2	3	0	5	12	648	927	[646,926,650,929]	710.52	2351.53					0.0489676	526.655	11280	0.0488864	10228.5	11	10248.1	1.04948	312	
2	3	0	53	1	760	251	[759,250,762,253]	131.95	-1119.8					0.0473274	503.791	11008	0.0409944	10141	10	10229.8	1.04057	25	
2	3	0	53	2	326	418	[324,416,331,421]	-126.5	-1219.13					0.134506	1601.26	13139	0.120957	10303.5	32	10290.2	1.1569	8	
2	3	0	65	1	604	106	[603,105,607,108]	-1252.21	-2324.76					0.0756355244032	790.285339355	11540	0.0887657996765	9658.31464844	15	9635.74068071	1.08435877781	3	
2	3	0	62	1	471	525	[469,522,474,529]	-686.47	-1928.77					0.0621495371753	689.694112142	12240	0.0809073776302	10407.6389251	27	10262.9221854	1.08130343743	13	
2	3	0	68	1	287	420	[286,418,288,421]	495.11	-2511.71					0.050436355397	529.16140408	11259	0.0610934634223	9962.50477431	9	9989.54371002	1.05026480517	11	
2	3	0	28	1	752	409	[746,402,758,415]	-518.91	723.18					0.0762374	1068.33	14560	0.0587235	12944.8	102	12954.3	1.08174	125	
2	3	0	28	2	117	781	[114,776,121,785]	-898.04	501.79					0.0680063	757.375	11774	0.0629493	10379.5	47	10291.6	1.08213	140	
2	3	0	16	1	719	247	[716,244,725,255]	-1183.21	1465.15					0.218879	2930.41	15302	0.188049	10457.9	72	10830	1.23622	72	
2	3	0	16	2	714	251	[712,249,722,257]	-1185.43	1462.6					0.188619	2404.96	14182	0.156421	10345.4	57	10830	1.17732	72	
2	3	0	16	3	744	874	[741,871,746,876]	-1169.96	1091.88					0.0461604	487.249	11131	0.0501279	10068.3	21	10111.9	1.04387	109	
2	3	0	16	4	780	1033	[778,1032,782,1035]	-1148.45	996.42					0.0390537	413.96	11085	0.0422735	10185.8	13	10256.9	1.03343	119	
2	3	0	16	5	774	1053	[771,1051,776,1056]	-1151.98	984.8					0.0506046	546.072	11372	0.0521406	10244.9	22	10256.9	1.05207	119	
2	3	0	37	1	458	218	[456,216,461,222]	1243.39	191.13					0.0357765517092	527.908575149	15358	0.0382005580815	14227.8057106	21	14519.6742739	1.01625656385	94	
2	3	0	17	1	507	26	[503,23,511,30]	-664.94	1597.97					0.135435	1498.6	12119	0.117704	9566.52	50	9531.7	1.16088	73	
2	3	0	17	2	457	190	[454,187,461,196]	-694.9	1499.46					0.0708438	766.481	11532	0.0685287	10052.8	53	10080.5	1.07329	13	
2	3	0	17	3	1012	528	[1009,526,1016,532]	-363.51	1297.75					0.0528679	556.687	11267	0.0609186	9973.08	35	10023.7	1.05049	103	
2	3	0	17	4	532	710	[527,705,537,716]	-650.63	1189.55					0.106685	1292.53	12822	0.0845476	10822.9	82	10480.4	1.15601	49	
2	3	0	2	1	619	227	[618,226,623,232]	-1243.45	2768.42					0.0716803	800.026	11559	0.0546526	10361	25	10183.5	1.09599	58	
2	3	0	2	2	451	262	[446,259,455,268]	-1344.61	2748.19					0.110627	1247.94	12324	0.102492	10032.6	64	10024.6	1.12529	397	
2	3	0	2	3	810	285	[808,284,811,287]	-1130.1	2734.83					0.0539805	563.516	11152	0.0606944	9875.73	8	9959.94	1.04812	68	
2	3	0	2	4	801	343	[799,340,803,345]	-1135.6	2700.58					0.0804167	882.409	12316	0.0993218	10090.5	21	10343.5	1.06086	415	
2	3	0	2	5	804	351	[799,348,807,354]	-1133.85	2695.48					0.073972	815.371	12236	0.0903904	10207.3	38	10343.5	1.06567	415	
2	3	0	2	6	804	361	[801,356,807,364]	-1133.54	2689.95					0.100821	1140.53	12886	0.117709	10171.9	41	10343.5	1.09368	415	
2	3	0	2	7	794	367	[791,364,798,369]	-1139.22	2686.13					0.0779718	865.786	12335	0.092896	10238.1	25	10343.5	1.07351	415	
2	3	0	2	8	808	379	[806,377,810,381]	-1131.34	2678.9					0.0624944	667.6	11256	0.0583446	10015	18	10148.9	1.05258	421	
2	3	0	2	9	138	459	[135,457,141,464]	-1531.08	2630.55					0.088428	999.293	12314	0.0889954	10301.3	38	10645.6	1.06153	434	
2	3	0	2	10	974	476	[972,475,975,477]	-1032.51	2620.77					0.0391951	410.838	10968	0.0426342	10071	7	10160.8	1.0316	446	
2	3	0	2	11	959	500	[957,498,962,502]	-1040.92	2606.62					0.0525598	564.766	11187	0.0471068	10180.4	14	10267	1.04658	151	
2	3	0	2	12	999	523	[996,522,1001,530]	-1017.78	2591.18					0.0759484	858.333	11735	0.0582464	10443.2	30	10676.4	1.05856	167	
2	3	0	2	13	113	530	[111,528,115,533]	-1546.23	2588.91					0.414802	7486.6	27243	0.441237	10562	27	11795	1.5302	169	
2	3	0	2	14	1001	529	[999,527,1004,532]	-1015.93	2589.02					0.0579934	637.786	11455	0.0502057	10359.8	25	10676.4	1.03008	167	
2	3	0	2	15	994	534	[989,531,997,538]	-1020.76	2585.78					0.0813193	932.503	12075	0.0681265	10534.7	38	10676.4	1.07407	167	
2	3	0	2	16	661	534	[659,532,665,537]	-1218.8	2586.26					0.0942839	1079.83	12194	0.0806886	10373.1	25	10538.7	1.08675	175	
2	3	0	2	17	667	606	[664,604,670,609]	-1215.59	2543.13					0.0444124	495.44	11637	0.0438178	10660	23	10515.2	1.06089	206	
2	3	0	2	18	663	617	[657,613,666,622]	-1218.22	2536.28					0.125148	1553.83	13379	0.103827	10862.1	59	11139	1.11464	219	
2	3	0	2	19	655	619	[651,617,658,622]	-1223.06	2535.16					0.0930661	1092.27	12569	0.0829186	10644.2	26	11139	1.05363	219	
2	3	0	2	20	465	628	[462,626,470,632]	-1335.83	2530.1					0.191366	2510.71	14304	0.148304	10609.3	38	10703.5	1.22577	211	
2	3	0	2	21	319	695	[317,692,321,699]	-1423.48	2490.03					0.0778777	866.214	12202	0.0866253	10256.5	19	10235	1.08674	252	
2	3	0	2	22	201	727	[198,725,203,732]	-1493.76	2470.59					0.0526729	562.059	11175	0.0500994	10108.7	29	10142.4	1.05209	272	
2	3	0	2	23	612	817	[609,816,614,820]	-1248.55	2416.99					0.0699448	841.502	12757	0.0654611	11189.4	17	10951	1.09862	296	
2	3	0	2	24	563	902	[559,896,567,907]	-1277.59	2367.07					0.0811619	978.463	12683	0.0675821	11077.2	56	11088.5	1.08722	330	
2	3	0	2	25	570	901	[566,897,574,904]	-1273.63	2367.59					0.0647554	775.537	12435	0.0522139	11200.9	48	11088.5	1.08007	330	
2	3	0	2	26	560	915	[556,910,564,921]	-1279.71	2358.7					0.0617364	712.312	12177	0.0587479	10825.6	66	10850	1.0634	549	
2	3	0	2	27	224	938	[222,936,229,944]	-1479.44	2344.62					0.0463194	488.457	11033	0.0462805	10056.9	42	10143.5	1.03962	558	
2	3	0	2	28	1060	973	[1055,969,1065,979]	-981.3	2323.72					0.214893	2930.11	15123	0.171052	10705.1	75	11538.4	1.18172	570	
2	3	0	2	29	39	980	[37,979,41,983]	-1590.57	2319.81					0.0500809	585.052	11975	0.0380507	11097.1	14	10985.9	1.06338	571	
2	3	0	35	1	41	351	[38,348,45,354]	-943.12	112.81					0.147452	1805.53	13967	0.14454	10439.3	38	10435.5	1.17338	30	
2	3	0	35	2	235	571	[232,568,238,574]	-827.56	-18.48					0.0662149	792.692	12651	0.0617794	11178.8	28	11267.1	1.06252	35	
2	3	0	35	3	234	579	[231,576,236,584]	-828.27	-24.07					0.0586244	707.431	12894	0.0632582	11359.8	33	11267.1	1.07101	35	
2	3	0	7	1	942	189	[940,186,946,192]	2178.01	2146.21					0.0747186	854.645	12262	0.0734701	10583.5	33	10594.3	1.07966	44	
2	3	0	7	2	835	204	[826,199,838,209]	2112.86	2137.42					0.220868	3007.79	16158	0.20725	10610.3	72	10589.5	1.28599	49	
2	3	0	7	3	394	307	[391,304,398,312]	1850.91	2075.94					0.79612	43812.4	65082	0.705905	11220	57	16701.5	3.29506	209	
2	3	0	7	4	269	336	[267,333,274,340]	1776.59	2058.78					0.0444438	502.957	11884	0.0471532	10813.7	32	10693.9	1.05823	221	
2	3	0	7	5	346	365	[343,362,350,370]	1822.28	2041.13					0.206863	2781.11	15751	0.192621	10663.1	58	10790.2	1.24597	226	
2	3	0	7	6	271	379	[270,377,275,382]	1777.65	2033.31					0.0396837	439.518	11685	0.0469957	10636	19	10626.1	1.0423	76	
2	3	0	7	7	264	401	[262,400,265,402]	1772.83	2020.36					0.047259	527.39	11591	0.043145	10632.2	7	10626.1	1.05021	76	
2	3	0	7	8	268	407	[264,403,274,412]	1776.08	2016.18					0.0544723	616.694	11993	0.0567662	10704.5	54	10626.1	1.06542	76	
2	3	0	7	9	278	405	[273,401,283,409]	1781.54	2017.96					0.0536148	605.025	12031	0.0595033	10679.6	63	10626.1	1.06198	76	
2	3	0	7	10	587	586	[582,581,593,593]	1965.88	1909.04					0.156435	2021.65	14081	0.127263	10901.6	108	10780	1.19882	106	
2	3	0	7	11	639	610	[631,604,645,620]	1996.21	1894.36					0.264477	4018.22	19076	0.261187	11174.9	161	11817.7	1.28562	114	
2	3	0	7	12	525	656	[521,652,528,660]	1928.19	1867.7					0.0741046	846.862	12180	0.0702485	10581.1	43	10714.9	1.06655	245	
2	3	0	45	1	111	365	[108,362,115,369]	-900.95	-541.66					0.0668517	847.693	13240	0.0561367	11832.5	39	11845.2	1.0705	49	
2	3	0	45	2	743	840	[740,837,745,842]	-524.98	-825.11					0.0744286	849.231	12067	0.0665656	10560.8	22	10609.6	1.07544	30	
2	3	0	45	3	735	866	[733,865,740,867]	-528.5	-840.94					0.13004	1586.35	12916	0.0979003	10612.5	19	10549.4	1.15636	33	
2	3	0	36	1	753	456	[749,454,756,460]	773.01	49.12					0.0639052	911.343	15330	0.0690563	13349.5	32	13261.5	1.07536	100	
2	3	0	36	2	163	700	[159,696,166,705]	421.08	-95.72					0.0686608	789.294	12135	0.0625511	10706.3	51	10736.3	1.07072	113	
2	3	0	36	3	544	878	[541,876,547,880]	648.51	-202.15					0.0461514	508.496	11621	0.0502246	10509.5	21	10519.1	1.04742	119	
2	3	0	36	4	725	960	[721,954,727,965]	755.94	-251.26					0.264843	3949.97	18917	0.266138	10964.4	35	11333.6	1.31594	76	
2	3	0	55	1	685	822	[681,820,687,824]	1377.68	-1460.4					0.0762825204942	862.269042969	11748	0.0588860500713	10441.3564453	16	10610.940613	1.06528025182	16	
2	3	0	24	1	261	72	[260,70,263,73]	1771.75	925.26					0.0453345	454.775	10443	0.0432682	9576.78	9	9761.79	1.02763	74	
2	3	0	24	2	259	1047	[256,1046,263,1050]	1769.93	342.43					0.0544755	621.97	12097	0.0568551	10795.4	24	10836.1	1.05364	72	
2	3	0	32	1	647	648	[645,646,649,650]	-2519.06	-64.93					0.741687165334	30961.1842105	65292	0.71651481414	10783.0789474	19	12917.580756	3.23158522841	28	
2	3	0	6	1	595	131	[590,127,600,142]	1324.5	2825.26					0.0811397	984.237	12726	0.0661898	11145.9	94	11084.9	1.0943	28	
2	3	0	6	2	595	148	[589,143,601,157]	1325.05	2815.38					0.0907201	1127.85	13372	0.0837892	11304.4	108	11161.7	1.11383	33	
2	3	0	6	3	571	155	[568,153,573,159]	1310.61	2812.69					0.127298	1567.11	13174	0.10162	10743.5	29	11161.7	1.10293	33	
2	3	0	6	4	960	221	[957,218,964,228]	1543.09	2772.57					0.0563675	700.711	12950	0.0494154	11730.4	42	11356.8	1.0946	339	
2	3	0	6	5	357	270	[353,264,361,274]	1183.21	2744.46					0.0690642	761.174	11647	0.0633096	10260.1	61	10022.6	1.09964	61	
2	3	0	6	6	337	366	[335,364,340,368]	1171.01	2686.98					0.0979084	1088.6	11908	0.0856051	10030	20	10003.2	1.1115	364	
2	3	0	6	7	155	370	[154,369,157,372]	1062.37	2684.42					0.0564707	628.123	11437	0.0429568	10494.9	13	10560.6	1.05325	98	
2	3	0	6	8	1034	393	[1032,391,1041,396]	1588.39	2670.37					0.11236	1346.78	12717	0.0889473	10639.5	49	10435.7	1.14858	104	
2	3	0	6	9	80	498	[78,496,84,502]	1017.76	2607.87					0.101942	1105.77	12401	0.120117	9741.32	31	9769.66	1.11028	162	
2	3	0	6	10	94	600	[91,598,97,604]	1025.82	2547.19					0.0500232	528.354	11192	0.0545641	10033.8	27	9893.2	1.06762	198	
2	3	0	6	11	475	657	[473,654,477,660]	1253.21	2513					0.081138	912.754	12104	0.0787568	10336.6	25	10422.9	1.0793	421	
2	3	0	6	12	825	779	[817,777,828,784]	1460.67	2439.37					0.0669757	727.456	11510	0.0635726	10134	49	10192.8	1.0656	444	
2	3	0	6	13	115	786	[114,784,118,790]	1038.34	2435.72					0.0416796	442.196	11068	0.0424189	10167.2	19	10194.6	1.04069	438	
2	3	0	6	14	1047	990	[1044,987,1051,993]	1594.36	2313.92					0.0382887	416.388	11386	0.042457	10458.5	30	10443.6	1.0413	298	
2	3	0	6	15	111	995	[109,992,117,998]	1036.64	2311.09					0.101257	1184.97	13617	0.128425	10517.5	36	10595.5	1.10448	305	
2	3	0	33	1	898	510	[895,509,904,511]	-1722.35	17.52					0.067402599999999993	741.226	11858	0.0724538	10255.8	24	10147.9	1.08367	26	
2	3	0	33	2	893	510	[892,509,896,511]	-1726.08	17.33					0.0595971	643.976	11516	0.062483	10161.5	12	10147.9	1.0648	26	
2	3	0	33	3	812	571	[810,569,815,573]	-1774.56	-19.04					0.0467741	493.218	11196	0.0538668	10051.5	19	10257.8	1.02797	31	
2	3	0	33	4	485	952	[481,949,489,955]	-1969.92	-246.35					0.0609065	661.778	11375	0.0542812	10203.7	39	10155.2	1.06994	41	
2	3	0	9	1	659	816	[657,814,660,818]	716.84	1772.03					0.0406517	440.508	11253	0.0396031	10395.6	13	10554.8	1.02666	70	
2	3	0	9	2	660	841	[658,839,665,844]	718.33	1757.07					0.175775	2201.76	14557	0.170116	10324.3	39	10554.8	1.18677	70	
2	3	0	31	1	635	137	[632,134,643,144]	-2524.85	885.35					0.0582887	638.417	11550	0.0565187	10314.3	62	10375.1	1.05566	22	
2	3	0	31	2	632	139	[631,138,634,144]	-2527.76	884.05					0.0642739	708.795	11491	0.0537397	10318.9	19	10375.1	1.0629	22	
2	3	0	31	3	635	152	[628,148,641,157]	-2526.18	877.04					0.0633127	695.896	11704	0.0640236	10295.5	93	10464.7	1.05033	146	
2	3	0	31	4	630	171	[629,170,631,173]	-2528.83	865.5					0.0501475	538.222	11055	0.0404924	10194.6	9	10464.7	1.02561	146	
2	3	0	31	5	636	200	[632,199,640,204]	-2525.17	847.66					0.0401108	419.254	10962	0.0442417	10033.1	28	10089.1	1.036	40	
2	3	0	31	6	766	249	[764,247,770,252]	-2447.2	818.89					0.0755672	822.937	11916	0.0841009	10067.2	23	10063.1	1.08218	160	
2	3	0	31	7	432	310	[430,308,435,313]	-2647.06	782.49					0.0630948	662.222	11024	0.0570806	9833.44	18	9984.16	1.05123	62	
2	3	0	11	1	121	46	[120,45,125,51]	-894.81	2231.46					0.0736674	727.85	10783	0.0817962	9152.36	28	9193.74	1.07467	79	
2	3	0	11	2	358	760	[351,754,364,767]	-754.73	1805.89					0.138895	1709.28	13492	0.12018	10597	144	11164.1	1.10231	53	
2	3	0	12	1	693	230	[691,229,694,232]	-1200.03	2121.69					0.0569372	605.005	11287	0.0594229	10020.8	12	10095.7	1.05251	180	
2	3	0	12	2	296	241	[293,238,298,248]	-1436.77	2114.75					0.0553884	608.685	11718	0.0605149	10380.7	39	10219	1.07538	66	
2	3	0	51	1	815	402	[814,400,819,405]	-1126.19	-1210.07					0.0576847	709.672	13163	0.063422	11592.9	20	11688.1	1.05258	33	
2	3	0	51	2	59	417	[57,413,63,420]	-1577.48	-1218.26					0.0322994	973.993	31456	0.0375159	29181.1	37	29987.9	1.00558	35	
2	3	0	51	3	802	416	[801,414,803,418]	-1134.98	-1218.28					0.0433774	535.372	12804	0.040519	11806.8	12	11997.5	1.02873	36	
2	3	0	51	4	805	426	[804,424,806,428]	-1133.03	-1224.07					0.0372965	458.072	12804	0.0397993	11823.8	10	11997.5	1.0237	36	
2	3	0	51	5	805	431	[803,428,807,433]	-1133.06	-1226.85					0.042839	528.842	12895	0.043663	11816	17	11997.5	1.02895	36	
2	3	0	51	6	800	437	[795,435,804,440]	-1136.38	-1230.94					0.0561959	702.705	13316	0.0602818	11801.9	36	11997.5	1.04226	36	
2	3	0	51	7	87	463	[85,460,92,465]	-1560.9	-1245.33					0.0468854	1278.89	28320	0.0427486	25998	31	27538.3	0.990506	7	
2	3	0	57	1	960	149	[958,148,962,152]	2834.38	-1058.84					0.0414794	464.848	11700	0.042694	10741.9	14	10605.2	1.05672	4	
2	3	0	57	2	898	309	[895,307,899,312]	2796.8	-1154.52					0.0401404	428.385	11121	0.0410595	10243.8	19	10206.6	1.04561	59	
2	3	0	10	1	85	958	[82,956,88,962]	-271.47	1687.26					0.0660229881801	762.732945033	12818	0.0859121446183	10789.8030134	28	10726.1493671	1.07704410624	53	
2	3	0	61	1	680	434	[676,432,684,437]	83.81	-1874.86					0.0951392	1080.1	13000	0.117186	10272.8	34	10315.7	1.10054	38	
2	3	0	61	2	430	557	[427,555,434,562]	-65.09	-1949.14					0.0559964	631.266	11908	0.0561391	10642.1	43	10729.9	1.05064	15	
2	3	0	61	3	430	565	[428,563,436,569]	-64.53	-1953.26					0.0587079	667.222	11819	0.0497898	10697.9	36	10729.9	1.0592	15	
2	3	0	19	1	56	139	[52,136,59,143]	357.44	1530.82					0.055022	569.494	10989	0.0581711	9780.8	48	9687.96	1.06837	52	
2	3	0	19	2	252	170	[251,168,255,172]	474.91	1512.41					0.0494138	545.723	11485	0.0448882	10498.2	16	10367.3	1.06526	54	
2	3	0	19	3	254	173	[252,169,258,176]	476.45	1510.98					0.0498731	550.248	11791	0.0587366	10482.7	30	10367.3	1.0642	54	
2	3	0	19	4	1025	774	[1023,772,1028,776]	935.52	1151.22					0.0913918	1031.65	12955	0.116255	10256.6	20	10271.9	1.09894	72	
2	3	0	3	1	1057	140	[1055,139,1060,143]	-336.47	2821.23					0.126717	1829.1	14943	0.0848523	12605.5	18	13342.7	1.08183	266	
2	3	0	3	2	1050	153	[1047,147,1054,157]	-340.83	2814.35					0.0963726	1324.69	14504	0.0773722	12420.8	59	13342.7	1.03019	266	
2	3	0	3	3	1009	164	[1001,160,1017,173]	-365.07	2805.7					0.142484	1886.88	14160	0.109896	11355.9	124	12064.2	1.09769	67	
2	3	0	3	4	419	392	[416,390,422,396]	-717.97	2670.87					0.0718825	787.449	11757	0.072512	10167.2	28	10112.2	1.08331	311	
2	3	0	3	5	785	435	[783,434,787,439]	-499.16	2644.65					0.0896988	1049.87	12770	0.0903101	10654.5	20	10432.3	1.12194	138	
2	3	0	3	6	946	462	[945,461,949,466]	-402.68	2628.25					0.0645248	697.882	11611	0.0687179	10117.8	18	10213.2	1.059	136	
2	3	0	3	7	975	476	[973,475,978,479]	-385.7	2620.37					0.0612072	666.199	11548	0.0610979	10218.1	21	10222.6	1.06474	139	
2	3	0	3	8	911	607	[908,604,913,612]	-424.18	2541.8					0.256084	3613.37	16365	0.218463	10496.7	37	10527.6	1.34029	164	
2	3	0	3	9	136	620	[133,617,139,623]	-886.9	2535.36					0.0795336	886.91	11957	0.076166	10264.5	36	10192.7	1.09405	340	
2	3	0	3	10	630	737	[628,736,631,741]	-592.14	2464.66					0.0472007	532.078	11949	0.0532572	10740.6	13	10784.5	1.04527	182	
2	3	0	3	11	377	747	[375,746,379,749]	-742.82	2459.21					0.0572746	634.187	11365	0.0424902	10438.6	12	10294.9	1.07556	346	
2	3	0	3	12	380	751	[375,748,384,756]	-741.34	2456.82					0.0645301	719.54	11581	0.052248	10430.9	52	10524.6	1.05947	189	
2	3	0	3	13	909	762	[908,761,912,763]	-424.8	2450.17					0.0436531	458.044	10904	0.0415127	10034.8	11	10082.4	1.04071	187	
2	3	0	3	14	385	778	[381,776,389,782]	-738.15	2440.17					0.0655226	725.896	11696	0.0609264	10352.7	40	10524.6	1.05264	189	
2	3	0	3	15	632	821	[629,820,634,823]	-590.9	2414.78					0.0539092	603.771	12151	0.0683607	10596	13	10606.5	1.05594	202	
2	3	0	3	16	1013	824	[1010,822,1017,827]	-363.21	2412.84					0.129314	1514.11	13041	0.122497	10194.7	32	10308.5	1.13584	366	
2	3	0	3	17	628	827	[627,826,629,829]	-593.16	2411.42					0.0582185	661.646	11910	0.0533657	10703.2	8	10606.5	1.07151	202	
2	3	0	3	18	407	915	[406,914,410,917]	-724.67	2359					0.0617129	666.437	11681	0.0709851	10132.6	12	10109.3	1.06822	378	
2	3	0	3	19	524	932	[522,931,527,933]	-655.16	2349.07					0.0393121	419.993	11295	0.0478435	10263.6	9	10157.9	1.05175	230	
2	3	0	34	1	892	385	[890,383,895,389]	-1080.95	91.63					0.0979723	1164.47	13233	0.104858	10721.2	28	10765.6	1.10404	41	
2	3	0	34	2	930	868	[930,868,932,871]	-1058.31	-197.18					0.0483565	511.467	11197	0.0532141	10065.5	7	10060.9	1.0513	29	
2	3	0	4	1	106	412	[104,410,110,418]	-258.38	2658.51					0.0431788	461.433	11171	0.0442076	10225.1	41	10235.6	1.04406	149	
2	3	0	4	2	91	446	[88,442,94,449]	-267.54	2639.25					0.0751025	822.901	11428	0.0600064	10134.1	29	10161.8	1.07825	164	
2	3	0	4	3	547	532	[544,530,549,536]	4.34	2587.07					0.275059	4060.77	17235	0.233826	10702.5	30	10832.9	1.36282	301	
2	3	0	4	4	546	538	[544,536,548,540]	3.69	2584.34					0.20724	2765.53	15086	0.175607	10579	16	10832.9	1.23186	301	
