Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	e4dc8b61-da2b-4e06-a2fb-04a1f7d9c958
Plate Name	T4cal51.imp.parp1
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Relative Spot Intensity - StdDev per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - StdDev per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - StdDev per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Contrast - StdDev per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Background Intensity - StdDev per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Spot Area [px²] - StdDev per Well	Spots - Region Intensity - Mean per Well	Spots - Region Intensity - StdDev per Well	Spots - Spot to Region Intensity - Mean per Well	Spots - Spot to Region Intensity - StdDev per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 555 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - StdDev per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean - StdDev per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Total Spot Area - StdDev per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Relative Spot Intensity - StdDev per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots - StdDev per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - StdDev per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Spots Area [µm²] - StdDev per Well	Cyto Selected - Formula - Mean per Well	Cyto Selected - Formula - StdDev per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	9164	155.183772886	56.6089792848	0.965626364033	0.182196903161	241	0.0905148263984	0.0822566160624	1347.2170841	3458.35400536	13165.9709544	5361.6231827	0.0846813393026	0.0753380085903	10802.0510126	1815.36487505	35.4647302905	28.2088897193	10908.5420884	1967.96068768	1.10807889033	0.208954161216	8849	155.100074137	56.4506847611	151.156898666	63.18842923	15838.1347354	3160.18502505	10624.0276729	1149.58319269	8919.49913379	1129.57727902	10376.8645675	1000.20827041	0.965871849927	8.1996014801	0.000327539970962	0.00535232013074	0.0272347157871	0.197874222994	6.36238654769E-05	0.000482971330661	0.344138413356	2.71879295575	0.00625000462967	0.0566826491552	69	0					
2	4	0	7849	168.421928675	61.213851302	0.964071856287	0.186122878021	240	0.0906124103325	0.0677913601262	1181.09163181	1194.08086769	12949.7833333	2207.21502018	0.0836542754857	0.0583175422468	10831.7666828	618.603191418	44.4125	44.2468429009	11091.7745358	1333.09917982	1.08378955332	0.0672783894514	7567	168.213531604	61.1140672892	170.907342608	71.1357100264	16735.7398303	3052.96126726	10827.9767344	1037.71194707	9601.70950687	1386.58935645	10641.2333895	986.29509135	1.40861636051	14.1363145716	0.000422479678836	0.00563641294406	0.0317166644641	0.209599141765	7.36460467571E-05	0.000495829207547	0.501757853492	4.78845834836	0.00930657146037	0.0962645138143	69	0					
2	5	0	7228	176.307499204	64.6318150676	0.96333702269	0.187945977526	223	0.109433825449	0.0965123025062	1721.93372502	3490.7309696	13903.6636771	4661.17974268	0.0964171632373	0.0813802542086	11120.4231696	743.485559676	45.3452914798	47.0146810766	11443.9726224	1317.79594434	1.11353847961	0.184160440941	6963	176.352787383	64.5437290721	159.446268016	59.9593163986	17591.4703151	3366.21363309	11018.6649828	864.134766128	9473.61790578	1309.94021911	10745.4561343	1016.33288533	1.45224759443	16.6334620164	0.000471564631093	0.00753774363679	0.0320264253914	0.261439814612	7.14297961503E-05	0.000532524220479	0.517186711197	5.7856946905	0.0078111310318	0.0704484492694	69	0					
2	6	0	6834	177.350276377	63.2460259174	0.961076968101	0.193425706926	169	0.0951926847392	0.0646772041721	1248.61122881	1133.8125445	13319.1360947	2350.49990107	0.087748978375	0.0618061331404	11036.7177825	430.520252294	35.5147928994	32.0500179238	11140.5994617	595.431425938	1.10097422098	0.0746211208391	6568	177.295432689	63.2962258788	157.013735067	55.3601853392	18505.2309278	3655.59840746	11100.9093621	575.706472891	9584.70064454	1227.90263789	10796.6458774	635.196981391	0.913824604141	8.66015051267	0.000304451172475	0.00428652926186	0.025730816078	0.185778641621	5.99182345341E-05	0.000440329432887	0.325632171734	2.94968892079	0.00574664455516	0.0531022569351	69	0					
2	7	0	5956	174.25057204	63.2375273911	0.952484889187	0.212755787138	323	0.0883713731425	0.0694594202843	1184.22477929	1326.57915698	13162.4117647	2486.46817061	0.0823892439812	0.061153781671	11016.8386839	645.349361243	37.1269349845	39.9775478783	11177.2047554	1024.78469788	1.09016778001	0.0895393661189	5673	174.120315144	63.0250076007	191.7582296	133.488350999	17363.9489257	5810.99752406	10967.9576352	713.305861304	9874.67760976	1611.89658187	10759.9953897	785.227598077	2.11387273048	14.8799405291	0.000529197010941	0.00559728310857	0.0569363652389	0.294103294591	0.000114411542798	0.000617443419882	0.753131579278	5.02709330927	0.0111282418474	0.0846299315626	69	0					
3	3	0	8872	154.310400807	55.6153821593	0.96111361587	0.193335062364	215	0.0894273462801	0.0685164326472	1256.68165222	3368.96576507	12596.8697674	3887.15705183	0.083392040429	0.0588799565657	10460.5495839	509.03276699	37.7209302326	48.4573835222	10611.6874444	978.372130203	1.09506178793	0.140623455058	8527	154.135709335	55.0168995483	154.665517862	64.3574735162	16462.543319	3138.29519711	10519.7581841	343.57210035	9265.57633224	1386.54113945	10278.3714333	382.50814118	0.951096516946	11.0427304698	0.000303758011486	0.00546819790113	0.0252140260349	0.193604943324	6.22161545574E-05	0.000528619002073	0.338788272771	3.74570995424	0.00588192277245	0.0666244733515	69	0					
3	4	0	7124	169.175270574	62.3787446786	0.96476698484	0.184381186405	162	0.0994275791297	0.0921841655825	1523.55699734	3588.10214639	13360.1851852	5061.70899162	0.0916230649713	0.0829245870983	10748.7952727	456.912058928	42.4074074074	47.7429134354	11150.5325656	3155.93499747	1.09812141232	0.0937584563802	6873	168.978891851	62.2842903863	179.454756197	69.9112451511	16121.2106261	2977.58619977	10685.9826546	745.670125943	9235.27727179	1203.33361644	10494.9973338	589.284088602	0.999563509385	11.1679096461	0.000363038411472	0.00958537819959	0.0235704932344	0.187727967778	4.81358016878E-05	0.000394628401157	0.356080672317	3.683880027	0.00575151366307	0.0792732794117	69	0					
3	5	0	7009	174.517684067	61.0215214489	0.965900984449	0.181496480683	176	0.107089911931	0.110845871715	2018.83478766	5974.7089125	14155.6193182	7160.74297482	0.0988358697195	0.0975203230453	10998.1111399	544.821368054	43	46.689491017	11304.5568217	1686.53318235	1.12478020762	0.222521205683	6770	174.233317187	61.0026370429	156.489642737	81.7888122858	17782.5773121	3568.97413475	10985.6576878	683.501564932	9401.22893588	1300.70173803	10667.5885247	435.353294788	1.11787296898	12.4823642019	0.000430467113872	0.00832238765344	0.0259970457903	0.220605178975	5.44151550711E-05	0.000418637979772	0.398079570773	4.20586928609	0.00606186640233	0.0600709276397	69	0					
3	6	0	7348	176.719326597	62.5414404783	0.969923788786	0.170808674496	167	0.0832081054156	0.0691911976837	1205.68572669	3128.73274811	12968.4550898	4289.25601815	0.0768957911662	0.0635581412742	10880.3093709	372.1993172	37.2994011976	39.8024511823	10957.1760865	486.970993755	1.09877338922	0.223606957548	7127	176.513098955	62.3235051057	156.997051892	83.7293493799	18578.4545265	3744.96098479	10990.6959068	460.896774725	9582.40097566	1270.81824025	10672.9269944	487.701896116	0.874000280623	9.33107077867	0.000215847649594	0.00273441646037	0.0234320190824	0.182402516963	5.45811420392E-05	0.000444080074961	0.311191183197	3.059074782	0.00532122034805	0.0537119070543	69	0					
3	7	0	5525	175.221521476	61.4015363407	0.964162895928	0.185900675302	278	0.0785502867726	0.0687237616374	1111.1017467	2737.64272692	12910.3345324	3763.22660825	0.0760659734246	0.063057018684	10879.884856	449.492277323	31.2086330935	28.4532613956	10972.058446	588.433504039	1.09123827197	0.229654561778	5327	174.637390722	60.0230223185	182.383954001	104.37238946	16856.1354639	4822.66515075	10947.3269625	806.991358283	9228.84131176	1197.77692058	10691.7442694	393.694475864	1.62868406232	11.8493448253	0.000339571399892	0.00346849042357	0.0521869720293	0.275924697946	0.000118376267978	0.00121143959847	0.580164442951	4.13966872171	0.00864476177593	0.0582008839756	69	0					
4	3	0	9774	153.741601084	56.7502810387	0.962860650706	0.189112868654	294	0.0895204468587	0.0813168919253	1364.44903905	3503.51436488	13046.6666667	4774.07010381	0.0808239747471	0.0676656416997	10805.4715799	749.051847051	37.7074829932	53.0240091004	11215.3315483	3500.51610598	1.0824077322	0.0678508150885	9411	153.567845192	56.1397048771	155.481463555	63.7372833257	16393.329011	3088.2208372	10766.8670967	920.2055975	9154.80321842	1135.07431437	10501.4219504	911.857540665	1.17798321114	12.8705187433	0.000443111473235	0.0162817193692	0.0312400382531	0.226514369737	7.09839224347E-05	0.000510063442522	0.416316782992	3.78108746293	0.00742937526795	0.091917833604	69	0					
4	4	0	7927	172.746006449	65.6306521381	0.960136243219	0.195651390677	243	0.0965407209169	0.0833457102295	1431.84024593	3408.41842481	13109.1604938	4263.18827009	0.0879218725661	0.0732885133201	10709.6093162	647.843157072	39.8477366255	41.5407480055	11042.3103644	1879.18242035	1.09160573058	0.0998192234755	7611	172.644787327	65.5935583013	173.774109995	69.9082596394	16179.7305331	3164.72936535	10615.323094	429.206783753	9033.75536938	1053.23226654	10410.6975836	544.223658656	1.27223755091	12.560507555	0.000404426704073	0.00777787758762	0.0319274733938	0.243507447523	6.92367465097E-05	0.000534287101626	0.453302187723	4.28516006396	0.00687559192573	0.0635647918628	69	0					
4	5	0	7278	172.846837048	60.366356922	0.964138499588	0.185957534222	210	0.0935657201463	0.0762792944259	1377.3141466	3506.02440626	13163.947619	4065.69023456	0.085924407486	0.0669354228756	10849.6760309	447.874987223	42.7333333333	43.7620286494	11048.562514	1253.43414531	1.09708067775	0.111321439953	7017	172.876092865	60.6145597211	158.882451666	56.9801533395	17019.8249241	3409.36350758	10870.0214632	356.077669225	9079.07880177	1081.7318175	10578.0287892	377.2937491	1.27889411429	11.4778255566	0.000471958645063	0.00805897705218	0.0299273193673	0.197517107689	7.26579865985E-05	0.000600142153468	0.455517876456	3.81786418721	0.0086311066442	0.0952289593605	69	0					
4	6	0	7242	177.587762873	61.5090178475	0.965479149406	0.182575366103	172	0.113975873251	0.141981834484	2610.93831511	7720.95259167	14870.127907	9993.75620548	0.106369798081	0.126539777446	10879.4036842	517.215786815	37.3139534884	40.7336984587	11712.534361	4194.08400977	1.11706823305	0.189566430762	6992	177.550536223	61.4348905754	155.549961734	68.1473097647	17224.8564577	3540.14480474	10961.3837839	892.663602731	9055.8919651	1226.31306557	10648.8859686	791.325017555	0.91790617849	9.53399145227	0.000436026625415	0.00876925006989	0.0245995423341	0.175680982379	6.22641123229E-05	0.000485259555525	0.326882743765	3.37470855917	0.00570917724922	0.05400625466	69	0					
4	7	0	6212	174.540069078	65.1283464624	0.967482292337	0.177384812222	291	0.0829750338766	0.0737964632733	1223.67105261	3056.86203586	13013.5429553	4026.65056507	0.0789026014322	0.0643012651449	10877.7508432	622.005354631	35.0068728522	59.9065935653	11134.5329649	2824.26679933	1.08434791929	0.0641172173012	6010	174.389310142	64.7340100076	177.616943312	112.870652078	17167.8698584	4772.34602332	10931.9114943	595.078746339	9139.53128425	1162.49455663	10648.4785629	654.062149886	1.69500831947	16.4460112119	0.000451550090127	0.00880772296388	0.0484193011647	0.247103366596	0.000114108114705	0.000658381569248	0.603939810713	5.75434586995	0.00880047245407	0.0631841472968	69	0					
