Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	1e654207-34d0-448d-a7ed-413fd33f52bf
Plate Name	0h.imp.parpdoseresp
Measurement	Measurement 1
Evaluation	Evaluation8

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	3	0	2765	9895.73800907	6650.42233767	10633.3524378	10320.7358833	69	0					
5	4	0	2490	11673.5236823	7072.21998211	11012.695489	10641.026787	69	0					
5	5	0	2471	12019.4130914	7177.26169271	10990.3872092	10706.2830398	69	0					
5	6	0	2360	11665.4732568	7205.82448533	11220.523166	10872.3004493	69	0					
5	7	0	2134	13909.2373242	7827.61979219	11109.5302117	10815.827874	69	0					
6	3	0	2628	13088.4985582	7594.76820425	11112.9572406	10649.2561833	69	0					
6	4	0	2151	13755.1399726	7492.42513677	10975.1078391	10644.0576995	69	0					
6	5	0	2050	14160.9213887	7634.2579277	11194.734573	10839.9241665	69	0					
6	6	0	2072	14846.4889945	7807.91912655	11306.3789075	10964.7951657	69	0					
6	7	0	2083	15339.4174079	7979.41948636	11183.8505211	10854.3908792	69	0					
7	3	0	2307	12802.0837485	7524.98181701	11086.0314582	10767.6984709	69	0					
7	4	0	2377	13702.0362452	7577.00007534	11387.7419831	11004.6116901	69	0					
7	5	0	1999	14094.1864518	7733.36993273	11146.3596404	10865.894752	69	0					
7	6	0	1965	14022.1788701	7728.59292907	11195.0982715	10895.0789517	69	0					
7	7	0	2418	13996.608655	7801.02516768	11240.1970591	10894.4996719	69	0					
