Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	1e2a5241-17a7-42e9-98e8-03994298e57e
Plate Name	24.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation7

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	3	0	4639	22851.8754293	10227.0131136	9509.37599369	9204.32070051	69	0					
5	4	0	3450	24743.2502882	9840.90686607	9788.00954055	9423.67047813	69	0					
5	5	0	3406	25724.1041509	9648.68652422	9989.62283397	9670.34792469	69	0					
5	6	0	2920	27709.2905044	9793.51931841	10488.4744678	10166.2501468	69	0					
5	7	0	3297	26850.9036122	9089.65630831	10047.5126502	9711.38966544	69	0					
6	3	0	4852	20687.8066999	8746.68473165	9481.21453981	9180.25822836	69	0					
6	4	0	3666	23490.782067	9043.61924861	9718.8687479	9365.88839704	69	0					
6	5	0	3662	24307.4017766	8765.77688145	9956.86638713	9475.81267892	69	0					
6	6	0	2923	25143.9554598	8843.74152102	9923.84651552	9607.37981013	69	0					
6	7	0	2856	28102.7000904	9169.43928835	10152.6858222	9801.11775686	69	0					
7	3	0	4355	18793.2702358	8136.38881074	9481.80063329	9200.22486023	69	0					
7	4	0	3558	21991.3396808	8685.93681905	9661.60166323	9344.695472	69	0					
7	5	0	2728	24274.4186297	8937.53515826	9865.92456322	9514.77493329	69	0					
7	6	0	2569	26402.7528598	9240.58430375	9963.88537687	9596.97676937	69	0					
7	7	0	2617	26789.5760321	9253.22949446	10240.9667023	9745.87755959	69	0					
