Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2ca204a2-5ecc-4b75-bda5-db8feef1ee1d
Plate Name	4h.imp.parp
Measurement	Measurement 1
Evaluation	Evaluation3

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
5	3	0	2528	20195.673136	9744.08793355	11668.2902806	11288.1436744	69	0					
5	4	0	2556	22375.1069652	10406.3185583	12074.8400956	11662.6604177	69	0					
5	5	0	3222	21462.3183659	10035.5951958	11758.6123225	11479.9903434	69	0					
5	6	0	2755	23632.4766321	10779.0349828	12040.7942123	11471.1946055	69	0					
5	7	0	2650	22191.1560909	10344.9977721	11578.1771468	11328.2224167	69	0					
6	3	0	2578	19960.0964681	9581.91615512	11798.3080705	11415.9895037	69	0					
6	4	0	2324	22275.291627	10257.2059237	11894.5985779	11525.0570325	69	0					
6	5	0	2382	21259.9557751	9840.74306414	12017.5255356	11624.0581255	69	0					
6	6	0	2420	23155.0342589	10478.0147942	11870.1300898	11541.7769328	69	0					
6	7	0	1886	22501.9437982	10391.4636696	11648.3987691	11332.2890015	69	0					
7	3	0	2266	19426.0621863	9584.95070748	11919.2602316	11568.8270275	69	0					
7	4	0	2482	20221.2657203	9589.64922231	11680.9658717	11354.9411244	69	0					
7	5	0	2805	21023.7676021	9959.12712928	12145.9252574	11778.641104	69	0					
7	6	0	2510	22945.4715816	10553.644307	12081.2458775	11747.5287504	69	0					
7	7	0	2338	22152.3392073	10543.3860136	12045.3815138	11722.0318945	69	0					
