Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	149f8699-ef32-4688-958a-7871782cfc72
Plate Name	MDAWT24H-1
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	8	1	401	599	[372,580,444,644]	564.03	1252.5					1	180.476	1	633.098	11660.9	2029.58	5489.41	1926.98	174	0.0703819	6	0.00339367	62.3072	0.274839	
5	3	0	8	2	415	628	[390,609,440,646]	570.59	1239.25					2	225.953	2	223.088	10787.3	2315.44	5735.69	1947.34	71	0.0306184	4	0.00642055	25.4242	0.31826	
5	3	0	6	1	267	966	[246,948,287,987]	1128.1	1681.35					1	113.871713076	1	277.159452581	8723.37106918	2441.78301887	4034.36434109	1925.57235142	154	0.0606005730901	4	0.005167959	55.1454207978	0.555636831311	
5	3	0	9	1	148	437	[131,420,166,455]	-233.5	1353.17					1	99.1901	1	216.285	8045.52	2016.17	4685.5	1819.29	95	0.0361126	1	0.00165563	34.0183	0.439236	
5	3	0	9	2	124	452	[109,438,142,469]	-248.59	1343.37					2	73.4079	2	169.733	8078.26	1993.22	4184.77	1727.27	0	0	0	0	0	0	
5	3	0	9	3	140	473	[112,457,164,490]	-238.53	1330.5					3	213.062	3	228.46	10482.9	2204	4065.58	1712.25	19	0.00362415	1	0.0015674	6.80366	0.0831657	
5	3	0	10	1	649	423	[636,411,663,435]	-579.71	1361.23					1	72.3336	1	113.514	7704	1932.42	3662.46	1655.7	0	0	0	0	0	0	
5	3	0	10	2	292	657	[276,644,306,675]	-794.46	1220.56					2	86.299	2	144.309	7567.82	1929.18	3620.83	1617.56	0	0	0	0	0	0	
5	3	0	10	3	796	1031	[778,1013,821,1052]	-492.69	997.57					3	123.898	3	143.951	4915.79	1741.03	3412.91	1878.93	123	0.0527116	4	0.00995025	39.0315	0.854457	
5	3	0	10	4	815	1041	[800,1027,836,1054]	-480.39	991.61					5	46.5513	5	151.113	5596.38	2677.44	3205.8	1865.47	0	0	0	0	5.01322	0	
5	3	0	10	5	517	342	[500,320,534,390]	-659	1401.81					6	156.842	6	444.386	5281.95	1731.52	3138.41	1672.3	128	0.030619	5	0.00402901	45.8352	0.288038	
5	3	0	10	6	527	401	[494,384,578,422]	-649.13	1371.3					7	169.375	7	457.277	4738.28	1721.62	3326.49	1756.04	237	0.05061	8	0.00626468	84.8667	0.518285	
5	3	0	10	7	731	969	[695,940,765,1009]	-530.94	1033					8	326.934	8	790.298	5964.91	1810.1	3187.46	1714.81	165	0.0135906	5	0.00226552	59.0844	0.208782	
5	3	0	10	8	804	1011	[787,998,831,1025]	-484.37	1008.32					9	155.052	9	140.012	4973.39	1733.85	3153.68	1756.22	30	0.00730411	2	0.00511509	10.7426	0.214267	
5	3	0	10	9	881	1043	[854,1011,905,1068]	-440.92	990.37					10	222.73	10	509.2	8041.16	2012.05	4068.62	1815.12	211	0.0396519	7	0.00492264	75.5564	0.414376	
5	3	0	4	1	46	874	[31,862,58,895]	-294.87	1736.7					1	36.883	1	140.728	6319.5	1998.98	3722.12	1779.05	0	0	0	0	10.3845	0	
5	3	0	4	2	34	885	[20,866,49,906]	-303.24	1729.15					2	93.1027	2	181.55	6942.54	2033.92	3744.26	1891.26	175	0.0591552	6	0.0118343	52.2807	0.963921	
5	3	0	14	1	383	435	[357,415,407,454]	552.58	709.57					1	109.217	1	291.125	8234.17	1974.06	4555.29	1802.91	127	0.0572515	4	0.00492005	45.4771	0.436239	
5	3	0	14	2	376	464	[351,445,393,483]	545.97	691.32					2	107.068	2	262.478	8528.02	2086.96	3813.62	1685.82	37	0.00610744	3	0.00409277	13.2492	0.140964	
5	3	0	14	3	1049	521	[1020,509,1072,539]	946.51	655.93					3	52.2807	3	254.958	10791.8	3031.9	3917.14	1677.58	27	0.0181215	1	0.00140449	3.58087	0.1059	
5	3	0	14	4	1059	538	[1033,523,1073,550]	953.2	646.77					4	131.776	4	120.675	8450.33	1962.6	3820.93	1674.84	0	0	0	0	6.08748	0	
5	3	0	14	5	955	641	[932,615,973,663]	893.91	584.28					5	118.885	5	341.257	10166.4	2114.36	4490.6	1836.39	157	0.0451793	5	0.00524659	56.2197	0.460064	
5	3	0	14	6	1009	709	[992,692,1028,728]	926.93	543.74					6	115.662	6	225.237	11390.6	2123.25	5467.55	2006.03	124	0.078963	3	0.00476948	44.4028	0.550532	
5	3	0	14	7	917	986	[887,957,944,1021]	870.68	375.86					7	142.519	7	521.733	7978.18	2118.61	4393.94	1853.15	138	0.0240015	7	0.00480439	55.1454	0.264503	
5	3	0	14	8	168	534	[139,511,204,562]	423.48	648.15					9	444.028	8	254.6	6900.19	1705.94	3036.46	1612.94	0	0	0	0	0	0	
5	3	0	14	9	952	797	[929,766,973,827]	891.96	492.15					11	225.953	9	470.168	6636.35	1847.82	4568.16	1782.35	99	0.0431166	3	0.00228484	35.4506	0.210563	
5	3	0	14	10	751	1022	[723,997,779,1045]	772.48	357.36					12	181.192	10	472.317	7007.48	1799.88	3648.06	1706.51	109	0.0119654	7	0.00530705	39.0315	0.230777	
5	3	0	14	11	885	1014	[858,995,909,1036]	849.74	360.41					13	204.826	11	298.645	10372.1	1958.77	5687.73	2414.91	301	0.156224	7	0.00839329	102.055	1.00789	
