Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	18	1	918	30	[903,14,934,47]	227.38	-1632.5					1	141.056	1	139.624	5929.28	2829.44	2645.89	1855.21	0	0	0	0	0	0	
5	3	0	18	2	672	152	[659,139,688,167]	79.58	-1706.76					2	93.7987	2	133.18	5806.49	2590.15	3300.11	2021.77	26	0.0168742	1	0.00268817	9.30827	0.195225	
5	3	0	18	3	645	187	[628,166,688,206]	67.92	-1724.75					3	143.562	3	288.556	8101.5	3034.66	5383.47	2587.87	217	0.0625867	5	0.00620347	77.6882	0.75202	
5	3	0	18	4	674	192	[660,172,688,207]	82.37	-1728.82					4	102.749	4	107.761	7896.68	2906.43	4069.54	2145.18	38	0.0122456	2	0.00664452	13.6044	0.352632	
5	3	0	18	5	660	206	[635,193,682,220]	71.32	-1739.36					5	82.7004	5	168.265	8092.21	2916.02	4436.44	2170.9	35	0.0122478	2	0.00425532	12.5304	0.208005	
5	3	0	18	6	497	405	[462,394,516,417]	-28.65	-1857.29					6	123.872	6	200.486	3658.24	2111.01	2515.35	1814.55	0	0	0	0	0	0	
5	3	0	18	7	720	175	[704,151,735,207]	107.76	-1723.07					7	176.141	7	230.917	5917.99	2147.13	3412.5	1943.24	0	0	0	0	0	0	
5	3	0	18	8	735	219	[707,201,758,282]	113.92	-1754.78					8	355.146	8	501.214	5098.66	2177.97	3366.59	1988.77	15	0.000994217	1	0.000714286	5.37015	0.0299273	
5	3	0	18	9	369	315	[347,283,393,346]	-102.52	-1802.72					9	189.029	9	462.549	3986.47	2037.07	2596.75	1768.13	55	0.00633038	2	0.00154799	19.6906	0.118906	
5	3	0	4	1	895	26	[882,14,907,46]	858.26	305.88					3	69.812	1	131.032	6745.48	2200.08	4153.81	1828.1	0	0	0	0	6.8022	0	
5	3	0	4	2	908	43	[893,28,920,55]	866.6	296.97					4	55.1336	2	127.452	6215.07	2464.29	4180	2111.95	158	0.143996	3	0.00842697	49.7634	1.23969	
5	3	0	4	3	952	104	[938,92,966,131]	893.77	256.52					5	115.279	3	148.932	4524.76	2064.31	2717.35	1897.18	85	0.0363849	4	0.00961538	30.4309	0.570729	
5	3	0	4	4	1048	187	[1028,156,1060,205]	949.59	212.5					6	103.465	4	189.029	6628.13	2333.81	3694.64	1997.09	70	0.0314847	2	0.00378788	29.7149	0.370313	
5	3	0	4	5	588	323	[572,303,607,342]	675.87	127.81					7	144.636	5	166.117	5263.11	2140.89	3426.59	1999.16	67	0.0580908	2	0.00431034	21.1226	0.403331	
5	3	0	4	6	1041	365	[1029,341,1054,400]	947.31	99.47					8	64.0838	6	239.151	4694.3	2253.13	2797.42	1815.64	0	0	0	0	0	0	
5	3	0	4	7	911	412	[894,401,935,425]	870.53	75.94					10	90.9346	8	167.907	5597.49	2225.74	3511.46	2003.49	166	0.0980179	3	0.00639659	59.4297	0.988643	
5	3	0	4	8	992	426	[963,405,1015,449]	915.22	66.54					11	124.946	9	405.268	4380.97	1974.36	2915.66	1894.63	143	0.0177355	6	0.00530035	51.1955	0.352853	
5	3	0	4	9	212	469	[197,442,231,485]	451.33	44.54					12	126.736	10	148.216	7446.85	2472.97	3658.82	1937.16	71	0.0742657	2	0.00483092	16.4685	0.47903	
5	3	0	4	10	233	480	[196,444,250,502]	460.53	37.58					13	161.463	11	360.158	6595.62	2445.4	3805.56	1947.12	169	0.0482933	4	0.00397614	69.454	0.469238	
5	3	0	4	11	209	516	[185,498,228,539]	447.49	13.66					14	128.884	12	268.508	5567.45	2448.75	2969.25	1866.33	102	0.030271	4	0.00533333	36.5171	0.379877	
5	3	0	4	12	869	518	[861,510,881,527]	844.2	12.2					15	36.5171	13	60.1457	4006.76	2212.39	2557.1	1848.74	0	0	0	0	0	0	
5	3	0	4	13	364	702	[344,685,383,719]	541.22	-97.47					17	127.094	14	211.584	7137.99	2494.42	4208.76	2097.91	195	0.0824621	6	0.0101523	69.812	0.921619	
5	3	0	4	14	232	772	[211,758,259,786]	463.73	-139.31					18	122.082	15	216.596	5008.92	2085.95	3392.4	1964.47	153	0.0615987	4	0.00661157	54.7756	0.706383	
5	3	0	4	15	236	871	[218,826,256,894]	463.59	-194.04					19	144.636	16	363.022	6732.71	2194.69	4383.02	2061.38	0	0	0	0	2.14806	0	
5	3	0	4	16	282	872	[256,852,300,904]	489.89	-202.2					20	140.34	17	375.553	6332.99	2230.17	3708.23	1964.81	226	0.0595619	4	0.00381316	80.9103	0.60178	
