,Database Name	operetta
Database Location	http://10,45,1,197/ODA/OdaService,asmx
Evaluation Signature	30ff13e5-3de0-48a0-b55a-2d48213e0058
Plate Name	T0cal51,imp,parp
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	7452	18117,8586487	10365,9515282	10042,1012566	69	0					
2	4	0	8775	21614,6090067	11086,133071	10502,902165	69	0					
2	5	0	9547	22103,296547	11161,4572799	10680,2329576	69	0					
2	6	0	8975	24675,6350253	11560,2752013	10880,9377415	69	0					
2	7	0	8493	17201,7531214	11112,2812457	10802,783993	69	0					
3	3	0	9160	19563,175203	10550,2137749	10141,2348095	69	0					
3	4	0	8465	21321,7164376	11123,8358425	10477,2880892	69	0					
3	5	0	9123	19950,0900941	11091,8664564	10664,8487269	69	0					
3	6	0	9111	23076,0648621	11750,4454261	11040,2698463	69	0					
3	7	0	8061	18503,618562	11150,5666674	10765,3929167	69	0					
4	3	0	9817	19905,9807072	10707,1518445	10262,4408785	69	0					
4	4	0	9490	20075,3059567	10874,2297403	10436,4691357	69	0					
4	5	0	9646	20212,7116343	14857,5198681	14308,5328711	69	0					
4	6	0	9028	23135,4158564	12775,4248902	12126,9852771	69	0					
4	7	0	9406	17606,6493522	11369,0539423	11062,6590772	69	0					
