Row	Column	Plane	Timepoint	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
2	3	1	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-53-1513-124-43-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:23.550+01:00	
2	3	1	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-53-1513-124-40-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:24.267+01:00	
2	3	1	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-53-1513-124-41-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:24.827+01:00	
2	3	2	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-54-1513-124-43-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:25.140+01:00	
2	3	2	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-54-1513-124-40-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:25.843+01:00	
2	3	2	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-54-1513-124-41-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:26.403+01:00	
2	3	3	0	1	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-55-1513-124-43-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:26.700+01:00	
2	3	3	0	1	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-55-1513-124-40-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:27.417+01:00	
2	3	3	0	1	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/23-93-113-55-1513-124-41-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	0	0	2023-03-21T09:24:27.980+01:00	
2	3	1	0	2	1	DAPI	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/20-93-113-53-1513-124-43-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	-0.001291628	0.002583257	2023-03-21T09:24:29.057+01:00	
2	3	1	0	2	2	Alexa 555	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/20-93-113-53-1513-124-40-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	-0.001291628	0.002583257	2023-03-21T09:24:29.773+01:00	
2	3	1	0	2	3	Alexa 488	Fluorescence	http://10.45.1.197/ODA/Images/C/c6694e22-b521-42bf-adb2-bfc4e9ee5543/20-93-113-53-1513-124-41-1511.tiff	5.97976080956762E-07	5.97976080956762E-07	1080	1080	-0.001291628	0.002583257	2023-03-21T09:24:30.337+01:00	
