,Database Name	operetta
Database Location	http://10,45,1,197/ODA/OdaService,asmx
Evaluation Signature	7aed1dab-7b3b-4f43-8ef3-e0fa7ef6f937
Plate Name	T24cal51,imp,parp
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	18820	12127,913065	9777,21506211	9605,0492172	69	0					
2	4	0	17062	12611,5470954	10063,426435	9858,17651155	69	0					
2	5	0	11675	14121,631222599999	10365,0596892	10119,9162487	69	0					
2	6	0	9840	15269,0800985	10502,8853103	10176,6992126	69	0					
2	7	0	7643	12821,5054023	10350,0562558	10134,1344683	69	0					
3	3	0	17649	12568,8509529	10014,9442108	9813,22097827	69	0					
3	4	0	18029	12784,0204389	10134,6917207	9913,04802551	69	0					
3	5	0	12353	14212,5405369	10455,8095255	10197,4833954	69	0					
3	6	0	11035	14590,1301832	10496,5038329	10218,4147281	69	0					
3	7	0	7410	12736,2783361	10446,6751803	10244,0128295	69	0					
4	3	0	21517	12584,0603046	10005,0134689	9799,02809175	69	0					
4	4	0	16006	11954,2812644	10100,8112841	9902,11603888	69	0					
4	5	0	11694	14329,3672584	10451,6746641	10178,2393994	69	0					
4	6	0	9862	14563,2427477	10522,3037367	10226,8164561	69	0					
4	7	0	8451	12144,0825093	10376,7960233	10157,8341383	69	0					
