Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	9ec03992-3806-404a-8d19-9b897f0456ce
Plate Name	24h.24heto.1
Measurement	Measurement 1
Evaluation	Evaluation5

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 647  Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 647 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	0	1872	156.962848762	68.2562508424	0.913995726496	0.280445274685	11449	0.0537380867158	196.775512739	3722.24604769	0.0390657818952	3439.04916681	5.67551751245	3400.51445901	1.06913669811	1711	155.422552625	373.743991564	3476.46214279	31009.7149162	3397.86628335	19276.0196596	37.9772063121	0.00288204074122	6.69140853302	0.006683794529	13.5951109849	0.113095924716	9	0					
2	3	0	1611	163.13954216	72.9061163959	0.934202358783	0.248005021527	11346	0.0532623836929	198.916938749	3804.76820025	0.0386441545405	3519.06158572	5.49092191081	3482.8276051	1.06763331785	1505	163.416115273	401.704414584	3529.866894	29961.1908277	3469.38839737	19333.1575979	41.3953488372	0.00269481544663	7.53887043189	0.00699067359215	14.8184927349	0.10954243156	9	0					
2	4	0	1875	164.058160204	69.4827035518	0.909333333333	0.287211101813	12717	0.052445037412	198.103681249	3836.15129354	0.0375120422517	3556.04902777	4.89360698278	3522.55665942	1.06571931142	1705	164.792544602	408.891761123	3571.60690182	24524.3404682	3517.43588504	16352.434705	36.4997067449	0.00240333871228	7.45865102639	0.0066924676788	13.0663955831	0.0962841431126	9	0					
2	7	0	1258	267.966417404	98.8419084979	0.89586645469	0.30555517708	12313	0.0521982825958	201.2899323	3897.09697068	0.0366690806149	3617.42365416	4.33769187038	3602.91242704	1.05980796195	1127	267.108615614	732.210981937	3674.90918601	29025.6268188	3601.83334811	17299.814835	47.3913043478	0.00195226744717	10.9254658385	0.00556353447638	16.9644855573	0.0724725835471	9	0					
2	8	0	1070	273.818046112	103.442880217	0.879439252336	0.325768377936	11498	0.0520541274559	197.424600901	3858.34762567	0.0369108060522	3581.7248159	4.6640285267	3560.94902079	1.06127293205	941	273.21926567	735.581990414	3642.03162855	30183.2261882	3560.18886033	17177.9406292	56.9893730074	0.00195319965327	12.2189160468	0.00624705430325	20.4010353097	0.0858903827637	9	0					
2	9	0	684	274.261481925	144.377405908	0.907894736842	0.289386103447	8589	0.053034536099	198.799502743	3806.36756316	0.0383853509635	3521.26610901	5.52450809175	3492.10575855	1.06527049797	621	273.256547373	783.574977263	3587.98723979	31805.5013026	3489.23087586	18283.574478	76.4090177134	0.00292929502404	13.8309178744	0.00674170348868	27.353382824	0.115877984592	9	0					
3	2	0	853	181.339584556	74.2073889513	0.902696365768	0.296544651727	7228	0.0632282558623	240.495618018	3807.22440509	0.0506293713816	3420.38093171	8.76950747095	3408.76604111	1.07449084519	770	182.573951419	496.365230228	3422.32876291	24101.0027687	3400.43036235	3087.25134759	82.3194805195	0.00814094923237	9.38701298701	0.00702548338812	29.4678528828	0.176953309541	9	0					
3	3	0	1311	178.083037597	91.129428246	0.899313501144	0.301027987022	9406	0.0627267892769	248.265237579	3895.90920689	0.0505581854482	3494.11072235	9.17042313417	3478.64695295	1.07548087725	1179	176.180885925	460.372528895	3498.6087349	27475.3719244	3471.08102592	3427.20277963	73.1611535199	0.00828895078743	7.97794741306	0.00641907639812	26.1876555283	0.170829161151	9	0					
3	4	0	1288	173.672281049	81.0877262029	0.91149068323	0.284144509849	10195	0.061551780363	242.264528393	3943.58538499	0.0491634182717	3555.45031063	8.72515939186	3542.04571157	1.07205132001	1174	172.94794655	467.384983712	3594.77731267	27479.3208819	3543.11373963	3563.44735282	75.769165247	0.0077228399283	8.68398637138	0.00681488700371	27.1197504654	0.171881792825	9	0					
3	7	0	934	261.904169213	106.626521165	0.898286937901	0.302432544277	10718	0.0601902868856	242.423195671	4034.30714686	0.0474073231222	3651.58173579	8.53573427878	3640.6535887	1.06940153895	839	260.776177868	740.611820615	3672.48060633	29641.0713639	3643.23283034	3354.48771262	109.041716329	0.00797896102111	12.7747318236	0.00632897787377	39.0320289525	0.165410441009	9	0					
3	8	0	814	264.650400344	117.913742548	0.902948402948	0.296210016235	9592	0.0600185476194	241.618930964	4002.31119683	0.0476223082641	3613.93210612	8.59737281068	3598.22856837	1.07118080045	735	265.462196202	762.091986509	3633.53735584	28493.9804429	3593.32361319	2945.75697426	112.198639456	0.00742814028354	13.0503401361	0.00643024674496	40.1631424113	0.164197686918	9	0					
3	9	0	760	266.690385347	126.492552653	0.889473684211	0.313751135978	9821	0.0623950836228	257.132581754	4007.02769575	0.0496363390902	3599.2429469	9.35861928521	3609.65300129	1.07141701704	676	263.405908273	776.905505835	3624.98284485	25899.710921	3597.74870314	2930.58738094	135.963017751	0.00831291886917	14.5281065089	0.00697277515084	48.6697225569	0.187285377784	9	0					
4	2	0	927	159.775433421	61.6877061455	0.91693635383	0.27612737546	7063	0.0531999038266	196.018499858	3753.730143	0.0383090486975	3474.4866341	5.05606682713	3438.62410575	1.06743422247	850	158.416526085	437.316084642	3476.55084746	18944.6368026	3427.16187387	11374.1562207	42.0129411765	0.00252141644855	8.30941176471	0.00707091578352	15.0396369107	0.103335970971	9	0					
4	3	0	1319	160.148802123	54.0580526917	0.926459438969	0.261120739606	9935	0.0532195620738	202.030495979	3782.57342728	0.0383884164712	3494.55187383	5.23512833417	3464.5652572	1.06701131115	1222	160.100738144	439.171578696	3684.23750364	18990.6075656	3561.00325533	10455.2754264	42.562193126	0.00259990542638	8.13011456628	0.00675768666719	15.2358039	0.102425642824	9	0					
4	4	0	1575	150.067636723	54.8151124811	0.913015873016	0.28190130317	11121	0.0521749725951	200.092459423	3889.56289902	0.0375078678462	3604.59854247	5.0802985343	3571.76078016	1.06521155905	1438	149.59247412	414.56533226	3607.50131966	19561.8922498	3555.2394878	10617.2297763	39.2892906815	0.00246319980058	7.73365785814	0.00689669409191	14.0645305673	0.101262117381	9	0					
4	7	0	928	245.32748286	82.5110664812	0.904094827586	0.294619934453	10151	0.0513401348238	201.693668902	3984.73815388	0.0364560999552	3700.70203077	4.75726529406	3676.55776075	1.06181032892	839	243.724679442	711.532152617	3722.10857938	22242.6461633	3667.58117248	11318.5104001	57.557806913	0.00220432405263	12.0989272944	0.00637251580784	20.6049073017	0.0888209390952	9	0					
4	8	0	771	252.475537796	96.3755185584	0.919584954604	0.272111195724	8847	0.0519471719943	198.082789372	3886.31954335	0.0369918005223	3607.48662301	5.00373007799	3578.04100845	1.06365397091	709	248.714149352	734.002218152	3641.94976268	24671.1627306	3564.721527	11655.2229722	62.437235543	0.00219981999757	12.4781382228	0.006435996658	22.3506661508	0.0955960324733	9	0					
4	9	0	814	245.562341242	82.2298846012	0.902948402948	0.296210016235	9020	0.0516862657303	196.48505072	3874.55676275	0.0366061902989	3599.76846923	4.73070953437	3564.43276068	1.06510262745	735	244.727726142	695.132472407	3625.12721488	21708.6748869	3555.89282893	10976.0332699	58.0557823129	0.00204157182709	12.2721088435	0.00647150813768	20.783175681	0.0903296355786	9	0					
5	7	0	1149	245.2455521	96.7935058022	0.895561357702	0.305961901998	10993	0.0518270873219	199.691117522	3909.14445556	0.0363712956567	3631.80446665	4.3012826344	3617.80238962	1.05905490063	1029	244.39228357	713.198152735	3684.32432394	27975.8469233	3611.60387979	15206.4089447	45.9514091351	0.00188302220441	10.6831875607	0.00556920973302	16.4492799149	0.0719777179181	9	0					
5	8	0	1004	263.571347929	116.508447565	0.895418326693	0.306166149614	10317	0.0522495766532	200.167274976	3871.09072405	0.0367089072882	3592.22958264	4.22458078899	3589.68291511	1.05750753764	899	264.285488978	810.758968415	3649.88398099	28374.7297748	3592.45749462	16485.2489142	48.4816462736	0.00180733513087	11.4760845384	0.0053279093799	17.3557659835	0.065200358146	9	0					
5	9	0	906	267.934582243	100.830840541	0.902869757174	0.296298600007	9640	0.0521459687606	196.602660521	3845.09834025	0.0369284817998	3569.54916726	4.44211618257	3559.444845	1.05893859443	818	265.287554396	768.890713687	3614.29525837	24363.346074	3565.86652753	16560.2468728	52.3496332518	0.00177759746606	11.7848410758	0.00588241329941	18.7404523953	0.076499883289	9	0					
6	7	0	550	230.752772756	98.5703870148	0.901818181818	0.29783120676	6455	0.0601876677245	244.999529041	4051.26398141	0.0471718164839	3666.6429096	8.4954298993	3654.10744799	1.07042550898	496	228.746760736	714.590488913	3707.57450038	26692.3075673	3651.63899705	2828.9731829	110.560483871	0.00780854587921	13.0141129032	0.00681818749675	39.5755316751	0.173330861265	9	0					
6	8	0	860	228.236257612	82.6764094159	0.9	0.300174570861	9085	0.0630342079264	252.953951191	4001.27374794	0.0504065503963	3596.28917451	9.46560264172	3586.42582096	1.07309862439	774	226.016557442	682.487500117	3603.20565931	24822.8121195	3584.4949173	2800.04080773	111.104651163	0.00892569259708	11.7377260982	0.00632361465615	39.7707072504	0.177826372809	9	0					
