Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	1b073569-b623-4455-a6ee-5a638940c320
Plate Name	Recconst.cleavedcasp3 rep2
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
2	2	0	5325	148.389259086	44.988246398	0.934647887324	0.247169348524	753	0.0948414169928	532.648346573	5529.32536521	0.0943483087281	4539.73260196	59.9110225764	4675.88867688	1.11121652422	4977	147.88994418	334.036614873	3827.1519671	3911.53616661	9.0642957605	0.000805312585928	0.151295961423	0.000185302041938	3.24354930796	0.0133949582365	20	0	0	37	-1	5					
2	3	0	8547	147.538442948	55.4967564703	0.939978939979	0.23753975272	1228	0.105412482782	542.852390961	5212.58550489	0.104780816176	4180.57066208	41.0545602606	4265.72606563	1.12210758231	8034	147.337287278	284.436947685	3833.93319302	3851.17606118	6.27520537715	0.000980527256995	0.15285038586	0.000200119443698	2.22618108273	0.0152481354972	20	0	0	37	1	5					
2	4	0	4360	255.468414551	85.3931937138	0.915137614679	0.278708767473	634	0.124317606835	764.430013362	5701.84542587	0.123919372325	4261.64253393	36.2397476341	4473.8098413	1.13242543948	3990	255.130146241	518.80186819	3794.90359848	3791.93383813	5.75839598997	0.000882155579199	0.158897243108	0.000119809980726	2.06043910908	0.0119131670013	20	0	0	37	1	5					
2	5	0	4194	255.861706151	77.4009239085	0.918693371483	0.273338023509	514	0.100554189311	465.581674115	4871.0155642	0.101138321253	3938.75256028	28.7237354086	3945.40498855	1.12122973729	3853	255.406415139	491.636821529	3720.56637953	3700.481883	3.83181936154	0.000454642372132	0.133402543473	0.000110673225839	1.37120090454	0.00849055969115	19	0	0	37	0	5					
2	6	0	3674	256.272608295	82.8404890727	0.908546543277	0.288292115285	548	0.109372802227	585.105563559	5148.89233577	0.111733370689	3963.62325604	31.1423357664	3991.22105629	1.13746869203	3338	255.964352636	577.37795121	3786.89011912	3759.03378687	5.11264230078	0.000925085416481	0.164170161774	0.00013424579823	1.82953816086	0.0109608875141	19	0	0	37	0	5					
2	7	0	11725	157.234473466	70.5021119115	0.946439232409	0.225158467633	10652	0.0906668489884	418.50214491	4666.33533609	0.0887483874246	3865.02338265	24.6717987232	3912.88535445	1.09470343108	11097	156.999969349	224.566579473	3990.63246082	3988.38005919	23.6824366946	0.00533676528871	0.959899071821	0.00167303634452	8.47379255091	0.113590773117	20	0	0	37	0	5					
2	8	0	12075	156.860771353	67.4365887974	0.944596273292	0.228776065674	12372	0.0916060274062	399.350866026	4492.75056579	0.0903090082861	3714.27072521	25.1122696411	3732.94914941	1.10195662829	11406	156.673544081	239.467593509	3718.90770625	3697.03668495	27.2390846923	0.00548432566606	1.08469226723	0.00172168136126	9.74629710656	0.118847861679	20	0	0	37	0	5					
2	9	0	7458	260.963379685	91.819561253	0.926119603111	0.26159369143	8318	0.0899804758152	387.408443967	4499.9659774	0.0884023342164	3745.65294679	25.6528011541	3759.36827908	1.09961888697	6907	260.409399208	361.985778018	3753.88957383	3725.65738956	30.8932966556	0.00446509894345	1.20428550746	0.00135295579633	11.054107436	0.097919399381	20	0	0	37	0	5					
2	10	0	7774	259.831255844	92.2034650261	0.922562387445	0.267301738935	8017	0.0907278350614	396.556488764	4591.26880379	0.0894065160321	3814.76189746	26.775726581	3823.99079423	1.10341544359	7172	259.465630568	387.119975791	3893.98678681	3865.89482233	29.9304238706	0.00387292321946	1.11781929727	0.00111948735971	10.7093323268	0.0838715118978	20	0	0	37	0	5					
2	11	0	8172	250.906299233	92.613304649	0.924375917768	0.264411867519	8436	0.0960623013229	399.1675693	4363.64912281	0.0953631451512	3575.5330383	27.368302513	3572.76726684	1.11314274898	7554	250.224016426	371.562678267	3592.47197527	3527.45784516	30.5638072544	0.00436808413533	1.1167593328	0.00115580184299	10.9359966438	0.0879507465333	20	0	0	37	0	5					
3	2	0	10734	148.077699655	50.6765118505	0.935811440283	0.245099949257	1581	0.11249641271	564.996608858	4724.8570525	0.11315033904	3631.74639623	25.3681214421	3736.22099135	1.12674954368	10045	147.761222124	255.157140072	3675.30282806	3629.79529603	3.99273270284	0.00100493712588	0.157391737183	0.000227509770039	1.42839121925	0.015818199441	20	0	0	37	0	5					
3	3	0	8467	146.886513404	48.7571263336	0.938348883902	0.240535006241	971	0.109565946557	515.555387165	4664.34191555	0.11117431199	3619.50161245	27.3522142122	3648.46437829	1.13633863179	7945	146.553463541	281.200949851	3495.5718427	3468.91169069	3.34285714286	0.000822633080963	0.122215229704	0.000171845369541	1.19604761056	0.0122523695587	20	0	0	37	0	5					
3	4	0	5791	246.293522027	79.99940226	0.920566396132	0.270437674501	878	0.104750651932	461.647008882	4548.55353075	0.109207422832	3563.66205751	26.6343963554	3537.70796691	1.13656164828	5331	245.698844298	449.729750491	3497.23288835	3441.85910399	4.38660664041	0.000747031954477	0.164697054962	0.000151793449092	1.56952788941	0.0118007472039	20	0	0	37	0	5					
3	5	0	4798	245.857595686	82.3658733022	0.918924551897	0.27297939633	675	0.111211922615	527.378440452	4842.89777778	0.11463101726	3750.44947582	27.6992592593	3795.11434684	1.12937399575	4409	245.340262957	477.616025265	3527.2036673	3475.82635399	4.24064413699	0.00074921695612	0.153095940122	0.000136206347152	1.51733485508	0.0109817060526	20	0	0	37	0	5					
3	6	0	5431	250.666483954	80.4452021431	0.919351868901	0.272319049211	915	0.119926472592	714.236246074	5149.13661202	0.121964165532	3782.27383604	28.1901639344	3877.22203429	1.14575235034	4993	250.292827382	451.105232973	3740.64074237	3710.8127305	5.16603244542	0.00122084562094	0.183256559183	0.000172750236031	1.84814191936	0.0135380554815	20	0	0	37	0	5					
3	7	0	11747	156.327426397	71.2982896858	0.935983655401	0.244792470034	11204	0.0909283603753	389.38008681	4496.10094609	0.0899427517838	3728.91935194	24.5284719743	3739.81936448	1.10279856623	10995	155.945995019	249.437349208	3814.99566892	3785.09139739	24.9947248749	0.00483904030728	1.01900864029	0.00158233050589	8.9433488918	0.106728953758	20	0	0	37	0	5					
3	8	0	12571	153.471490484	64.5845684354	0.941611645852	0.234485667125	12276	0.0913902072032	391.133135328	4431.23085696	0.0908511204035	3660.39591521	24.8792766373	3673.14825078	1.10246198584	11837	153.363169742	229.286542696	3637.44261233	3598.80518993	25.8019768522	0.00542856120303	1.03708709977	0.00172278237273	9.23189253234	0.118426397324	20	0	0	37	0	5					
3	9	0	8165	254.454609986	88.0174566731	0.929577464789	0.255873445801	9222	0.0906184929411	381.430349955	4411.3502494	0.0897169515412	3659.54184672	25.7740186511	3673.6658315	1.10054245486	7590	254.320290106	335.470314164	3726.1355074	3675.34063282	31.315942029	0.00475667260091	1.21501976285	0.00141791251478	11.2053861278	0.103426591192	20	0	0	37	0	5					
3	10	0	8119	256.529903117	90.3798545269	0.930656484789	0.254053029359	8800	0.0905246054201	384.466254969	4442.29011364	0.0895102790015	3686.28399662	25.2221590909	3699.34871635	1.10172739965	7556	256.170505217	351.50172722	3808.45526452	3762.0635412	29.3746691371	0.00454367546269	1.16463737427	0.00130726666857	10.5102792907	0.0944298083796	20	0	0	37	0	5					
3	11	0	7859	258.292853419	92.5369822911	0.924417864868	0.264345167328	9063	0.0924654731777	384.013868874	4348.9373276	0.0913172571516	3594.05972611	25.0670859539	3611.80389094	1.10371105082	7265	258.202057385	363.239364426	3680.3843101	3641.24279221	31.2708878183	0.00479667652061	1.24748795595	0.00137723637075	11.1895191261	0.0977638615411	20	0	0	37	0	5					
5	4	0	14134	135.775333013	46.3727325541	0.943823404556	0.230270573733	2464	0.0978619627878	510.523674341	4727.39163961	0.0978573366872	3765.87615963	24.4955357143	3817.27684752	1.11778220178	13340	135.541409791	213.456965894	3710.49593337	3644.24872573	4.52451274363	0.00124416829289	0.184707646177	0.000324058006141	1.61867602603	0.0218146600461	20	0	0	37	0	5					
5	5	0	13998	136.489559146	47.4850797222	0.946920988713	0.224199064971	2271	0.0910321626466	463.132182508	5044.61558785	0.0902430066845	4146.83095758	25.7432848965	4163.60245091	1.10725228789	13255	136.425090145	203.157076429	4100.42879786	4074.46608631	4.41063749528	0.00104916074139	0.171331572991	0.000323417086524	1.57433304549	0.0201087713274	20	0	0	37	0	5					
5	6	0	9352	234.813843989	85.7999523578	0.923545765612	0.265737719167	1390	0.0951697175739	471.978946945	5102.26978417	0.097508508274	4135.43564272	25.8978417266	4137.68993884	1.11457503588	8637	234.171557534	289.984043642	4161.82481968	4141.99681706	4.16788236656	0.000912023084459	0.160935510015	0.000228824767678	1.49083820193	0.0160769334701	20	0	0	37	0	5					
5	7	0	9749	236.378387642	87.3637294111	0.928608062365	0.257491611069	1311	0.101933431224	708.692562008	5762.53165523	0.101240972286	4453.69926507	28.7292143402	4635.05279118	1.11529258671	9053	236.357681256	283.238065399	4461.60791108	4463.67900526	4.16038882139	0.000924303573219	0.144813873854	0.000197431039051	1.48838286464	0.0146753978168	20	0	0	37	0	5					
5	8	0	8859	240.442684704	86.7328471677	0.925838130715	0.262048922585	1605	0.101253241958	481.533667247	4709.3470405	0.101155952657	3758.9633067	24.7302180685	3771.57798687	1.12370945854	8202	240.31045984	316.893543101	3693.1731922	3635.71015782	4.83930748598	0.00108335793552	0.195683979517	0.000256759622738	1.73133375208	0.0174160442922	20	0	0	37	0	5					
6	4	0	13416	135.362312287	44.7371946918	0.942456768038	0.23288634794	2089	0.0944405982964	451.209924457	4785.31929153	0.0956739655196	3888.8862029	25.3006223073	3905.49497988	1.11371572139	12644	135.0641349	215.743671822	3794.2396727	3739.50636444	4.18008541601	0.00108626105454	0.165216703575	0.000290775921664	1.49568498119	0.019798874028	20	0	0	37	0	5					
6	5	0	14221	135.157201712	46.5048701273	0.943112298713	0.231636058698	2210	0.0953301915549	430.413572813	4627.79004525	0.0960208972136	3755.52330327	24.0063348416	3765.10718298	1.11178966692	13412	134.984644486	195.273009786	3807.58673825	3761.49743812	3.95571130331	0.00116510177133	0.164777810916	0.000330624440688	1.41521495747	0.0217294956358	20	0	0	37	0	5					
6	6	0	9084	237.879411185	86.3468121324	0.923932188463	0.265121174714	1208	0.101659522021	481.183680503	4814.47433775	0.104606506945	3825.34888569	28.1879139073	3816.49863844	1.1275919206	8393	237.757763029	300.889192566	3777.15599555	3728.63522271	4.057071369	0.000873751980734	0.14392946503	0.000189637540931	1.45133741662	0.0152809672592	20	0	0	37	0	5					
6	7	0	9306	237.331055161	83.7182364973	0.923275306254	0.266168420391	1266	0.105561244345	660.359429152	5429.5892575	0.104673236618	4205.01485965	24.7709320695	4352.55257081	1.12096199583	8592	236.727067435	301.930782963	4230.24678705	4219.95250148	3.64990689013	0.000827149550998	0.147346368715	0.000197591462187	1.30585437741	0.0132287586268	20	0	0	37	0	5					
6	8	0	8920	237.618272479	81.9039007275	0.928811659193	0.257153600773	1391	0.102303385937	463.423388823	4626.27965492	0.104888700869	3675.63507788	26.9086987779	3641.66601138	1.13423082189	8285	237.570641798	301.657972858	3592.88680053	3524.19905597	4.5178032589	0.0010196100733	0.167893783947	0.000223649109246	1.61611594349	0.0169638175844	20	0	0	37	0	5					
