Database Name	operetta
Database Location	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	cbd6da7f-0b6b-46a4-8ec6-6bf1188546e6
Plate Name	Recconst.cleavedcasp3 rep1
Measurement	Measurement 1
Evaluation	Evaluation7

[Data]
Row	Column	Timepoint	Nuclei Selected - Number of Objects	Nuclei Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Nuclei Selected - nuclear_areainum2n Area [µm²] - StdDev per Well	Nuclei Selected - Cyto Selected - Mean per Well	Nuclei Selected - Cyto Selected - StdDev per Well	Spots - Number of Objects	Spots - Relative Spot Intensity - Mean per Well	Spots - Corrected Spot Intensity - Mean per Well	Spots - Uncorrected Spot Peak Intensity - Mean per Well	Spots - Spot Contrast - Mean per Well	Spots - Spot Background Intensity - Mean per Well	Spots - Spot Area [px²] - Mean per Well	Spots - Region Intensity - Mean per Well	Spots - Spot to Region Intensity - Mean per Well	Cyto Selected - Number of Objects	Cyto Selected - nuclear_areainum2n Area [µm²] - Mean per Well	Cyto Selected - Cytoplasm_areaum2 Area [µm²] - Mean per Well	Cyto Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean - Mean per Well	Cyto Selected - Total Spot Area - Mean per Well	Cyto Selected - Relative Spot Intensity - Mean per Well	Cyto Selected - Number of Spots - Mean per Well	Cyto Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cyto Selected - Spots Area [µm²] - Mean per Well	Cyto Selected - Formula - Mean per Well	Number of Analyzed Fields	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
2	2	0	4254	151.227332318	48.6048938691	0.9219558063	0.268272651933	968	0.10017380962	412.394828147	4184.75309917	0.0994831725123	3373.80743753	20.2768595041	3329.7881319	1.13490745061	3922	150.998111085	378.603350052	3370.7490951	3269.35574777	5.00458949516	0.000887711002403	0.246812850586	0.000266032482369	1.7905069431	0.0149930998161	25	0	0	37	0	5					
2	3	0	5376	149.314735796	51.4138811683	0.936011904762	0.244754493125	1395	0.10868435688	504.019333644	4381.4688172	0.109290444979	3349.48743834	20.7139784946	3329.42639421	1.15023568928	5032	148.657598664	353.328607864	3328.39379208	3242.22390307	5.74244833068	0.00139867111015	0.277225755167	0.000336350014712	2.05448499142	0.0193508085095	25	0	0	37	0	5					
2	4	0	3855	276.116414127	90.7588214399	0.894682230869	0.307002256513	1060	0.116672526954	628.948232788	4622.74245283	0.11615421517	3444.70861608	25.4132075472	3454.63970769	1.16041481502	3449	275.202184069	664.25155705	3379.65178303	3313.97150935	7.81037982024	0.00125166133545	0.307335459553	0.000215377340881	2.7943937436	0.0152909134326	25	0	0	37	0	5					
2	5	0	4662	257.561400947	82.0804111601	0.902402402402	0.296801620822	896	0.123713147433	660.054720195	4721.70200893	0.122881176026	3454.06894713	23.3839285714	3504.31653182	1.15962807782	4207	257.10272053	581.862646004	3395.35817782	3305.53629198	4.98027097694	0.00111034672889	0.212978369384	0.000164738903997	1.78208456375	0.0113551325536	25	0	0	37	0	5					
2	6	0	3782	247.064975622	79.0820349896	0.913273400317	0.281471214829	753	0.104571430472	483.697176788	4449.3997344	0.104170411878	3492.86269109	21.6733067729	3462.73770912	1.14528679564	3454	245.814967816	583.390061482	3456.53735413	3369.34295574	4.72495657209	0.000754297842191	0.218008106543	0.000154812941423	1.69028838997	0.00980545416986	25	0	0	37	0	5					
2	7	0	7266	156.641804119	67.1310819849	0.938067712634	0.241049115197	8696	0.0999101149665	429.698917389	4375.85982061	0.0992804405954	3528.87191092	25.0769319227	3525.61852881	1.12229591829	6816	156.286158212	316.308698182	3513.61618311	3443.86942689	31.9936913146	0.00578976687504	1.27582159624	0.00157087173725	11.4481292231	0.109612576582	25	0	0	37	0	5					
2	8	0	9683	155.985045322	64.432412175	0.942786326552	0.232262438224	11815	0.0979877133829	403.592860964	4326.14253068	0.0977012569087	3522.82228948	24.5234024545	3507.34116415	1.11884079935	9129	155.729454089	301.220218828	3508.89207194	3442.4880463	31.7388542009	0.00589518265753	1.29422718808	0.0016671052512	11.3566785429	0.113471376346	25	0	0	37	0	5					
2	9	0	6232	265.589769708	99.056416398	0.915115532734	0.278732059577	9714	0.0971035795932	400.369812594	4310.82499485	0.095916873471	3523.83985634	24.5107061972	3503.67534217	1.11950513884	5703	264.748500691	484.411616221	3538.93965654	3440.31232635	41.7494301245	0.0052632463743	1.70331404524	0.00137407388205	14.9386708205	0.0970693151356	25	0	0	37	0	5					
2	10	0	5712	266.619827182	90.0592747587	0.924194677871	0.264709543883	9652	0.0968918753202	397.522670158	4299.03481144	0.0958460744655	3517.54308254	24.2303149606	3498.07206927	1.11861477458	5279	266.004242153	494.534309687	3531.25173021	3437.70359966	44.3021405569	0.00518038860693	1.82837658647	0.00143178831218	15.8523909989	0.0998566085599	25	0	0	37	0	5					
2	11	0	6864	266.557409527	96.0509338764	0.92263986014	0.267181490137	9949	0.0961540801901	388.976566325	4263.81344859	0.09491061806	3499.78933708	24.7408784802	3485.93581992	1.11580852566	6333	266.069088794	463.463404735	3528.06407913	3442.25876461	38.8673614401	0.00490762243744	1.57097741986	0.00136094156659	13.9077919435	0.0960480589113	25	0	0	37	0	5					
