Database Name	operetta
Database Location	http://10,45,1,197/ODA/OdaService,asmx
Evaluation Signature	ff20c5df-1bc2-47b9-a831-683fd7170b49
Plate Name	T4cal51,imp,parp1
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Nuclei Selected Selected - Number of Objects	Nuclei Selected Selected - Intensity Nucleus Alexa 488 Mean - Mean per Well	Nuclei Selected Selected - Intensity Nucleus Alexa 555  Mean - Mean per Well	Nuclei Selected Selected - Intensity Cytoplasm Alexa 555 Mean - Mean per Well	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	3	0	8561	15913,8497845	10707,8039157	10388,1734111	69	0					
2	4	0	7331	16831,4453327	10925,3377508	10670,3144424	69	0					
2	5	0	6737	17718,120006	11136,8915909	10783,451888	69	0					
2	6	0	6313	18616,1410567	11196,8611041	10808,0281159	69	0					
2	7	0	5499	17392,0987181	11054,3526771	10760,3305535	69	0					
3	3	0	8272	16564,7066052	10636,7186679	10322,0266013	69	0					
3	4	0	6648	16238,3123816	10796,1062374	10539,1064527	69	0					
3	5	0	6483	17897,685613	11095,9431632	10698,3348978	69	0					
3	6	0	6849	18698,5630052	11093,719439	10690,8916837	69	0					
3	7	0	5122	16945,6293257	11049,9829167	10702,932928	69	0					
4	3	0	9093	16507,7933171	10869,1808342	10525,8716048	69	0					
4	4	0	7357	16294,5681079	10719,7955242	10445,0515689	69	0					
4	5	0	6767	17140,1147748	10974,4036271	10602,5482708	69	0					
4	6	0	6709	17356,414734	11075,365291	10674,4954537	69	0					
4	7	0	5798	17246,9331107	11047,5660866	10666,5098883	69	0					
