Uniprot	Histones	Absolute quantification accuracy	Length	Mass	Chromatome	Unique_razor_pept	Total_pept	Copy number Chromatome	protein_group
#!{Type}E	C	C	N	N	N	N	N	N	T
NaN		high	582	65.894	1390568.598365	11	11	4588693.37692405	P50281
NaN		low	544	60.161	22840096.3972917	1	1	80634080.516935	Q64LD2
NaN		low	4486	511.877	4653201.3167	1	1	1992104.78306182	Q9NYC9
NaN		high	204	23.743	NaN	8	8	0	Q6I9Y2
NaN		medium	585	64.328	10566945.992475	7	7	34690713.0652081	Q9BWN1
NaN		medium	196	21.604	NaN	4	4	0	Q9UJY1
NaN		medium	261	27.701	NaN	6	6	0	Q969G5
NaN		medium	488	54.601	NaN	5	5	0	Q658P3
NaN		high	1132	129.085	1026444.4323425	11	11	1741440.42459275	Q6P0N0
NaN		medium	107	11.676	67772235.4748167	6	6	1216431446.06195	P17096
NaN		high	703	82.598	1002342.2468825	15	15	2738295.51813407	Q8N9T8
NaN		high	2357	251.894	1266699.15255667	41	41	1032127.86381007	O15027
NaN		high	975	112.216	NaN	10	10	0	Q6ZMZ3
NaN		high	1124	124.199	1098369.1523925	31	31	1876729.24306133	Q9NQW6
NaN		high	514	55.805	646229.705044167	9	10	2414590.03173053	P12268
NaN		high	905	103.051	NaN	10	10	0	Q15361
NaN		medium	614	67.128	NaN	4	4	0	Q68DK7
NaN		medium	253	27.661	NaN	4	4	0	P04156
NaN		medium	851	91.174	2057118.539825	4	4	4642472.751349	Q63ZY3
NaN		high	385	44.141	2757749.56285833	10	10	13756682.0581854	Q12824
NaN		low	259	28.536	550260.274758333	1	1	4080261.54003968	Q9H0R4
NaN		medium	484	54.127	NaN	3	3	0	P37287
NaN		high	381	41.4	NaN	8	8	0	P08174
NaN		low	1135	126.149	NaN	1	1	0	Q9HCL0
NaN		medium	320	35.611	673019.026739167	5	5	4039214.98669836	O75821
NaN		medium	759	87.68	NaN	18	25	0	Q13619
NaN		medium	381	42.982	NaN	7	7	0	P10644
NaN		high	350	39.309	NaN	17	18	0	Q70UQ0
NaN		medium	717	69.95	NaN	3	3	0	Q5TAT6
NaN		high	1054	120.974	3612461.4209375	32	32	6582368.80837923	Q03701
NaN		high	951	105.322	2479836.34658583	27	27	5007974.50557489	Q8NI36
NaN		high	268	29.159	NaN	8	8	0	Q6UXV4
NaN		low	335	38.295	NaN	1	1	0	Q8N4T4
NaN		medium	379	42.19	NaN	7	7	0	Q9H300
NaN		high	1264	140.476	NaN	20	20	0	P26640
NaN		medium	122	14.607	NaN	3	3	0	Q6P5R6
NaN		high	259	29.823	482905.760845	9	9	3580817.8308071	Q96EU6
NaN		medium	1231	141.326	1150173.55000083	20	27	1794423.41796214	Q8N3U4
NaN		low	1120	125.43	NaN	1	1	0	Q7Z2Z2
NaN		medium	326	35.193	888202.51178	6	6	5232557.41121126	P15408
NaN		medium	371	42.462	354251.069015833	5	5	1833820.67603075	Q99873
NaN		low	312	35.139	NaN	1	1	0	Q5TBB1
NaN		high	325	36.502	NaN	11	11	0	Q13347
NaN		low	762	85.639	NaN	1	1	0	Q6P2H3
NaN		high	812	89.302	3110498.06874083	24	24	7356877.28514446	P46087
NaN		high	950	108.582	2109131.48025417	28	28	4263827.76955548	Q9H0D6
NaN		medium	1294	141.064	952486.533544167	6	7	1413657.40702908	O75122
NaN		high	178	20.472	NaN	10	10	0	Q03135
NaN		high	1382	166.569	NaN	33	33	0	Q14152
NaN		low	207	22.831	NaN	2	2	0	P25208
NaN		medium	276	30.04	1660586.52620167	7	7	11555055.4228457	Q96B26
NaN		high	1101	128.806	1790804.39870667	17	17	3123779.99015252	Q8IY18
NaN		high	352	39.93	NaN	9	9	0	O15372
NaN		low	684	76.519	NaN	1	1	0	Q8N3L3
NaN	+	high	226	22.58	144513687.346305	9	11	1228061590.75205	P16401
NaN		low	424	48.195	NaN	1	1	0	Q5QJ74
NaN		medium	570	62.608	409035.1102525	6	9	1378178.07799542	Q9NUL3
NaN		high	225	24.764	8820828.30614917	8	10	75291587.783111	P24534
NaN		medium	146	15.893	2179429.95475	6	6	28668809.9108468	Q9NZT1
NaN		high	339	37.84	4307264.21795	10	13	24401775.1048009	O94905
NaN		high	393	44.941	892847.851451667	10	10	4363193.89220958	Q9BWS9
NaN		high	1365	152.258	NaN	20	21	0	O96028
NaN		low	524	60.12	NaN	2	2	0	Q96E52
NaN		low	452	49.578	5755010.59375	1	2	24452726.9158226	Q7Z6R9
NaN		high	673	73.748	991233.623334167	19	19	2828658.80784368	Q9BW19
NaN		medium	90	10.18	10433688.43378	3	3	222646032.02455	P06703
NaN		medium	407	43.959	NaN	2	3	0	Q15434
NaN		medium	257	29.426	1719195.02954167	6	6	12847292.9935905	Q9UMY1
NaN		high	288	31.731	NaN	11	11	0	P27105
NaN		low	437	46.504	858441.615246667	1	1	3772670.97844723	Q96EP9
NaN		high	639	71.451	1706544.752875	12	12	5129044.04832638	Q9Y5K6
NaN		high	2468	270.634	2030485.63821667	33	35	1580062.88509001	P46821
NaN		high	281	31.122	8785740.43013083	14	16	60047046.8467076	P29692
NaN		high	390	43.062	14267777.6012075	17	17	70260515.0808236	Q12905
NaN		high	389	43.396	1824197.50485	16	17	9006205.68435673	Q9HC52
NaN		medium	98	11.471	6939377.25654833	6	6	135992208.847214	Q99584
NaN		high	437	50.119	18000762.8485333	22	22	79109579.9439536	P26641
NaN		high	641	70.052	6453615.01044167	22	26	19335910.6115985	P0DMV9
NaN		low	390	42.142	859665.8699575	5	20	4233354.94208338	Q96E39
NaN		low	462	50.141	45875593.974425	7	17	190703792.51626	P68104
NaN		high	397	44.868	1232884.35662083	10	10	5964189.5915001	P31689
NaN	+	low	221	22.35	33801190.0310717	3	12	293737451.204517	P16402
NaN		high	688	80.302	1078115.92513417	16	16	3009515.80252592	Q9BSC4
NaN		high	599	67.314	1018420.07989	13	13	3265274.79784583	P61221
NaN		high	814	92.482	1012096.97461417	16	16	2387906.55062417	P55884
NaN		medium	249	28.38	786830.829679167	5	5	6068783.24314104	P13984
NaN		high	599	65.171	717139.011264167	9	9	2299302.60240537	P07199
NaN		low	915	102.251	2189107.05338333	1	1	4594788.35130368	Q14831
NaN		medium	322	35.274	NaN	4	4	0	Q96S97
NaN		low	175	18.834	NaN	1	1	0	Q96FZ5
NaN		low	867	102.011	NaN	1	1	0	Q5BJE1
NaN		high	2115	238.26	6324450.76264167	102	102	5742910.51559937	Q14980
NaN		high	239	27.56	3578136.151975	11	11	28752695.5709598	Q9UKD2
NaN		high	897	101	2071519.58841917	21	21	4435230.61576508	Q86WJ1
NaN		low	900	100.307	2392569.24805167	1	1	5105539.16578545	Q7Z5Q5
NaN		high	282	31.28	13511627.9374167	7	9	92019140.9620271	P09012
NaN		high	453	49.18	NaN	10	10	0	Q9P291
NaN		high	2541	269.767	942685.94845	38	38	712495.250530356	Q9Y490
NaN		high	913	105.344	NaN	13	13	0	Q99613
NaN		medium	119	13.282	NaN	5	5	0	P62314
NaN		high	1488	152.106	2225145.02966917	36	36	2871937.57965248	Q13428
NaN		high	564	66.727	564719.479281667	15	15	1922973.36815054	Q9Y262
NaN		high	1322	141.468	8384234.10640833	9	9	12180119.4177321	Q7Z589
NaN		high	7388	838.308	1229619.18164	43	45	319641.638175346	Q9UPN3
NaN		high	379	43.615	1848748.28049583	11	11	9368243.66901998	Q9NX58
NaN		high	1683	192.696	NaN	31	31	0	Q8WWI1
NaN		high	255	29.669	2838103.09460833	9	9	21375072.2790023	Q6DKI1
NaN		medium	1883	208.883	NaN	3	3	0	Q9H2Y7
NaN		medium	105	11.74	12618431.2357167	5	5	230799929.30081	P31949
NaN		high	1047	119.914	13448963.1198333	49	49	24669578.3210932	Q9Y5B9
NaN		high	474	53.249	3172748.5214625	13	14	12855143.0532227	Q9ULV4
NaN		high	335	38.023	1073833.313325	11	12	6156185.12210588	Q969Z3
NaN		high	599	60.897	1249060.45296667	9	9	4004757.66198411	Q9BVL2
NaN		low	660	77.094	24030649.375	1	1	69926401.0074085	Q8NDQ6
NaN		low	3801	429.139	3142065.74479167	1	1	1587585.06087069	Q99698
